Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000128487,SPECC1,ENSG00000136436,CALCOCO2,-,-,1.0,PPI
ENSG00000126351,THRA,ENSG00000126351,THRA,PF00105-PF00105 ; PF00105-PF00104 ; PF00104-PF00105 ; PF00104-PF00104,-,1.0,PPI-DDI
ENSG00000126351,THRA,ENSG00000008838,MED24,-,-,1.0,PPI
ENSG00000170004,CHD3,ENSG00000170004,CHD3,PF00176-PF00176 ; PF00176-PF00385 ; PF00176-PF00271 ; PF00628-PF00628 ; PF00628-PF00271 ; PF00385-PF00176 ; PF00385-PF00385 ; PF00271-PF00176 ; PF00271-PF00628 ; PF00271-PF00271,-,1.0,PPI-DDI
ENSG00000170004,CHD3,ENSG00000186834,HEXIM1,-,-,1.0,PPI
ENSG00000170004,CHD3,ENSG00000273604,EPOP,-,-,1.0,PPI
ENSG00000108381,ASPA,ENSG00000108381,ASPA,PF04952-PF04952,-,1.0,PPI-DDI
ENSG00000274512,TBC1D3,ENSG00000275954,TBC1D3F,-,-,1.0,PPI
ENSG00000184922,FMNL1,ENSG00000184922,FMNL1,PF02181-PF02181 ; PF02181-PF06367 ; PF06371-PF06371 ; PF06371-PF06367 ; PF06367-PF02181 ; PF06367-PF06371 ; PF06367-PF06367,-,1.0,PPI-DDI
ENSG00000136436,CALCOCO2,ENSG00000136436,CALCOCO2,PF18112-PF18112 ; PF17751-PF17751,-,1.0,PPI-DDI
ENSG00000008838,MED24,ENSG00000008838,MED24,-,-,1.0,PPI
ENSG00000006062,MAP3K14,ENSG00000006062,MAP3K14,PF00069-PF00069,-,1.0,PPI-DDI
ENSG00000073350,LLGL2,ENSG00000073350,LLGL2,PF00400-PF00400,-,1.0,PPI-DDI
ENSG00000168517,HEXIM2,ENSG00000168517,HEXIM2,PF15313-PF15313,-,1.0,PPI-DDI
ENSG00000168517,HEXIM2,ENSG00000186834,HEXIM1,PF15313-PF15313,-,1.0,PPI-DDI
ENSG00000189050,RNFT1,ENSG00000189050,RNFT1,PF13920-PF13920,-,1.0,PPI-DDI
ENSG00000132510,KDM6B,ENSG00000132510,KDM6B,-,-,1.0,PPI
ENSG00000186834,HEXIM1,ENSG00000186834,HEXIM1,PF15313-PF15313,-,1.0,PPI-DDI
ENSG00000141252,VPS53,ENSG00000141252,VPS53,-,-,1.0,PPI
ENSG00000108443,RPS6KB1,ENSG00000108443,RPS6KB1,PF00433-PF00433 ; PF00433-PF00069 ; PF00069-PF00433 ; PF00069-PF00069,-,1.0,PPI-DDI
ENSG00000034152,MAP2K3,ENSG00000034152,MAP2K3,PF00069-PF00069,-,1.0,PPI-DDI
