Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
6389,SDHA,8347,H2BC4,-,-,1.0,PPI
10923,SUB1,10923,SUB1,PF02229-PF02229,-,1.0,PPI-DDI
57097,PARP11,57097,PARP11,PF00644-PF00644 ; PF02825-PF02825,-,1.0,PPI-DDI
6128,RPL6,1915,EEF1A1,-,-,1.0,PPI
4117,MAK,4117,MAK,PF00069-PF00069,-,1.0,PPI-DDI
118881,COMTD1,22796,COG2,-,-,1.0,PPI
91703,ACY3,91703,ACY3,PF04952-PF04952,-,1.0,PPI-DDI
7403,KDM6A,7403,KDM6A,PF13432-PF13432 ; PF13432-PF13181 ; PF13432-PF00515 ; PF13181-PF13432 ; PF13181-PF13181 ; PF13181-PF00515 ; PF00515-PF13432 ; PF00515-PF13181 ; PF00515-PF00515,-,1.0,PPI-DDI
1915,EEF1A1,1915,EEF1A1,PF03143-PF03143 ; PF03143-PF03144 ; PF03143-PF00009 ; PF03144-PF03143 ; PF03144-PF03144 ; PF03144-PF00009 ; PF00009-PF03143 ; PF00009-PF03144 ; PF00009-PF00009,-,1.0,PPI-DDI
3082,HGF,3082,HGF,PF00051-PF00051 ; PF00051-PF00089 ; PF00051-PF00024 ; PF00089-PF00051 ; PF00089-PF00089 ; PF00089-PF00024 ; PF00024-PF00051 ; PF00024-PF00089 ; PF00024-PF00024,-,1.0,PPI-DDI
9138,ARHGEF1,9138,ARHGEF1,PF00621-PF00621 ; PF00621-PF17838 ; PF09128-PF09128 ; PF17838-PF00621 ; PF17838-PF17838,-,1.0,PPI-DDI
114294,LACTB,114294,LACTB,PF00144-PF00144,-,1.0,PPI-DDI
