Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
54101,RIPK4,347733,TUBB2B,PF13637-PF03953 ; PF13637-PF00091 ; PF12796-PF00091,-,1.0,PPI-DDI
54101,RIPK4,9532,BAG2,-,-,1.0,PPI
54101,RIPK4,5814,PURB,-,-,1.0,PPI
54101,RIPK4,10376,TUBA1B,PF13637-PF03953 ; PF13637-PF00091 ; PF12796-PF00091,-,1.0,PPI-DDI
54101,RIPK4,3315,HSPB1,-,-,1.0,PPI
54101,RIPK4,9126,SMC3,PF00069-PF02463,-,1.0,PPI-DDI
54101,RIPK4,54101,RIPK4,PF13637-PF13637 ; PF13637-PF00069 ; PF13637-PF12796 ; PF00069-PF13637 ; PF00069-PF00069 ; PF00069-PF12796 ; PF12796-PF13637 ; PF12796-PF00069 ; PF12796-PF12796,-,1.0,PPI-DDI
54101,RIPK4,10383,TUBB4B,PF13637-PF00091 ; PF13637-PF03953 ; PF12796-PF00091,-,1.0,PPI-DDI
54101,RIPK4,23753,SDF2L1,-,-,1.0,PPI
54101,RIPK4,3301,DNAJA1,PF00069-PF00226 ; PF00069-PF01556,-,1.0,PPI-DDI
54101,RIPK4,6385,SDC4,-,-,1.0,PPI
54101,RIPK4,192286,HIGD2A,-,-,1.0,PPI
54101,RIPK4,974,CD79B,PF13637-PF07686 ; PF00069-PF07686,-,1.0,PPI-DDI
54101,RIPK4,3310,HSPA6,PF00069-PF00012,-,1.0,PPI-DDI
54101,RIPK4,10952,SEC61B,-,-,1.0,PPI
54101,RIPK4,9533,POLR1C,-,-,1.0,PPI
54101,RIPK4,55703,POLR3B,-,-,1.0,PPI
54101,RIPK4,133121,ENPP6,-,-,1.0,PPI
54101,RIPK4,7280,TUBB2A,PF13637-PF03953 ; PF13637-PF00091 ; PF12796-PF00091,-,1.0,PPI-DDI
54101,RIPK4,8471,AL035425.3,-,-,1.0,PPI
55561,CDC42BPG,5879,RAC1,PF00069-PF00071,-,1.0,PPI-DDI
149371,EXOC8,11007,CCDC85B,-,-,1.0,PPI
149371,EXOC8,6327,SCN2B,-,-,1.0,PPI
149371,EXOC8,10562,OLFM4,-,-,1.0,PPI
149371,EXOC8,286753,TRARG1,-,-,1.0,PPI
149371,EXOC8,22806,IKZF3,-,-,1.0,PPI
149371,EXOC8,80258,EFHC2,-,-,1.0,PPI
149371,EXOC8,11001,SLC27A2,-,-,1.0,PPI
846,CASR,5582,PRKCG,PF01094-PF00069,-,1.0,PPI-DDI
846,CASR,846,CASR,PF00003-PF00003 ; PF00003-PF07562 ; PF07562-PF00003 ; PF07562-PF07562 ; PF07562-PF01094 ; PF01094-PF07562 ; PF01094-PF01094,-,1.0,PPI-DDI
80343,SEL1L2,9804,TOMM20,-,-,1.0,PPI
25929,GEMIN5,7295,TXN,-,-,1.0,PPI
25929,GEMIN5,678,ZFP36L2,PF00400-PF00642,-,1.0,PPI-DDI
25929,GEMIN5,4217,MAP3K5,PF00400-PF00069,-,1.0,PPI-DDI
25929,GEMIN5,6118,RPA2,-,-,1.0,PPI
25929,GEMIN5,8337,H2AC18,PF00400-PF00125,-,1.0,PPI-DDI
25929,GEMIN5,134353,LSM11,-,-,1.0,PPI
8263,F8A1,6640,SNTA1,-,-,1.0,PPI
8263,F8A1,4543,MTNR1A,-,-,1.0,PPI
23429,RYBP,3315,HSPB1,-,-,1.0,PPI
23429,RYBP,1870,E2F2,-,-,1.0,PPI
23429,RYBP,132625,ZFP42,-,-,1.0,PPI
23429,RYBP,9111,NMI,-,-,1.0,PPI
23429,RYBP,6015,RING1,PF17219-PF16207,-,1.0,PPI-DDI
23429,RYBP,8772,FADD,-,-,1.0,PPI
10953,TOMM34,2961,GTF2E2,-,-,1.0,PPI
10953,TOMM34,1300,COL10A1,-,-,1.0,PPI
90353,CTU1,9805,SCRN1,-,-,1.0,PPI
90353,CTU1,6102,RP2,-,-,1.0,PPI
2705,GJB1,2740,GLP1R,-,-,1.0,PPI
1409,CRYAA,1409,CRYAA,PF00525-PF00525 ; PF00525-PF00011 ; PF00011-PF00525 ; PF00011-PF00011,-,1.0,PPI-DDI
1409,CRYAA,3315,HSPB1,PF00525-PF00011 ; PF00011-PF00011,-,1.0,PPI-DDI
1409,CRYAA,1415,CRYBB2,-,-,1.0,PPI
1409,CRYAA,3316,HSPB2,PF00525-PF00011 ; PF00011-PF00011,-,1.0,PPI-DDI
64806,IL25,4255,MGMT,-,-,1.0,PPI
25788,RAD54B,25788,RAD54B,-,PF00271-PF00271 ; PF00271-PF00176 ; PF00176-PF00271 ; PF00176-PF00176,0.0,PPI-DDI
25788,RAD54B,80125,CCDC33,-,-,1.0,PPI
93380,MMGT1,284119,CAVIN1,-,-,1.0,PPI
93380,MMGT1,10970,CKAP4,-,-,1.0,PPI
93380,MMGT1,29978,UBQLN2,-,-,1.0,PPI
93380,MMGT1,4713,NDUFB7,-,-,1.0,PPI
93380,MMGT1,4893,NRAS,-,-,1.0,PPI
93380,MMGT1,79188,TMEM43,-,-,1.0,PPI
93380,MMGT1,3181,HNRNPA2B1,-,-,1.0,PPI
93380,MMGT1,56851,EMC7,-,-,1.0,PPI
93380,MMGT1,57456,KIAA1143,-,-,1.0,PPI
93380,MMGT1,2590,GALNT2,-,-,1.0,PPI
4956,ODF1,23172,ABRAXAS2,-,-,1.0,PPI
10929,SRSF8,5305,PIP4K2A,-,-,1.0,PPI
10929,SRSF8,56001,NXF2,PF00076-PF02136,-,1.0,PPI-DDI
10929,SRSF8,2810,SFN,-,-,1.0,PPI
54102,CLIC6,25932,CLIC4,PF13410-PF13410,-,1.0,PPI-DDI
54102,CLIC6,1814,DRD3,-,-,1.0,PPI
8338,H2AC20,23532,PRAME,-,-,1.0,PPI
8338,H2AC20,11329,STK38,PF00125-PF00069,-,1.0,PPI-DDI
8338,H2AC20,5496,PPM1G,-,-,1.0,PPI
8338,H2AC20,144811,LACC1,-,-,1.0,PPI
8338,H2AC20,218,ALDH3A1,-,-,1.0,PPI
8338,H2AC20,2033,EP300,PF00125-PF08214 ; PF00125-PF00439,-,1.0,PPI-DDI
8338,H2AC20,8353,H3C6,PF16211-PF00125 ; PF00125-PF00125,-,1.0,PPI-DDI
8338,H2AC20,56254,RNF20,-,-,1.0,PPI
8338,H2AC20,8349,H2BC21,PF16211-PF00125 ; PF00125-PF00125,-,1.0,PPI-DDI
8338,H2AC20,57459,GATAD2B,-,-,1.0,PPI
8338,H2AC20,2074,ERCC6,-,PF00125-PF00176 ; PF00125-PF00271,0.0,PPI-DDI
8338,H2AC20,5896,RAG1,PF00125-PF00097,-,1.0,PPI-DDI
8338,H2AC20,10614,HEXIM1,-,-,1.0,PPI
2520,GAST,4225,MEP1B,-,-,1.0,PPI
7114,TMSB4X,9240,PNMA1,-,-,1.0,PPI
9935,MAFB,9935,MAFB,PF03131-PF03131,-,1.0,PPI-DDI
140458,ASB5,3301,DNAJA1,-,-,1.0,PPI
8900,CCNA1,4605,MYBL2,-,-,1.0,PPI
8900,CCNA1,5071,PRKN,-,-,1.0,PPI
8900,CCNA1,1164,CKS2,PF02984-PF01111 ; PF00134-PF01111,-,1.0,PPI-DDI
8900,CCNA1,1869,E2F1,PF02984-PF02319 ; PF00134-PF02319,-,1.0,PPI-DDI
8900,CCNA1,5241,PGR,-,-,1.0,PPI
8900,CCNA1,1027,CDKN1B,PF00134-PF02234,-,1.0,PPI-DDI
84311,MRPL45,65108,MARCKSL1,-,-,1.0,PPI
84311,MRPL45,2300,FOXL1,-,-,1.0,PPI
84311,MRPL45,84078,KBTBD7,-,-,1.0,PPI
84311,MRPL45,23144,ZC3H3,-,-,1.0,PPI
84311,MRPL45,54534,MRPL50,-,-,1.0,PPI
6768,ST14,6004,RGS16,-,-,1.0,PPI
84174,SLA2,867,CBL,PF00017-PF02761 ; PF00017-PF02762 ; PF00017-PF02262 ; PF00018-PF00627,-,1.0,PPI-DDI
84174,SLA2,919,CD247,PF00017-PF02189,-,1.0,PPI-DDI
23633,KPNA6,1027,CDKN1B,-,-,1.0,PPI
23633,KPNA6,128866,CHMP4B,-,-,1.0,PPI
23633,KPNA6,22803,XRN2,-,-,1.0,PPI
23633,KPNA6,3552,IL1A,-,-,1.0,PPI
23633,KPNA6,83903,HASPIN,-,-,1.0,PPI
23633,KPNA6,2304,FOXE1,-,-,1.0,PPI
23633,KPNA6,5879,RAC1,PF16186-PF00071 ; PF00514-PF00071,-,1.0,PPI-DDI
56137,PCDHA12,140597,TCEAL2,-,-,1.0,PPI
56137,PCDHA12,346689,KLRG2,-,PF00028-PF00059,0.0,PPI-DDI
56137,PCDHA12,56138,PCDHA11,PF00028-PF08266 ; PF00028-PF00028 ; PF08266-PF00028,-,1.0,PPI-DDI
56137,PCDHA12,26507,CNNM1,-,-,1.0,PPI
56137,PCDHA12,80789,INTS5,-,-,1.0,PPI
6785,ELOVL4,6785,ELOVL4,PF01151-PF01151,-,1.0,PPI-DDI
3627,CXCL10,2833,CXCR3,PF00048-PF00001,-,1.0,PPI-DDI
55454,CSGALNACT2,83987,CCDC8,-,-,1.0,PPI
55454,CSGALNACT2,4715,NDUFB9,-,-,1.0,PPI
55454,CSGALNACT2,9570,GOSR2,-,-,1.0,PPI
55454,CSGALNACT2,154197,PNLDC1,-,-,1.0,PPI
55454,CSGALNACT2,7779,SLC30A1,-,-,1.0,PPI
55454,CSGALNACT2,2523,FUT1,-,-,1.0,PPI
55454,CSGALNACT2,116254,GINM1,-,-,1.0,PPI
6097,RORC,10647,SCGB1D2,-,-,1.0,PPI
6097,RORC,2033,EP300,-,-,1.0,PPI
651,BMP3,55170,PRMT6,-,-,1.0,PPI
340542,BEX5,100132565,GOLGA8F,-,-,1.0,PPI
340542,BEX5,340542,BEX5,-,-,1.0,PPI
11339,OIP5,11339,OIP5,PF03226-PF03226,-,1.0,PPI-DDI
11339,OIP5,7286,TUFT1,-,-,1.0,PPI
11339,OIP5,3725,JUN,-,-,1.0,PPI
11339,OIP5,284119,CAVIN1,-,-,1.0,PPI
11339,OIP5,2961,GTF2E2,-,-,1.0,PPI
11339,OIP5,2302,FOXJ1,-,-,1.0,PPI
11339,OIP5,79571,GCC1,-,-,1.0,PPI
11339,OIP5,57215,THAP11,-,-,1.0,PPI
3761,KCNJ4,6640,SNTA1,-,-,1.0,PPI
3761,KCNJ4,55327,LIN7C,-,-,1.0,PPI
284110,GSDMA,29978,UBQLN2,-,-,1.0,PPI
284110,GSDMA,5071,PRKN,-,-,1.0,PPI
284110,GSDMA,55633,TBC1D22B,-,-,1.0,PPI
3929,LBP,3315,HSPB1,-,-,1.0,PPI
3929,LBP,9739,SETD1A,-,-,1.0,PPI
7380,UPK3A,7348,UPK1B,-,-,1.0,PPI
92815,H2AW,10614,HEXIM1,-,-,1.0,PPI
916,CD3E,6640,SNTA1,-,-,1.0,PPI
916,CD3E,26191,PTPN22,PF02189-PF00102,-,1.0,PPI-DDI
916,CD3E,919,CD247,PF02189-PF02189,-,1.0,PPI-DDI
9334,B4GALT5,6782,HSPA13,-,-,1.0,PPI
9334,B4GALT5,3598,IL13RA2,-,-,1.0,PPI
9334,B4GALT5,57613,FAM234B,-,-,1.0,PPI
9334,B4GALT5,9466,IL27RA,-,-,1.0,PPI
9334,B4GALT5,116254,GINM1,-,-,1.0,PPI
27036,SIGLEC7,3956,LGALS1,-,-,1.0,PPI
5464,PPA1,10614,HEXIM1,-,-,1.0,PPI
5464,PPA1,3315,HSPB1,-,-,1.0,PPI
5464,PPA1,3251,HPRT1,-,-,1.0,PPI
5464,PPA1,6647,SOD1,-,-,1.0,PPI
135114,HINT3,58480,RHOU,-,-,1.0,PPI
83729,INHBE,10584,COLEC10,-,-,1.0,PPI
727936,GXYLT2,346689,KLRG2,-,-,1.0,PPI
221662,RBM24,2125,EVPL,-,-,1.0,PPI
221662,RBM24,810,CALML3,-,-,1.0,PPI
221662,RBM24,11187,PKP3,PF00076-PF00514,-,1.0,PPI-DDI
221662,RBM24,3713,IVL,-,-,1.0,PPI
23270,TSPYL4,11007,CCDC85B,-,-,1.0,PPI
23270,TSPYL4,266812,NAP1L5,PF00956-PF00956,-,1.0,PPI-DDI
23270,TSPYL4,9240,PNMA1,-,-,1.0,PPI
23270,TSPYL4,4675,NAP1L3,PF00956-PF00956,-,1.0,PPI-DDI
11255,HRH3,1812,DRD1,PF00001-PF00001,-,1.0,PPI-DDI
22979,EFR3B,3215,HOXB5,-,-,1.0,PPI
22979,EFR3B,4893,NRAS,-,-,1.0,PPI
22979,EFR3B,6037,RNASE3,-,-,1.0,PPI
22979,EFR3B,84948,TIGD5,-,-,1.0,PPI
1937,EEF1G,6647,SOD1,-,-,1.0,PPI
1937,EEF1G,3872,KRT17,-,-,1.0,PPI
1937,EEF1G,10614,HEXIM1,-,-,1.0,PPI
1937,EEF1G,192670,AGO4,-,-,1.0,PPI
1937,EEF1G,7532,YWHAG,-,-,1.0,PPI
1937,EEF1G,83987,CCDC8,-,-,1.0,PPI
1937,EEF1G,154,ADRB2,-,-,1.0,PPI
1937,EEF1G,84675,TRIM55,-,-,1.0,PPI
1937,EEF1G,1937,EEF1G,PF00043-PF00043 ; PF00043-PF02798 ; PF02798-PF00043 ; PF02798-PF02798,-,1.0,PPI-DDI
1937,EEF1G,11165,NUDT3,-,-,1.0,PPI
1937,EEF1G,4543,MTNR1A,-,-,1.0,PPI
1937,EEF1G,29978,UBQLN2,-,-,1.0,PPI
1937,EEF1G,2961,GTF2E2,-,-,1.0,PPI
1937,EEF1G,10563,CXCL13,-,-,1.0,PPI
1937,EEF1G,2290,FOXG1,-,-,1.0,PPI
1937,EEF1G,128866,CHMP4B,-,-,1.0,PPI
116254,GINM1,2056,EPO,-,-,1.0,PPI
116254,GINM1,169714,QSOX2,-,-,1.0,PPI
116254,GINM1,57613,FAM234B,-,-,1.0,PPI
116254,GINM1,93,ACVR2B,-,-,1.0,PPI
1392,CRH,1395,CRHR2,PF00473-PF02793,-,1.0,PPI-DDI
1392,CRH,6237,RRAS,-,-,1.0,PPI
3188,HNRNPH2,3315,HSPB1,-,-,1.0,PPI
3188,HNRNPH2,144983,HNRNPA1L2,PF00076-PF00076 ; PF08080-PF00076,-,1.0,PPI-DDI
3188,HNRNPH2,55699,IARS2,-,-,1.0,PPI
3188,HNRNPH2,55170,PRMT6,-,-,1.0,PPI
3188,HNRNPH2,10614,HEXIM1,-,-,1.0,PPI
3188,HNRNPH2,25932,CLIC4,-,-,1.0,PPI
3188,HNRNPH2,10949,HNRNPA0,PF00076-PF00076 ; PF08080-PF00076,-,1.0,PPI-DDI
3188,HNRNPH2,3188,HNRNPH2,PF00076-PF00076 ; PF00076-PF08080 ; PF08080-PF00076,-,1.0,PPI-DDI
3188,HNRNPH2,3181,HNRNPA2B1,PF00076-PF00076 ; PF08080-PF00076,-,1.0,PPI-DDI
2171,FABP5,6278,S100A7,-,-,1.0,PPI
2171,FABP5,6647,SOD1,-,-,1.0,PPI
2171,FABP5,4478,MSN,-,-,1.0,PPI
2171,FABP5,5223,PGAM1,-,-,1.0,PPI
2187,FANCB,2178,FANCE,-,-,1.0,PPI
123103,KLHL33,81027,TUBB1,-,-,1.0,PPI
2961,GTF2E2,3725,JUN,-,-,1.0,PPI
2961,GTF2E2,51119,SBDS,-,-,1.0,PPI
2961,GTF2E2,55631,LRRC40,-,-,1.0,PPI
2961,GTF2E2,2961,GTF2E2,PF02186-PF18121 ; PF18121-PF02186,-,1.0,PPI-DDI
2961,GTF2E2,7150,TOP1,-,-,1.0,PPI
2961,GTF2E2,56254,RNF20,-,-,1.0,PPI
83860,TAF3,6879,TAF7,-,-,1.0,PPI
83860,TAF3,6877,TAF5,PF07524-PF00400 ; PF00628-PF00400,-,1.0,PPI-DDI
3846,KRTAP5-9,4184,SMCP,-,-,1.0,PPI
3846,KRTAP5-9,4223,MEOX2,-,-,1.0,PPI
3846,KRTAP5-9,353132,LCE1B,-,-,1.0,PPI
3846,KRTAP5-9,340359,KLHL38,-,-,1.0,PPI
3846,KRTAP5-9,9841,ZBTB24,-,-,1.0,PPI
3846,KRTAP5-9,399947,C11orf87,-,-,1.0,PPI
3846,KRTAP5-9,57532,NUFIP2,-,-,1.0,PPI
3127,HLA-DRB5,3122,HLA-DRA,PF00969-PF00993 ; PF00969-PF07654 ; PF07654-PF00993 ; PF07654-PF07654,-,1.0,PPI-DDI
50512,PODXL2,221074,SLC39A12,-,-,1.0,PPI
50512,PODXL2,50512,PODXL2,-,-,1.0,PPI
345275,HSD17B13,58480,RHOU,-,-,1.0,PPI
6491,STIL,9532,BAG2,-,-,1.0,PPI
6491,STIL,151963,MB21D2,-,-,1.0,PPI
6491,STIL,51084,CRYL1,-,-,1.0,PPI
6491,STIL,80124,VCPIP1,-,-,1.0,PPI
6491,STIL,9107,MTMR6,-,-,1.0,PPI
6491,STIL,3301,DNAJA1,-,-,1.0,PPI
3181,HNRNPA2B1,678,ZFP36L2,PF00076-PF00642,-,1.0,PPI-DDI
3181,HNRNPA2B1,4520,MTF1,PF00076-PF00096,-,1.0,PPI-DDI
3181,HNRNPA2B1,1979,EIF4EBP2,-,-,1.0,PPI
3181,HNRNPA2B1,6615,SNAI1,PF00076-PF00096,-,1.0,PPI-DDI
3181,HNRNPA2B1,3872,KRT17,-,-,1.0,PPI
3181,HNRNPA2B1,988,CDC5L,-,-,1.0,PPI
3181,HNRNPA2B1,6170,RPL39,-,-,1.0,PPI
3181,HNRNPA2B1,5071,PRKN,-,-,1.0,PPI
3181,HNRNPA2B1,5049,PAFAH1B2,-,-,1.0,PPI
3181,HNRNPA2B1,3315,HSPB1,-,-,1.0,PPI
3181,HNRNPA2B1,23172,ABRAXAS2,-,-,1.0,PPI
3181,HNRNPA2B1,10614,HEXIM1,-,-,1.0,PPI
3181,HNRNPA2B1,154,ADRB2,-,-,1.0,PPI
3181,HNRNPA2B1,5689,PSMB1,-,-,1.0,PPI
3181,HNRNPA2B1,4751,NEK2,PF00076-PF00069,-,1.0,PPI-DDI
3181,HNRNPA2B1,29978,UBQLN2,PF00076-PF00627,-,1.0,PPI-DDI
3181,HNRNPA2B1,6118,RPA2,-,-,1.0,PPI
3181,HNRNPA2B1,4255,MGMT,-,-,1.0,PPI
3181,HNRNPA2B1,2033,EP300,PF00076-PF00439,-,1.0,PPI-DDI
3181,HNRNPA2B1,7150,TOP1,-,-,1.0,PPI
3181,HNRNPA2B1,3945,LDHB,-,-,1.0,PPI
131377,KLHL40,10324,KLHL41,PF07707-PF00651 ; PF01344-PF01344 ; PF00651-PF00651 ; PF00651-PF07707,-,1.0,PPI-DDI
3162,HMOX1,4893,NRAS,-,-,1.0,PPI
3162,HMOX1,56134,PCDHAC2,-,-,1.0,PPI
3162,HMOX1,55633,TBC1D22B,-,-,1.0,PPI
3162,HMOX1,3162,HMOX1,PF01126-PF01126,-,1.0,PPI-DDI
25920,NELFB,3725,JUN,-,-,1.0,PPI
25920,NELFB,1053,CEBPE,-,-,1.0,PPI
25920,NELFB,25920,NELFB,PF06209-PF06209,-,1.0,PPI-DDI
150483,TEKT4,55165,CEP55,-,-,1.0,PPI
150483,TEKT4,22806,IKZF3,-,-,1.0,PPI
6237,RRAS,10614,HEXIM1,-,-,1.0,PPI
6237,RRAS,22882,ZHX2,-,-,1.0,PPI
27127,SMC1B,9126,SMC3,PF02463-PF06470 ; PF02463-PF02463 ; PF06470-PF06470 ; PF06470-PF02463,-,1.0,PPI-DDI
2125,EVPL,3680,ITGA9,-,-,1.0,PPI
2125,EVPL,55633,TBC1D22B,-,-,1.0,PPI
5272,SERPINB9,7280,TUBB2A,-,-,1.0,PPI
83942,TSSK1B,79866,BORA,-,-,1.0,PPI
83942,TSSK1B,3310,HSPA6,PF00069-PF00012,-,1.0,PPI-DDI
6478,SIAH2,26136,TES,-,-,1.0,PPI
6478,SIAH2,729250,PRR20E,-,-,1.0,PPI
6478,SIAH2,22974,TPX2,-,-,1.0,PPI
6478,SIAH2,2033,EP300,-,-,1.0,PPI
6478,SIAH2,4985,OPRD1,-,-,1.0,PPI
6478,SIAH2,6478,SIAH2,PF03145-PF03145,-,1.0,PPI-DDI
6478,SIAH2,4986,OPRK1,-,-,1.0,PPI
6478,SIAH2,1052,CEBPD,-,-,1.0,PPI
196472,FAM71C,4189,DNAJB9,-,-,1.0,PPI
8744,TNFSF9,57613,FAM234B,-,-,1.0,PPI
8744,TNFSF9,346689,KLRG2,-,PF00229-PF00059,0.0,PPI-DDI
8744,TNFSF9,9466,IL27RA,PF00229-PF00041,-,1.0,PPI-DDI
8744,TNFSF9,3598,IL13RA2,-,-,1.0,PPI
8744,TNFSF9,3656,IRAK2,-,-,1.0,PPI
84319,CMSS1,10763,NES,-,-,1.0,PPI
8030,CCDC6,10928,RALBP1,-,-,1.0,PPI
8030,CCDC6,55165,CEP55,-,-,1.0,PPI
333932,H3C15,23569,PADI4,-,-,1.0,PPI
333932,H3C15,4893,NRAS,-,-,1.0,PPI
333932,H3C15,55170,PRMT6,-,-,1.0,PPI
333932,H3C15,9329,GTF3C4,-,-,1.0,PPI
22853,LMTK2,22853,LMTK2,PF07714-PF07714,-,1.0,PPI-DDI
22853,LMTK2,9107,MTMR6,-,-,1.0,PPI
80124,VCPIP1,8431,NR0B2,-,-,1.0,PPI
80124,VCPIP1,117245,PLAAT5,-,-,1.0,PPI
29777,ABT1,266812,NAP1L5,-,-,1.0,PPI
51146,A4GNT,3239,HOXD13,-,-,1.0,PPI
4985,OPRD1,4985,OPRD1,PF00001-PF00001,-,1.0,PPI-DDI
4985,OPRD1,154,ADRB2,PF00001-PF00001,-,1.0,PPI-DDI
3301,DNAJA1,2021,ENDOG,-,-,1.0,PPI
3301,DNAJA1,5241,PGR,-,-,1.0,PPI
3301,DNAJA1,3301,DNAJA1,PF00226-PF00226 ; PF00226-PF00684 ; PF00226-PF01556 ; PF00684-PF00226 ; PF00684-PF00684 ; PF00684-PF01556 ; PF01556-PF00226 ; PF01556-PF00684 ; PF01556-PF01556,-,1.0,PPI-DDI
3301,DNAJA1,6615,SNAI1,-,-,1.0,PPI
3301,DNAJA1,3310,HSPA6,PF00226-PF00012 ; PF00684-PF00012 ; PF01556-PF00012,-,1.0,PPI-DDI
3301,DNAJA1,5071,PRKN,-,-,1.0,PPI
3301,DNAJA1,894,CCND2,-,-,1.0,PPI
3301,DNAJA1,10614,HEXIM1,-,-,1.0,PPI
3301,DNAJA1,192670,AGO4,-,-,1.0,PPI
3301,DNAJA1,29978,UBQLN2,-,-,1.0,PPI
3301,DNAJA1,26136,TES,-,-,1.0,PPI
3301,DNAJA1,6657,SOX2,-,-,1.0,PPI
3301,DNAJA1,9739,SETD1A,-,-,1.0,PPI
3301,DNAJA1,114885,OSBPL11,-,-,1.0,PPI
3301,DNAJA1,988,CDC5L,-,-,1.0,PPI
3301,DNAJA1,11165,NUDT3,-,-,1.0,PPI
3301,DNAJA1,379,ARL4D,-,-,1.0,PPI
3301,DNAJA1,3945,LDHB,-,-,1.0,PPI
3301,DNAJA1,2861,GPR37,-,-,1.0,PPI
23333,DPY19L1,974,CD79B,-,-,1.0,PPI
8325,FZD8,7471,WNT1,PF01392-PF00110,-,1.0,PPI-DDI
10970,CKAP4,83987,CCDC8,-,-,1.0,PPI
10970,CKAP4,3744,KCNA10,-,-,1.0,PPI
10970,CKAP4,8353,H3C6,-,-,1.0,PPI
10970,CKAP4,4824,NKX3-1,-,-,1.0,PPI
10970,CKAP4,132884,EVC2,-,-,1.0,PPI
10970,CKAP4,10970,CKAP4,-,-,1.0,PPI
10970,CKAP4,10584,COLEC10,-,-,1.0,PPI
10970,CKAP4,5071,PRKN,-,-,1.0,PPI
10970,CKAP4,719,C3AR1,-,-,1.0,PPI
10970,CKAP4,4713,NDUFB7,-,-,1.0,PPI
10970,CKAP4,4893,NRAS,-,-,1.0,PPI
10970,CKAP4,10614,HEXIM1,-,-,1.0,PPI
10970,CKAP4,7879,RAB7A,-,-,1.0,PPI
10970,CKAP4,146,ADRA1D,-,-,1.0,PPI
266812,NAP1L5,4543,MTNR1A,-,-,1.0,PPI
266812,NAP1L5,28986,MAGEH1,-,-,1.0,PPI
266812,NAP1L5,5764,PTN,-,-,1.0,PPI
3768,KCNJ12,6640,SNTA1,-,-,1.0,PPI
3768,KCNJ12,55327,LIN7C,-,-,1.0,PPI
8431,NR0B2,3175,ONECUT1,PF00104-PF00046,-,1.0,PPI-DDI
8431,NR0B2,6668,SP2,-,-,1.0,PPI
22821,RASA3,2773,GNAI3,-,-,1.0,PPI
342945,ZSCAN22,387032,ZKSCAN4,PF00096-PF00096 ; PF00096-PF01352 ; PF02023-PF02023 ; PF02023-PF01352,-,1.0,PPI-DDI
342945,ZSCAN22,84547,PGBD1,PF02023-PF02023,-,1.0,PPI-DDI
342945,ZSCAN22,342945,ZSCAN22,PF00096-PF00096 ; PF02023-PF02023,-,1.0,PPI-DDI
5806,PTX3,4543,MTNR1A,-,-,1.0,PPI
5806,PTX3,10584,COLEC10,-,-,1.0,PPI
