Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000006282,SPATA20,ENSG00000006282,SPATA20,PF07221-PF07221,-,1.0,PPI-DDI
ENSG00000006282,SPATA20,ENSG00000004779,NDUFAB1,-,-,1.0,PPI
ENSG00000001626,CFTR,ENSG00000001626,CFTR,PF00664-PF00664 ; PF00664-PF14396 ; PF00664-PF00005 ; PF14396-PF00664 ; PF14396-PF00005 ; PF00005-PF00664 ; PF00005-PF14396 ; PF00005-PF00005,-,1.0,PPI-DDI
ENSG00000001626,CFTR,ENSG00000006625,GGCT,-,-,1.0,PPI
ENSG00000005175,RPAP3,ENSG00000005175,RPAP3,PF13181-PF13181 ; PF13181-PF00515 ; PF13181-PF13176 ; PF00515-PF13181 ; PF00515-PF00515 ; PF00515-PF13176 ; PF13176-PF13181 ; PF13176-PF00515 ; PF13176-PF13176,-,1.0,PPI-DDI
ENSG00000048028,USP28,ENSG00000048028,USP28,PF00443-PF00443,-,1.0,PPI-DDI
ENSG00000007001,UPP2,ENSG00000007001,UPP2,PF01048-PF01048,-,1.0,PPI-DDI
ENSG00000006611,USH1C,ENSG00000006611,USH1C,PF00595-PF00595,-,1.0,PPI-DDI
ENSG00000004975,DVL2,ENSG00000004975,DVL2,PF00595-PF00595 ; PF00595-PF00610 ; PF00595-PF02377 ; PF00595-PF00778 ; PF00610-PF00595 ; PF00610-PF00610 ; PF02377-PF00595 ; PF02377-PF00778 ; PF00778-PF00595 ; PF00778-PF02377 ; PF00778-PF00778,-,1.0,PPI-DDI
ENSG00000007255,TRAPPC6A,ENSG00000007255,TRAPPC6A,PF04051-PF04051,-,1.0,PPI-DDI
ENSG00000006210,CX3CL1,ENSG00000006210,CX3CL1,PF00048-PF00048,-,1.0,PPI-DDI
ENSG00000006652,IFRD1,ENSG00000006652,IFRD1,-,-,1.0,PPI
