Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000013275,PSMC4,ENSG00000013275,PSMC4,PF00004-PF00004 ; PF00004-PF17862 ; PF00004-PF16450 ; PF17862-PF00004 ; PF17862-PF17862 ; PF16450-PF00004 ; PF16450-PF16450,-,1.0,PPI-DDI
ENSG00000013275,PSMC4,ENSG00000072506,HSD17B10,-,-,1.0,PPI
ENSG00000013275,PSMC4,ENSG00000041357,PSMA4,PF00004-PF00227 ; PF00004-PF10584 ; PF17862-PF00227 ; PF17862-PF10584,-,1.0,PPI-DDI
ENSG00000019505,SYT13,ENSG00000019505,SYT13,PF00168-PF00168,-,1.0,PPI-DDI
ENSG00000073350,LLGL2,ENSG00000073350,LLGL2,PF00400-PF00400,-,1.0,PPI-DDI
ENSG00000035141,FAM136A,ENSG00000035141,FAM136A,-,-,1.0,PPI
ENSG00000035141,FAM136A,ENSG00000015568,RGPD5,-,-,1.0,PPI
ENSG00000008118,CAMK1G,ENSG00000012124,CD22,-,PF00069-PF07686,0.0,PPI-DDI
ENSG00000008118,CAMK1G,ENSG00000137764,MAP2K5,PF00069-PF00069 ; PF00069-PF00564,-,1.0,PPI-DDI
ENSG00000035681,NSMAF,ENSG00000067182,TNFRSF1A,-,-,1.0,PPI
ENSG00000069399,BCL3,ENSG00000077150,NFKB2,PF12796-PF16179 ; PF12796-PF12796,PF00023-PF16179 ; PF00023-PF12796 ; PF00023-PF00554 ; PF00023-PF00531,0.33,PPI-DDI
ENSG00000052723,SIKE1,ENSG00000067182,TNFRSF1A,-,-,1.0,PPI
ENSG00000007129,CEACAM21,ENSG00000066455,GOLGA5,-,-,1.0,PPI
ENSG00000068097,HEATR6,ENSG00000060069,CTDP1,-,-,1.0,PPI
ENSG00000034971,MYOC,ENSG00000067182,TNFRSF1A,-,-,1.0,PPI
ENSG00000034971,MYOC,ENSG00000034971,MYOC,PF02191-PF02191,-,1.0,PPI-DDI
ENSG00000013588,GPRC5A,ENSG00000075415,SLC25A3,-,-,1.0,PPI
ENSG00000054965,FAM168A,ENSG00000054965,FAM168A,-,-,1.0,PPI
ENSG00000074071,MRPS34,ENSG00000061794,MRPS35,-,-,1.0,PPI
ENSG00000074071,MRPS34,ENSG00000048544,MRPS10,-,-,1.0,PPI
ENSG00000074071,MRPS34,ENSG00000003987,MTMR7,-,-,1.0,PPI
ENSG00000049245,VAMP3,ENSG00000008282,SYPL1,-,-,1.0,PPI
ENSG00000049245,VAMP3,ENSG00000010610,CD4,-,-,1.0,PPI
ENSG00000068308,OTUD5,ENSG00000030582,GRN,-,-,1.0,PPI
ENSG00000061273,HDAC7,ENSG00000061273,HDAC7,PF00850-PF00850,-,1.0,PPI-DDI
ENSG00000080293,SCTR,ENSG00000070031,SCT,PF02793-PF00123 ; PF00002-PF00123,-,1.0,PPI-DDI
ENSG00000071539,TRIP13,ENSG00000060069,CTDP1,-,-,1.0,PPI
ENSG00000071539,TRIP13,ENSG00000071539,TRIP13,PF00004-PF00004,-,1.0,PPI-DDI
ENSG00000063177,RPL18,ENSG00000008988,RPS20,-,-,1.0,PPI
ENSG00000063177,RPL18,ENSG00000010610,CD4,-,-,1.0,PPI
ENSG00000063177,RPL18,ENSG00000048544,MRPS10,-,-,1.0,PPI
ENSG00000063177,RPL18,ENSG00000061794,MRPS35,-,-,1.0,PPI
ENSG00000050820,BCAR1,ENSG00000079308,TNS1,PF00018-PF00017,PF07653-PF00017,0.5,PPI-DDI
ENSG00000050820,BCAR1,ENSG00000063245,EPN1,-,-,1.0,PPI
ENSG00000071859,FAM50A,ENSG00000071859,FAM50A,-,-,1.0,PPI
ENSG00000133597,ADCK2,ENSG00000133597,ADCK2,-,-,1.0,PPI
ENSG00000079999,KEAP1,ENSG00000065883,CDK13,-,-,1.0,PPI
ENSG00000079999,KEAP1,ENSG00000034713,GABARAPL2,-,-,1.0,PPI
ENSG00000079999,KEAP1,ENSG00000079999,KEAP1,PF07707-PF00651 ; PF00651-PF07707 ; PF00651-PF00651 ; PF01344-PF01344,-,1.0,PPI-DDI
ENSG00000079999,KEAP1,ENSG00000038219,BOD1L1,-,-,1.0,PPI
ENSG00000072506,HSD17B10,ENSG00000049449,RCN1,-,-,1.0,PPI
ENSG00000019582,CD74,ENSG00000019582,CD74,PF00086-PF00086 ; PF08831-PF08831,-,1.0,PPI-DDI
ENSG00000048462,TNFRSF17,ENSG00000059588,TARBP1,-,-,1.0,PPI
ENSG00000060566,CREB3L3,ENSG00000060566,CREB3L3,PF00170-PF00170,-,1.0,PPI-DDI
ENSG00000065371,ROPN1,ENSG00000068394,GPKOW,-,-,1.0,PPI
ENSG00000065371,ROPN1,ENSG00000065371,ROPN1,-,-,1.0,PPI
ENSG00000017797,RALBP1,ENSG00000063245,EPN1,-,-,1.0,PPI
ENSG00000017797,RALBP1,ENSG00000047932,GOPC,-,-,1.0,PPI
ENSG00000079385,CEACAM1,ENSG00000079385,CEACAM1,PF07686-PF07686 ; PF07686-PF13927 ; PF07686-PF13895 ; PF07686-PF00047 ; PF13927-PF07686 ; PF13927-PF13927 ; PF13927-PF13895 ; PF13927-PF00047 ; PF13895-PF07686 ; PF13895-PF13927 ; PF13895-PF13895 ; PF13895-PF00047 ; PF00047-PF07686 ; PF00047-PF13927 ; PF00047-PF13895 ; PF00047-PF00047,-,1.0,PPI-DDI
ENSG00000010610,CD4,ENSG00000010017,RANBP9,-,-,1.0,PPI
ENSG00000010610,CD4,ENSG00000078668,VDAC3,-,-,1.0,PPI
ENSG00000010610,CD4,ENSG00000010610,CD4,PF05790-PF05790 ; PF05790-PF00047 ; PF05790-PF09191 ; PF00047-PF05790 ; PF00047-PF00047 ; PF09191-PF05790,-,1.0,PPI-DDI
ENSG00000070669,ASNS,ENSG00000066583,ISOC1,-,-,1.0,PPI
ENSG00000239672,NME1,ENSG00000239672,NME1,PF00334-PF00334,-,1.0,PPI-DDI
ENSG00000239672,NME1,ENSG00000023734,STRAP,-,-,1.0,PPI
ENSG00000077238,IL4R,ENSG00000054967,RELT,-,-,1.0,PPI
ENSG00000011485,PPP5C,ENSG00000004897,CDC27,PF00149-PF00515 ; PF08321-PF00515 ; PF00515-PF00515 ; PF00515-PF13181,-,1.0,PPI-DDI
ENSG00000049449,RCN1,ENSG00000010219,DYRK4,PF13499-PF00069,-,1.0,PPI-DDI
