Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
6125,RPL5,6125,RPL5,PF14204-PF17144 ; PF17144-PF14204 ; PF17144-PF17144,-,1.0,PPI-DDI
1131,CHRM3,480,ATP1A4,-,-,1.0,PPI
10768,AHCYL1,10768,AHCYL1,PF00670-PF00670 ; PF00670-PF05221 ; PF05221-PF00670 ; PF05221-PF05221,-,1.0,PPI-DDI
10768,AHCYL1,4343,MOV10,-,-,1.0,PPI
92344,GORAB,92344,GORAB,-,-,1.0,PPI
9869,SETDB1,4343,MOV10,-,-,1.0,PPI
9869,SETDB1,3065,HDAC1,-,-,1.0,PPI
5664,PSEN2,5664,PSEN2,PF01080-PF01080,-,1.0,PPI-DDI
4343,MOV10,8569,MKNK1,-,-,1.0,PPI
4343,MOV10,23381,SMG5,-,-,1.0,PPI
11243,PMF1,11243,PMF1,PF03980-PF03980,-,1.0,PPI-DDI
1163,CKS1B,1163,CKS1B,PF01111-PF01111,-,1.0,PPI-DDI
56997,COQ8A,56997,COQ8A,-,-,1.0,PPI
56776,FMN2,56776,FMN2,PF02181-PF02181,-,1.0,PPI-DDI
2672,GFI1,3065,HDAC1,PF00096-PF00850,-,1.0,PPI-DDI
4811,NID1,4811,NID1,PF00086-PF00086 ; PF14670-PF14670 ; PF14670-PF00058 ; PF14670-PF07645 ; PF00058-PF14670 ; PF00058-PF00058 ; PF00058-PF07645 ; PF07645-PF14670 ; PF07645-PF00058 ; PF07645-PF07645 ; PF07645-PF12947 ; PF12947-PF07645,-,1.0,PPI-DDI
5778,PTPN7,5778,PTPN7,PF00102-PF00102,-,1.0,PPI-DDI
3065,HDAC1,3065,HDAC1,PF00850-PF00850,-,1.0,PPI-DDI
