Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
26959,HBP1,26959,HBP1,PF08517-PF08517 ; PF00505-PF00505,-,1.0,PPI-DDI
26959,HBP1,85364,ZCCHC3,-,-,1.0,PPI
26959,HBP1,2033,EP300,-,-,1.0,PPI
3550,IK,3550,IK,-,-,1.0,PPI
22818,COPZ1,22818,COPZ1,PF01217-PF01217,-,1.0,PPI-DDI
55119,PRPF38B,25831,HECTD1,-,-,1.0,PPI
55334,SLC39A9,2033,EP300,-,-,1.0,PPI
2034,EPAS1,2033,EP300,PF08778-PF02135,-,1.0,PPI-DDI
2034,EPAS1,2034,EPAS1,PF00989-PF00989 ; PF00989-PF08447 ; PF08447-PF00989 ; PF08447-PF08447,-,1.0,PPI-DDI
26056,RAB11FIP5,26056,RAB11FIP5,PF00168-PF00168 ; PF09457-PF09457,-,1.0,PPI-DDI
3881,KRT31,340359,KLHL38,-,-,1.0,PPI
2033,EP300,2033,EP300,PF00569-PF00569 ; PF00569-PF00439 ; PF00439-PF00569 ; PF00439-PF00439 ; PF00439-PF06001 ; PF06001-PF00439,-,1.0,PPI-DDI
2033,EP300,8243,SMC1A,-,-,1.0,PPI
9444,QKI,9444,QKI,PF00013-PF00013 ; PF00013-PF16544 ; PF16544-PF00013 ; PF16544-PF16544,-,1.0,PPI-DDI
25831,HECTD1,25831,HECTD1,PF00632-PF00632 ; PF06701-PF06701 ; PF13857-PF13857 ; PF13857-PF12796 ; PF12796-PF13857 ; PF12796-PF12796,-,1.0,PPI-DDI
79760,GEMIN7,10730,YME1L1,-,-,1.0,PPI
57695,USP37,57695,USP37,PF00443-PF00443 ; PF02809-PF02809 ; PF16674-PF16674,-,1.0,PPI-DDI
57695,USP37,8243,SMC1A,-,-,1.0,PPI
1456,CSNK1G3,1456,CSNK1G3,PF00069-PF00069,-,1.0,PPI-DDI
8243,SMC1A,8243,SMC1A,PF06470-PF06470 ; PF06470-PF02463 ; PF02463-PF06470 ; PF02463-PF02463,-,1.0,PPI-DDI
