Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000010256,UQCRC1,ENSG00000091140,DLD,-,-,1.0,PPI
ENSG00000188559,RALGAPA2,ENSG00000003987,MTMR7,-,-,1.0,PPI
ENSG00000090659,CD209,ENSG00000090659,CD209,PF00059-PF00059,-,1.0,PPI-DDI
ENSG00000073350,LLGL2,ENSG00000073350,LLGL2,PF00400-PF00400,-,1.0,PPI-DDI
ENSG00000090776,EFNB1,ENSG00000007129,CEACAM21,-,-,1.0,PPI
ENSG00000068697,LAPTM4A,ENSG00000084444,FAM234B,-,-,1.0,PPI
ENSG00000083444,PLOD1,ENSG00000085872,CHERP,-,-,1.0,PPI
ENSG00000083444,PLOD1,ENSG00000083444,PLOD1,PF03171-PF03171,-,1.0,PPI-DDI
ENSG00000086189,DIMT1,ENSG00000078018,MAP2,-,-,1.0,PPI
ENSG00000074071,MRPS34,ENSG00000086289,EPDR1,-,-,1.0,PPI
ENSG00000074071,MRPS34,ENSG00000003987,MTMR7,-,-,1.0,PPI
ENSG00000074071,MRPS34,ENSG00000089009,RPL6,-,-,1.0,PPI
ENSG00000090554,FLT3LG,ENSG00000090554,FLT3LG,PF02947-PF02947,-,1.0,PPI-DDI
ENSG00000078018,MAP2,ENSG00000078018,MAP2,PF00418-PF00418,-,1.0,PPI-DDI
ENSG00000078018,MAP2,ENSG00000072110,ACTN1,-,-,1.0,PPI
ENSG00000089063,TMEM230,ENSG00000167580,AQP2,-,-,1.0,PPI
ENSG00000071539,TRIP13,ENSG00000071539,TRIP13,PF00004-PF00004,-,1.0,PPI-DDI
ENSG00000088002,SULT2B1,ENSG00000088002,SULT2B1,PF00685-PF00685,-,1.0,PPI-DDI
ENSG00000086548,CEACAM6,ENSG00000086548,CEACAM6,PF07686-PF07686 ; PF07686-PF13927 ; PF07686-PF13895 ; PF13927-PF07686 ; PF13927-PF13927 ; PF13927-PF13895 ; PF13895-PF07686 ; PF13895-PF13927 ; PF13895-PF13895,-,1.0,PPI-DDI
ENSG00000079999,KEAP1,ENSG00000065883,CDK13,-,-,1.0,PPI
ENSG00000079999,KEAP1,ENSG00000079999,KEAP1,PF07707-PF00651 ; PF00651-PF07707 ; PF00651-PF00651 ; PF01344-PF01344,-,1.0,PPI-DDI
ENSG00000072506,HSD17B10,ENSG00000091140,DLD,-,-,1.0,PPI
ENSG00000072506,HSD17B10,ENSG00000087077,TRIP6,-,-,1.0,PPI
ENSG00000065371,ROPN1,ENSG00000065371,ROPN1,-,-,1.0,PPI
ENSG00000087077,TRIP6,ENSG00000064218,DMRT3,-,-,1.0,PPI
ENSG00000087077,TRIP6,ENSG00000089723,OTUB2,-,-,1.0,PPI
ENSG00000070669,ASNS,ENSG00000066583,ISOC1,-,-,1.0,PPI
ENSG00000091140,DLD,ENSG00000072110,ACTN1,-,-,1.0,PPI
ENSG00000086232,EIF2AK1,ENSG00000081791,DELE1,-,-,1.0,PPI
ENSG00000088356,PDRG1,ENSG00000088356,PDRG1,PF01920-PF01920,-,1.0,PPI-DDI
ENSG00000137764,MAP2K5,ENSG00000137764,MAP2K5,PF00069-PF00069 ; PF00069-PF00564 ; PF00564-PF00069 ; PF00564-PF00564,-,1.0,PPI-DDI
ENSG00000005893,LAMP2,ENSG00000005893,LAMP2,PF01299-PF01299,-,1.0,PPI-DDI
ENSG00000070444,MNT,ENSG00000070444,MNT,PF00010-PF00010,-,1.0,PPI-DDI
ENSG00000089127,OAS1,ENSG00000072110,ACTN1,-,-,1.0,PPI
ENSG00000074410,CA12,ENSG00000074410,CA12,PF00194-PF00194,-,1.0,PPI-DDI
ENSG00000073849,ST6GAL1,ENSG00000073849,ST6GAL1,PF00777-PF00777,-,1.0,PPI-DDI
ENSG00000083720,OXCT1,ENSG00000083720,OXCT1,PF01144-PF01144,-,1.0,PPI-DDI
ENSG00000072110,ACTN1,ENSG00000072110,ACTN1,PF00307-PF00307 ; PF00307-PF08726 ; PF00307-PF00435 ; PF08726-PF00307 ; PF08726-PF00435 ; PF00435-PF00307 ; PF00435-PF08726 ; PF00435-PF00435,PF08726-PF13833 ; PF00435-PF13833 ; PF13833-PF08726 ; PF13833-PF00435 ; PF13833-PF13833,0.62,PPI-DDI
ENSG00000171431,KRT20,ENSG00000171431,KRT20,PF00038-PF00038,-,1.0,PPI-DDI
ENSG00000090615,GOLGA3,ENSG00000090615,GOLGA3,-,-,1.0,PPI
ENSG00000077150,NFKB2,ENSG00000089009,RPL6,-,-,1.0,PPI
ENSG00000077150,NFKB2,ENSG00000077150,NFKB2,PF16179-PF16179 ; PF16179-PF12796 ; PF16179-PF00554 ; PF12796-PF16179 ; PF12796-PF12796 ; PF00554-PF16179 ; PF00554-PF00554 ; PF00531-PF00531,-,1.0,PPI-DDI
ENSG00000077150,NFKB2,ENSG00000090863,GLG1,-,-,1.0,PPI
ENSG00000083845,RPS5,ENSG00000089009,RPL6,-,-,1.0,PPI
ENSG00000064300,NGFR,ENSG00000064300,NGFR,PF00531-PF00531 ; PF00531-PF00020 ; PF18422-PF18422 ; PF00020-PF00531 ; PF00020-PF00020,-,1.0,PPI-DDI
ENSG00000075415,SLC25A3,ENSG00000072210,ALDH3A2,-,-,1.0,PPI
ENSG00000003987,MTMR7,ENSG00000003987,MTMR7,PF06602-PF06602,-,1.0,PPI-DDI
ENSG00000072135,PTPN18,ENSG00000072135,PTPN18,PF00102-PF00102,-,1.0,PPI-DDI
ENSG00000090470,PDCD7,ENSG00000090470,PDCD7,-,-,1.0,PPI
