Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
271,AMPD2,60313,GPBP1L1,-,-,1.0,PPI
271,AMPD2,29922,NME7,-,-,1.0,PPI
271,AMPD2,271,AMPD2,PF00962-PF00962,-,1.0,PPI-DDI
2773,GNAI3,2780,GNAT2,PF00503-PF00503,-,1.0,PPI-DDI
55509,BATF3,467,ATF3,PF00170-PF00170 ; PF00170-PF07716,-,1.0,PPI-DDI
55509,BATF3,3725,JUN,PF00170-PF00170,-,1.0,PPI-DDI
55509,BATF3,55509,BATF3,PF00170-PF00170,-,1.0,PPI-DDI
8073,PTP4A2,8073,PTP4A2,PF00102-PF00102 ; PF00102-PF00782 ; PF00782-PF00102 ; PF00782-PF00782,-,1.0,PPI-DDI
29922,NME7,3104,ZBTB48,-,-,1.0,PPI
3775,KCNK1,3775,KCNK1,PF07885-PF07885,-,1.0,PPI-DDI
55103,RALGPS2,84451,MAP3K21,PF00169-PF07714,-,1.0,PPI-DDI
3104,ZBTB48,3104,ZBTB48,PF00651-PF00651 ; PF00651-PF00096 ; PF00096-PF00651 ; PF00096-PF00096,-,1.0,PPI-DDI
467,ATF3,467,ATF3,PF00170-PF00170 ; PF00170-PF07716 ; PF07716-PF00170 ; PF07716-PF07716,-,1.0,PPI-DDI
467,ATF3,3725,JUN,PF00170-PF00170 ; PF07716-PF00170,-,1.0,PPI-DDI
55144,LRRC8D,23507,LRRC8B,PF12534-PF12534 ; PF13855-PF13855 ; PF13855-PF13306,-,1.0,PPI-DDI
9181,ARHGEF2,9181,ARHGEF2,PF17838-PF17838 ; PF17838-PF00621 ; PF00621-PF17838 ; PF00621-PF00621 ; PF00621-PF00130 ; PF00130-PF00621 ; PF00130-PF00130,-,1.0,PPI-DDI
115362,GBP5,115362,GBP5,PF02263-PF02263 ; PF02263-PF02841 ; PF02841-PF02263 ; PF02841-PF02841,-,1.0,PPI-DDI
57085,AGTRAP,57085,AGTRAP,-,-,1.0,PPI
84230,LRRC8C,23507,LRRC8B,PF12534-PF12534 ; PF13855-PF13855 ; PF13855-PF13306 ; PF13306-PF13855 ; PF13306-PF13306,-,1.0,PPI-DDI
57823,SLAMF7,57823,SLAMF7,PF07686-PF07686,-,1.0,PPI-DDI
3725,JUN,3725,JUN,PF00170-PF00170,-,1.0,PPI-DDI
26191,PTPN22,26191,PTPN22,PF00102-PF00102,-,1.0,PPI-DDI
