Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000102738,MRPS31,ENSG00000061794,MRPS35,PF15433-PF10213,-,1.0,PPI-DDI
ENSG00000133101,CCNA1,ENSG00000139687,RB1,PF00134-PF08934,-,1.0,PPI-DDI
ENSG00000133101,CCNA1,ENSG00000139618,BRCA2,-,-,1.0,PPI
ENSG00000102471,NDFIP2,ENSG00000110911,SLC11A2,-,-,1.0,PPI
ENSG00000178235,SLITRK1,ENSG00000178235,SLITRK1,PF13855-PF13855,-,1.0,PPI-DDI
ENSG00000126218,F10,ENSG00000057593,F7,PF14670-PF00008 ; PF14670-PF00089 ; PF14670-PF14670 ; PF00008-PF00594 ; PF00008-PF00008 ; PF00008-PF00089 ; PF00008-PF14670 ; PF00594-PF00594 ; PF00594-PF00008 ; PF00594-PF00089 ; PF00089-PF00594 ; PF00089-PF00008 ; PF00089-PF00089 ; PF00089-PF14670,-,1.0,PPI-DDI
ENSG00000120699,EXOSC8,ENSG00000120699,EXOSC8,PF01138-PF01138 ; PF01138-PF03725 ; PF03725-PF01138 ; PF03725-PF03725,-,1.0,PPI-DDI
ENSG00000205420,KRT6A,ENSG00000111642,CHD4,-,-,1.0,PPI
ENSG00000150403,TMCO3,ENSG00000139842,CUL4A,-,-,1.0,PPI
ENSG00000120693,SMAD9,ENSG00000120693,SMAD9,PF03166-PF03166 ; PF03166-PF03165 ; PF03165-PF03166 ; PF03165-PF03165,-,1.0,PPI-DDI
ENSG00000061273,HDAC7,ENSG00000061273,HDAC7,PF00850-PF00850,-,1.0,PPI-DDI
ENSG00000139679,LPAR6,ENSG00000126216,TUBGCP3,-,-,1.0,PPI
ENSG00000111642,CHD4,ENSG00000170465,KRT6C,-,-,1.0,PPI
ENSG00000111642,CHD4,ENSG00000185479,KRT6B,-,-,1.0,PPI
ENSG00000111642,CHD4,ENSG00000161849,KRT84,-,-,1.0,PPI
ENSG00000111642,CHD4,ENSG00000186081,KRT5,-,-,1.0,PPI
ENSG00000111642,CHD4,ENSG00000111642,CHD4,PF00385-PF00385 ; PF00385-PF00176 ; PF00176-PF00385 ; PF00176-PF00176 ; PF00176-PF00271 ; PF00271-PF00176 ; PF00271-PF00271 ; PF00271-PF00628 ; PF00628-PF00271 ; PF00628-PF00628,-,1.0,PPI-DDI
ENSG00000126226,PCID2,ENSG00000126216,TUBGCP3,-,-,1.0,PPI
