Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
6389,SDHA,8347,H2BC4,-,-,1.0,PPI
10923,SUB1,10923,SUB1,PF02229-PF02229,-,1.0,PPI-DDI
56949,XAB2,1659,DHX8,-,-,1.0,PPI
1030,CDKN2B,1030,CDKN2B,-,-,1.0,PPI
1030,CDKN2B,1029,CDKN2A,-,-,1.0,PPI
7025,NR2F1,79648,MCPH1,-,-,1.0,PPI
1659,DHX8,1659,DHX8,PF00271-PF00271 ; PF00271-PF04408 ; PF00271-PF07717 ; PF00271-PF00575 ; PF04408-PF00271 ; PF04408-PF07717 ; PF07717-PF00271 ; PF07717-PF04408 ; PF00575-PF00271 ; PF00575-PF00575,-,1.0,PPI-DDI
58190,CTDSP1,2263,FGFR2,-,-,1.0,PPI
55655,NLRP2,23367,LARP1,-,-,1.0,PPI
131076,CCDC58,131076,CCDC58,-,-,1.0,PPI
117144,CATSPER1,117144,CATSPER1,PF00520-PF00520,-,1.0,PPI-DDI
79589,RNF128,79589,RNF128,PF02225-PF02225 ; PF13639-PF13639,-,1.0,PPI-DDI
6128,RPL6,1915,EEF1A1,-,-,1.0,PPI
6128,RPL6,23367,LARP1,-,-,1.0,PPI
23367,LARP1,8844,KSR1,-,-,1.0,PPI
27440,HDHD5,27440,HDHD5,PF13344-PF13344,-,1.0,PPI-DDI
5698,PSMB9,5698,PSMB9,PF00227-PF00227,-,1.0,PPI-DDI
8844,KSR1,8844,KSR1,PF07714-PF07714 ; PF13543-PF13543,-,1.0,PPI-DDI
2263,FGFR2,2263,FGFR2,PF07714-PF07714 ; PF18123-PF18123 ; PF07679-PF07679 ; PF07679-PF13927 ; PF13927-PF07679 ; PF13927-PF13927,-,1.0,PPI-DDI
1915,EEF1A1,1915,EEF1A1,PF03143-PF03143 ; PF03143-PF03144 ; PF03143-PF00009 ; PF03144-PF03143 ; PF03144-PF03144 ; PF03144-PF00009 ; PF00009-PF03143 ; PF00009-PF03144 ; PF00009-PF00009,-,1.0,PPI-DDI
1029,CDKN2A,1029,CDKN2A,-,-,1.0,PPI
815,CAMK2A,815,CAMK2A,PF00069-PF00069 ; PF00069-PF08332 ; PF08332-PF00069 ; PF08332-PF08332,-,1.0,PPI-DDI
9138,ARHGEF1,9138,ARHGEF1,PF00621-PF00621 ; PF00621-PF17838 ; PF09128-PF09128 ; PF17838-PF00621 ; PF17838-PF17838,-,1.0,PPI-DDI
9586,CREB5,9586,CREB5,PF00170-PF00170,-,1.0,PPI-DDI
114294,LACTB,114294,LACTB,PF00144-PF00144,-,1.0,PPI-DDI
