Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
7398,USP1,7398,USP1,PF00443-PF00443,-,1.0,PPI-DDI
7398,USP1,8407,TAGLN2,-,-,1.0,PPI
7398,USP1,57035,RSRP1,-,-,1.0,PPI
374986,MIGA1,9804,TOMM20,-,-,1.0,PPI
3930,LBR,3752,KCND3,-,-,1.0,PPI
8407,TAGLN2,25932,CLIC4,-,-,1.0,PPI
271,AMPD2,60313,GPBP1L1,-,-,1.0,PPI
271,AMPD2,29922,NME7,-,-,1.0,PPI
271,AMPD2,271,AMPD2,PF00962-PF00962,-,1.0,PPI-DDI
1465,CSRP1,1465,CSRP1,PF00412-PF00412,-,1.0,PPI-DDI
829,CAPZA1,4751,NEK2,-,-,1.0,PPI
2773,GNAI3,23032,USP33,-,-,1.0,PPI
2773,GNAI3,2780,GNAT2,PF00503-PF00503,-,1.0,PPI-DDI
55509,BATF3,467,ATF3,PF00170-PF00170 ; PF00170-PF07716,-,1.0,PPI-DDI
55509,BATF3,7391,USF1,-,-,1.0,PPI
55509,BATF3,3725,JUN,PF00170-PF00170,-,1.0,PPI-DDI
55509,BATF3,55509,BATF3,PF00170-PF00170,-,1.0,PPI-DDI
284695,ZNF326,50809,HP1BP3,-,-,1.0,PPI
84146,ZNF644,7391,USF1,-,-,1.0,PPI
26135,SERBP1,26135,SERBP1,-,-,1.0,PPI
26135,SERBP1,6905,TBCE,-,-,1.0,PPI
26135,SERBP1,64960,MRPS15,-,-,1.0,PPI
26135,SERBP1,2810,SFN,-,-,1.0,PPI
163782,KANK4,127700,OSCP1,-,-,1.0,PPI
8317,CDC7,8317,CDC7,PF00069-PF00069,-,1.0,PPI-DDI
4751,NEK2,4751,NEK2,PF00069-PF00069,-,1.0,PPI-DDI
4751,NEK2,9967,THRAP3,-,-,1.0,PPI
8073,PTP4A2,8073,PTP4A2,PF00102-PF00102 ; PF00102-PF00782 ; PF00782-PF00102 ; PF00782-PF00782,-,1.0,PPI-DDI
54996,MARC2,9804,TOMM20,-,-,1.0,PPI
29922,NME7,3104,ZBTB48,-,-,1.0,PPI
3775,KCNK1,3775,KCNK1,PF07885-PF07885,-,1.0,PPI-DDI
55103,RALGPS2,84451,MAP3K21,PF00169-PF07714,-,1.0,PPI-DDI
55103,RALGPS2,2810,SFN,-,-,1.0,PPI
4139,MARK1,2810,SFN,PF00069-PF00244,-,1.0,PPI-DDI
4139,MARK1,4139,MARK1,PF02149-PF00627 ; PF02149-PF00069 ; PF00627-PF02149 ; PF00627-PF00627 ; PF00627-PF00069 ; PF00069-PF02149 ; PF00069-PF00627 ; PF00069-PF00069,-,1.0,PPI-DDI
3104,ZBTB48,3104,ZBTB48,PF00651-PF00651 ; PF00651-PF00096 ; PF00096-PF00651 ; PF00096-PF00096,-,1.0,PPI-DDI
3104,ZBTB48,23029,RBM34,PF00096-PF00076,-,1.0,PPI-DDI
467,ATF3,467,ATF3,PF00170-PF00170 ; PF00170-PF07716 ; PF07716-PF00170 ; PF07716-PF07716,-,1.0,PPI-DDI
467,ATF3,3725,JUN,PF00170-PF00170 ; PF07716-PF00170,-,1.0,PPI-DDI
8503,PIK3R3,10657,KHDRBS1,PF00017-PF00013,-,1.0,PPI-DDI
2153,F5,2153,F5,PF07732-PF07732 ; PF07732-PF00754 ; PF00754-PF07732 ; PF00754-PF00754,-,1.0,PPI-DDI
55144,LRRC8D,23507,LRRC8B,PF12534-PF12534 ; PF13855-PF13855 ; PF13855-PF13306,-,1.0,PPI-DDI
359948,IRF2BP2,359948,IRF2BP2,-,-,1.0,PPI
1647,GADD45A,1647,GADD45A,PF01248-PF01248,-,1.0,PPI-DDI
23029,RBM34,10969,EBNA1BP2,-,-,1.0,PPI
23029,RBM34,10250,SRRM1,-,-,1.0,PPI
9181,ARHGEF2,9181,ARHGEF2,PF17838-PF17838 ; PF17838-PF00621 ; PF00621-PF17838 ; PF00621-PF00621 ; PF00621-PF00130 ; PF00130-PF00621 ; PF00130-PF00130,-,1.0,PPI-DDI
5768,QSOX1,56893,UBQLN4,PF00085-PF00627,-,1.0,PPI-DDI
115362,GBP5,115362,GBP5,PF02263-PF02263 ; PF02263-PF02841 ; PF02841-PF02263 ; PF02841-PF02841,-,1.0,PPI-DDI
7188,TRAF5,7188,TRAF5,PF00097-PF00097,-,1.0,PPI-DDI
55699,IARS2,9804,TOMM20,-,-,1.0,PPI
10657,KHDRBS1,10250,SRRM1,-,-,1.0,PPI
10657,KHDRBS1,10657,KHDRBS1,PF16274-PF16274 ; PF16274-PF00013 ; PF00013-PF16274 ; PF00013-PF00013,-,1.0,PPI-DDI
57085,AGTRAP,57085,AGTRAP,-,-,1.0,PPI
84230,LRRC8C,23507,LRRC8B,PF12534-PF12534 ; PF13855-PF13855 ; PF13855-PF13306 ; PF13306-PF13855 ; PF13306-PF13306,-,1.0,PPI-DDI
57823,SLAMF7,57823,SLAMF7,PF07686-PF07686,-,1.0,PPI-DDI
140609,NEK7,140609,NEK7,PF00069-PF00069,-,1.0,PPI-DDI
3725,JUN,3725,JUN,PF00170-PF00170,-,1.0,PPI-DDI
26191,PTPN22,26191,PTPN22,PF00102-PF00102,-,1.0,PPI-DDI
2810,SFN,2810,SFN,PF00244-PF00244,-,1.0,PPI-DDI
9804,TOMM20,9804,TOMM20,PF02064-PF02064,-,1.0,PPI-DDI
1893,ECM1,4170,MCL1,-,-,1.0,PPI
9453,GGPS1,9453,GGPS1,PF00348-PF00348,-,1.0,PPI-DDI
7391,USF1,7391,USF1,PF00010-PF00010,-,1.0,PPI-DDI
4170,MCL1,4170,MCL1,PF00452-PF00452,-,1.0,PPI-DDI
56893,UBQLN4,56893,UBQLN4,PF00627-PF00627 ; PF00627-PF00240 ; PF00240-PF00627 ; PF00240-PF00240,-,1.0,PPI-DDI
