Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
79763,ISOC2,79763,ISOC2,PF00857-PF00857,-,1.0,PPI-DDI
9603,NFE2L3,9603,NFE2L3,PF03131-PF03131,-,1.0,PPI-DDI
5536,PPP5C,996,CDC27,PF00149-PF00515 ; PF08321-PF00515 ; PF00515-PF00515 ; PF00515-PF13181,-,1.0,PPI-DDI
5685,PSMA4,5685,PSMA4,PF00227-PF00227 ; PF00227-PF10584 ; PF10584-PF00227 ; PF10584-PF10584,-,1.0,PPI-DDI
5685,PSMA4,5704,PSMC4,PF00227-PF00004 ; PF00227-PF17862 ; PF10584-PF00004 ; PF10584-PF17862,-,1.0,PPI-DDI
5685,PSMA4,1355,COX15,-,-,1.0,PPI
996,CDC27,996,CDC27,PF00515-PF00515 ; PF00515-PF13181 ; PF12895-PF12895 ; PF12895-PF13181 ; PF13181-PF00515 ; PF13181-PF12895 ; PF13181-PF13181,-,1.0,PPI-DDI
57586,SYT13,57586,SYT13,PF00168-PF00168,-,1.0,PPI-DDI
6894,TARBP1,608,TNFRSF17,-,-,1.0,PPI
6894,TARBP1,9150,CTDP1,-,-,1.0,PPI
972,CD74,972,CD74,PF00086-PF00086 ; PF08831-PF08831,-,1.0,PPI-DDI
4791,NFKB2,4791,NFKB2,PF16179-PF16179 ; PF16179-PF12796 ; PF16179-PF00554 ; PF12796-PF16179 ; PF12796-PF12796 ; PF00554-PF16179 ; PF00554-PF00554 ; PF00531-PF00531,-,1.0,PPI-DDI
7419,VDAC3,1355,COX15,-,-,1.0,PPI
7419,VDAC3,920,CD4,-,-,1.0,PPI
4830,NME1,4830,NME1,PF00334-PF00334,-,1.0,PPI-DDI
4830,NME1,11171,STRAP,-,-,1.0,PPI
84245,MRI1,84245,MRI1,PF01008-PF01008,-,1.0,PPI-DDI
9130,FAM50A,9130,FAM50A,-,-,1.0,PPI
29924,EPN1,10928,RALBP1,-,-,1.0,PPI
5954,RCN1,8798,DYRK4,PF13499-PF00069,-,1.0,PPI-DDI
9341,VAMP3,920,CD4,-,-,1.0,PPI
9341,VAMP3,6856,SYPL1,-,-,1.0,PPI
10928,RALBP1,57120,GOPC,-,-,1.0,PPI
84908,FAM136A,84220,RGPD5,-,-,1.0,PPI
84908,FAM136A,84908,FAM136A,-,-,1.0,PPI
84699,CREB3L3,84699,CREB3L3,PF00170-PF00170,-,1.0,PPI-DDI
57120,GOPC,57120,GOPC,PF00595-PF00595,-,1.0,PPI-DDI
2067,ERCC1,2067,ERCC1,-,PF14520-PF14520 ; PF00633-PF00633,0.0,PPI-DDI
5704,PSMC4,5704,PSMC4,PF00004-PF00004 ; PF00004-PF17862 ; PF00004-PF16450 ; PF17862-PF00004 ; PF17862-PF17862 ; PF16450-PF00004 ; PF16450-PF16450,-,1.0,PPI-DDI
60488,MRPS35,6141,RPL18,-,-,1.0,PPI
60488,MRPS35,1355,COX15,-,-,1.0,PPI
55593,OTUD5,2896,GRN,-,-,1.0,PPI
11171,STRAP,11171,STRAP,PF00400-PF00400,-,1.0,PPI-DDI
53615,MBD3,53615,MBD3,-,PF01429-PF01429,0.0,PPI-DDI
2896,GRN,5318,PKP2,-,-,1.0,PPI
1355,COX15,54814,QPCTL,-,-,1.0,PPI
27440,HDHD5,27440,HDHD5,PF13344-PF13344,-,1.0,PPI-DDI
90956,ADCK2,90956,ADCK2,-,-,1.0,PPI
4653,MYOC,4653,MYOC,PF02191-PF02191,-,1.0,PPI-DDI
6224,RPS20,6141,RPL18,-,-,1.0,PPI
57172,CAMK1G,933,CD22,-,PF00069-PF07686,0.0,PPI-DDI
51564,HDAC7,51564,HDAC7,PF00850-PF00850,-,1.0,PPI-DDI
10048,RANBP9,10048,RANBP9,PF00622-PF00622 ; PF08513-PF08513,-,1.0,PPI-DDI
10048,RANBP9,920,CD4,-,-,1.0,PPI
55173,MRPS10,6141,RPL18,-,-,1.0,PPI
920,CD4,920,CD4,PF05790-PF05790 ; PF05790-PF00047 ; PF05790-PF09191 ; PF00047-PF05790 ; PF00047-PF00047 ; PF09191-PF05790,-,1.0,PPI-DDI
920,CD4,6141,RPL18,-,-,1.0,PPI
23201,FAM168A,23201,FAM168A,-,-,1.0,PPI
