Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
10467,ZNHIT1,10467,ZNHIT1,-,-,1.0,PPI
23210,JMJD6,4784,NFIX,-,-,1.0,PPI
6615,SNAI1,6615,SNAI1,PF00096-PF00096,-,1.0,PPI-DDI
6615,SNAI1,3251,HPRT1,-,-,1.0,PPI
4784,NFIX,4784,NFIX,PF03165-PF03165,-,1.0,PPI-DDI
3251,HPRT1,3251,HPRT1,PF00156-PF00156,-,1.0,PPI-DDI
79598,CEP97,10193,RNF41,-,-,1.0,PPI
79598,CEP97,5347,PLK1,-,-,1.0,PPI
7422,VEGFA,7422,VEGFA,PF00341-PF00341,-,1.0,PPI-DDI
55215,FANCI,55215,FANCI,PF14674-PF14675 ; PF14680-PF14679 ; PF14680-PF14675 ; PF14680-PF14676 ; PF14680-PF14677 ; PF14679-PF14680 ; PF14679-PF14675 ; PF14679-PF14676 ; PF14679-PF14678 ; PF14675-PF14674 ; PF14675-PF14680 ; PF14675-PF14679 ; PF14676-PF14680 ; PF14676-PF14679 ; PF14676-PF14676 ; PF14677-PF14680 ; PF14677-PF14678 ; PF14678-PF14679 ; PF14678-PF14677 ; PF14678-PF14678,-,1.0,PPI-DDI
10193,RNF41,10193,RNF41,PF13923-PF13923 ; PF08941-PF08941,-,1.0,PPI-DDI
8021,NUP214,8021,NUP214,PF12894-PF12894,-,1.0,PPI-DDI
