Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
50944,SHANK1,50944,SHANK1,PF17820-PF17820 ; PF00536-PF00536 ; PF12796-PF12796 ; PF07653-PF07653,-,1.0,PPI-DDI
6780,STAU1,6780,STAU1,PF16482-PF16482 ; PF00035-PF00035,-,1.0,PPI-DDI
6780,STAU1,5162,PDHB,-,-,1.0,PPI
10589,DRAP1,10589,DRAP1,PF00808-PF00808,-,1.0,PPI-DDI
5413,SEPTIN5,5413,SEPTIN5,PF00735-PF00735,-,1.0,PPI-DDI
2475,MTOR,2475,MTOR,PF02260-PF02259 ; PF02260-PF00454 ; PF08771-PF08771 ; PF08771-PF00454 ; PF02259-PF02260 ; PF02259-PF02259 ; PF02259-PF00454 ; PF02259-PF11865 ; PF00454-PF02260 ; PF00454-PF08771 ; PF00454-PF02259 ; PF00454-PF00454 ; PF00454-PF11865 ; PF11865-PF02259 ; PF11865-PF00454,-,1.0,PPI-DDI
55737,VPS35,55737,VPS35,PF03635-PF03635,-,1.0,PPI-DDI
9833,MELK,9833,MELK,PF00069-PF00069 ; PF00069-PF02149 ; PF02149-PF00069,-,1.0,PPI-DDI
10766,TOB2,29883,CNOT7,PF07742-PF04857,-,1.0,PPI-DDI
7203,CCT3,10120,ACTR1B,PF00118-PF00022,-,1.0,PPI-DDI
147040,KCTD11,147040,KCTD11,PF02214-PF02214,-,1.0,PPI-DDI
