Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
6224,RPS20,6141,RPL18,-,-,1.0,PPI
9341,VAMP3,920,CD4,-,-,1.0,PPI
9341,VAMP3,6856,SYPL1,-,-,1.0,PPI
60488,MRPS35,65993,MRPS34,-,-,1.0,PPI
60488,MRPS35,1355,COX15,-,-,1.0,PPI
60488,MRPS35,6141,RPL18,-,-,1.0,PPI
84220,RGPD5,84908,FAM136A,-,-,1.0,PPI
5704,PSMC4,5704,PSMC4,PF00004-PF00004 ; PF00004-PF17862 ; PF00004-PF16450 ; PF17862-PF00004 ; PF17862-PF17862 ; PF16450-PF00004 ; PF16450-PF16450,-,1.0,PPI-DDI
5704,PSMC4,3028,HSD17B10,-,-,1.0,PPI
5704,PSMC4,5685,PSMA4,PF00004-PF00227 ; PF00004-PF10584 ; PF17862-PF00227 ; PF17862-PF10584,-,1.0,PPI-DDI
84245,MRI1,84245,MRI1,PF01008-PF01008,-,1.0,PPI-DDI
933,CD22,57172,CAMK1G,-,PF07686-PF00069,0.0,PPI-DDI
771,CA12,771,CA12,PF00194-PF00194,-,1.0,PPI-DDI
26469,PTPN18,26469,PTPN18,PF00102-PF00102,-,1.0,PPI-DDI
3566,IL4R,84957,RELT,-,-,1.0,PPI
80143,SIKE1,7132,TNFRSF1A,-,-,1.0,PPI
224,ALDH3A2,5250,SLC25A3,-,-,1.0,PPI
9564,BCAR1,7145,TNS1,PF00018-PF00017,PF07653-PF00017,0.5,PPI-DDI
9564,BCAR1,29924,EPN1,-,-,1.0,PPI
27440,HDHD5,27440,HDHD5,PF13344-PF13344,-,1.0,PPI-DDI
3028,HSD17B10,5954,RCN1,-,-,1.0,PPI
57120,GOPC,57120,GOPC,PF00595-PF00595,-,1.0,PPI-DDI
57120,GOPC,10928,RALBP1,-,-,1.0,PPI
5685,PSMA4,1355,COX15,-,-,1.0,PPI
5685,PSMA4,5685,PSMA4,PF00227-PF00227 ; PF00227-PF10584 ; PF10584-PF00227 ; PF10584-PF10584,-,1.0,PPI-DDI
634,CEACAM1,634,CEACAM1,PF07686-PF07686 ; PF07686-PF13927 ; PF07686-PF13895 ; PF07686-PF00047 ; PF13927-PF07686 ; PF13927-PF13927 ; PF13927-PF13895 ; PF13927-PF00047 ; PF13895-PF07686 ; PF13895-PF13927 ; PF13895-PF13895 ; PF13895-PF00047 ; PF00047-PF07686 ; PF00047-PF13927 ; PF00047-PF13895 ; PF00047-PF00047,-,1.0,PPI-DDI
4335,MNT,4335,MNT,PF00010-PF00010,-,1.0,PPI-DDI
51009,DERL2,27248,ERLEC1,-,-,1.0,PPI
9319,TRIP13,9319,TRIP13,PF00004-PF00004,-,1.0,PPI-DDI
9319,TRIP13,9150,CTDP1,-,-,1.0,PPI
65993,MRPS34,9108,MTMR7,-,-,1.0,PPI
65993,MRPS34,55173,MRPS10,-,-,1.0,PPI
8621,CDK13,9817,KEAP1,-,-,1.0,PPI
63897,HEATR6,9150,CTDP1,-,-,1.0,PPI
29924,EPN1,10928,RALBP1,-,-,1.0,PPI
972,CD74,972,CD74,PF00086-PF00086 ; PF08831-PF08831,-,1.0,PPI-DDI
8439,NSMAF,7132,TNFRSF1A,-,-,1.0,PPI
4653,MYOC,7132,TNFRSF1A,-,-,1.0,PPI
4653,MYOC,4653,MYOC,PF02191-PF02191,-,1.0,PPI-DDI
55593,OTUD5,2896,GRN,-,-,1.0,PPI
4804,NGFR,4804,NGFR,PF00531-PF00531 ; PF00531-PF00020 ; PF18422-PF18422 ; PF00020-PF00531 ; PF00020-PF00020,-,1.0,PPI-DDI
6343,SCT,6344,SCTR,PF00123-PF02793 ; PF00123-PF00002,-,1.0,PPI-DDI
5250,SLC25A3,1355,COX15,-,-,1.0,PPI
5250,SLC25A3,5954,RCN1,-,-,1.0,PPI
5250,SLC25A3,7419,VDAC3,-,-,1.0,PPI
5250,SLC25A3,9052,GPRC5A,-,-,1.0,PPI
54814,QPCTL,1355,COX15,-,-,1.0,PPI
8798,DYRK4,5954,RCN1,PF00069-PF13499,-,1.0,PPI-DDI
2067,ERCC1,2067,ERCC1,-,PF14520-PF14520 ; PF00633-PF00633,0.0,PPI-DDI
84908,FAM136A,84908,FAM136A,-,-,1.0,PPI
8514,KCNAB2,8514,KCNAB2,PF00248-PF00248,-,1.0,PPI-DDI
608,TNFRSF17,6894,TARBP1,-,-,1.0,PPI
84699,CREB3L3,84699,CREB3L3,PF00170-PF00170,-,1.0,PPI-DDI
23201,FAM168A,23201,FAM168A,-,-,1.0,PPI
9817,KEAP1,259282,BOD1L1,-,-,1.0,PPI
9817,KEAP1,11345,GABARAPL2,-,-,1.0,PPI
9817,KEAP1,9817,KEAP1,PF07707-PF00651 ; PF00651-PF07707 ; PF00651-PF00651 ; PF01344-PF01344,-,1.0,PPI-DDI
54474,KRT20,54474,KRT20,PF00038-PF00038,-,1.0,PPI-DDI
7132,TNFRSF1A,7132,TNFRSF1A,PF00020-PF00020 ; PF00020-PF00531 ; PF00531-PF00020 ; PF00531-PF00531,-,1.0,PPI-DDI
3993,LLGL2,3993,LLGL2,PF00400-PF00400,-,1.0,PPI-DDI
54763,ROPN1,54763,ROPN1,-,-,1.0,PPI
54763,ROPN1,27238,GPKOW,-,-,1.0,PPI
4791,NFKB2,602,BCL3,PF16179-PF12796 ; PF12796-PF12796,PF16179-PF00023 ; PF12796-PF00023 ; PF00554-PF00023 ; PF00531-PF00023,0.33,PPI-DDI
4791,NFKB2,4791,NFKB2,PF16179-PF16179 ; PF16179-PF12796 ; PF16179-PF00554 ; PF12796-PF16179 ; PF12796-PF12796 ; PF00554-PF16179 ; PF00554-PF00554 ; PF00531-PF00531,-,1.0,PPI-DDI
996,CDC27,5536,PPP5C,PF00515-PF00149 ; PF00515-PF08321 ; PF00515-PF00515 ; PF13181-PF00515,-,1.0,PPI-DDI
996,CDC27,996,CDC27,PF00515-PF00515 ; PF00515-PF13181 ; PF12895-PF12895 ; PF12895-PF13181 ; PF13181-PF00515 ; PF13181-PF12895 ; PF13181-PF13181,-,1.0,PPI-DDI
57172,CAMK1G,5607,MAP2K5,PF00069-PF00069 ; PF00069-PF00564,-,1.0,PPI-DDI
2896,GRN,5318,PKP2,-,-,1.0,PPI
9950,GOLGA5,90273,CEACAM21,-,-,1.0,PPI
9108,MTMR7,9108,MTMR7,PF06602-PF06602,-,1.0,PPI-DDI
9108,MTMR7,57662,CAMSAP3,-,-,1.0,PPI
9130,FAM50A,9130,FAM50A,-,-,1.0,PPI
51564,HDAC7,51564,HDAC7,PF00850-PF00850,-,1.0,PPI-DDI
920,CD4,920,CD4,PF05790-PF05790 ; PF05790-PF00047 ; PF05790-PF09191 ; PF00047-PF05790 ; PF00047-PF00047 ; PF09191-PF05790,-,1.0,PPI-DDI
920,CD4,10048,RANBP9,-,-,1.0,PPI
920,CD4,6141,RPL18,-,-,1.0,PPI
920,CD4,7419,VDAC3,-,-,1.0,PPI
4830,NME1,11171,STRAP,-,-,1.0,PPI
4830,NME1,4830,NME1,PF00334-PF00334,-,1.0,PPI-DDI
11171,STRAP,11171,STRAP,PF00400-PF00400,-,1.0,PPI-DDI
79763,ISOC2,79763,ISOC2,PF00857-PF00857,-,1.0,PPI-DDI
90956,ADCK2,90956,ADCK2,-,-,1.0,PPI
6480,ST6GAL1,6480,ST6GAL1,PF00777-PF00777,-,1.0,PPI-DDI
57586,SYT13,57586,SYT13,PF00168-PF00168,-,1.0,PPI-DDI
6894,TARBP1,9150,CTDP1,-,-,1.0,PPI
9603,NFE2L3,9603,NFE2L3,PF03131-PF03131,-,1.0,PPI-DDI
55173,MRPS10,6141,RPL18,-,-,1.0,PPI
1355,COX15,7419,VDAC3,-,-,1.0,PPI
10048,RANBP9,10048,RANBP9,PF00622-PF00622 ; PF08513-PF08513,-,1.0,PPI-DDI
53615,MBD3,53615,MBD3,-,PF01429-PF01429,0.0,PPI-DDI
440,ASNS,51015,ISOC1,-,-,1.0,PPI
5607,MAP2K5,5607,MAP2K5,PF00069-PF00069 ; PF00069-PF00564 ; PF00564-PF00069 ; PF00564-PF00564,-,1.0,PPI-DDI
