Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
3761,KCNJ4,6640,SNTA1,-,-,1.0,PPI
3761,KCNJ4,55327,LIN7C,-,-,1.0,PPI
10376,TUBA1B,81027,TUBB1,PF03953-PF00091 ; PF03953-PF03953 ; PF00091-PF00091 ; PF00091-PF03953,-,1.0,PPI-DDI
10376,TUBA1B,3004,GZMM,-,-,1.0,PPI
10376,TUBA1B,10614,HEXIM1,-,-,1.0,PPI
10376,TUBA1B,7280,TUBB2A,PF03953-PF03953 ; PF03953-PF00091 ; PF00091-PF03953 ; PF00091-PF00091,-,1.0,PPI-DDI
10376,TUBA1B,678,ZFP36L2,-,-,1.0,PPI
10376,TUBA1B,84946,LTV1,-,-,1.0,PPI
10376,TUBA1B,894,CCND2,-,-,1.0,PPI
10376,TUBA1B,29978,UBQLN2,-,-,1.0,PPI
10376,TUBA1B,919,CD247,-,-,1.0,PPI
10376,TUBA1B,988,CDC5L,-,-,1.0,PPI
10376,TUBA1B,26136,TES,-,-,1.0,PPI
10376,TUBA1B,347733,TUBB2B,PF03953-PF03953 ; PF03953-PF00091 ; PF00091-PF03953 ; PF00091-PF00091,-,1.0,PPI-DDI
10376,TUBA1B,10383,TUBB4B,PF03953-PF00091 ; PF03953-PF03953 ; PF00091-PF00091 ; PF00091-PF03953,-,1.0,PPI-DDI
10376,TUBA1B,6615,SNAI1,-,-,1.0,PPI
10376,TUBA1B,54101,RIPK4,PF03953-PF13637 ; PF00091-PF13637 ; PF00091-PF12796,-,1.0,PPI-DDI
4283,CXCL9,2833,CXCR3,PF00048-PF00001,-,1.0,PPI-DDI
147746,HIPK4,1938,EEF2,PF00069-PF00679 ; PF00069-PF00009,-,1.0,PPI-DDI
116085,SLC22A12,5174,PDZK1,-,-,1.0,PPI
3034,HAL,55633,TBC1D22B,-,-,1.0,PPI
3034,HAL,4893,NRAS,-,-,1.0,PPI
3034,HAL,51209,RAB9B,-,-,1.0,PPI
3020,H3-3A,8349,H2BC21,PF00125-PF00125,-,1.0,PPI-DDI
3020,H3-3A,2033,EP300,PF00125-PF08214 ; PF00125-PF00439,-,1.0,PPI-DDI
3020,H3-3A,7290,HIRA,PF00125-PF00400,-,1.0,PPI-DDI
3020,H3-3A,64925,CCDC71,-,-,1.0,PPI
3020,H3-3A,7150,TOP1,-,-,1.0,PPI
3020,H3-3A,79813,EHMT1,-,-,1.0,PPI
3020,H3-3A,3832,KIF11,-,-,1.0,PPI
3020,H3-3A,7054,TH,-,-,1.0,PPI
116236,ABHD15,3310,HSPA6,-,-,1.0,PPI
7291,TWIST1,404281,YY2,-,-,1.0,PPI
7291,TWIST1,2033,EP300,PF00010-PF00439,-,1.0,PPI-DDI
7291,TWIST1,7283,TUBG1,-,-,1.0,PPI
7291,TWIST1,377630,USP17L2,-,-,1.0,PPI
7291,TWIST1,6657,SOX2,-,-,1.0,PPI
7291,TWIST1,3202,HOXA5,PF00010-PF00046,-,1.0,PPI-DDI
7291,TWIST1,7431,VIM,-,-,1.0,PPI
7291,TWIST1,117581,TWIST2,PF00010-PF00010,-,1.0,PPI-DDI
128486,FITM2,719,C3AR1,-,-,1.0,PPI
10642,IGF2BP1,81876,RAB1B,PF00013-PF00071,-,1.0,PPI-DDI
10642,IGF2BP1,2033,EP300,PF00076-PF00439,-,1.0,PPI-DDI
10642,IGF2BP1,10614,HEXIM1,-,-,1.0,PPI
10642,IGF2BP1,161198,CLEC14A,-,-,1.0,PPI
10642,IGF2BP1,29978,UBQLN2,PF00076-PF00627,-,1.0,PPI-DDI
10642,IGF2BP1,5071,PRKN,-,-,1.0,PPI
10642,IGF2BP1,6615,SNAI1,PF00076-PF00096,-,1.0,PPI-DDI
10642,IGF2BP1,4520,MTF1,PF00076-PF00096,-,1.0,PPI-DDI
10642,IGF2BP1,23708,GSPT2,PF00076-PF03143,-,1.0,PPI-DDI
10642,IGF2BP1,83987,CCDC8,-,-,1.0,PPI
10642,IGF2BP1,192670,AGO4,-,-,1.0,PPI
3233,HOXD4,2033,EP300,-,-,1.0,PPI
3233,HOXD4,6615,SNAI1,PF00046-PF00096,-,1.0,PPI-DDI
7718,ZNF165,11007,CCDC85B,-,-,1.0,PPI
7718,ZNF165,51224,ELOA2,-,-,1.0,PPI
