Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
85364,ZCCHC3,23708,GSPT2,-,-,1.0,PPI
85364,ZCCHC3,1044,CDX1,-,-,1.0,PPI
133746,JMY,2033,EP300,-,-,1.0,PPI
4654,MYOD1,4654,MYOD1,PF00010-PF00010,-,1.0,PPI-DDI
4654,MYOD1,93649,MYOCD,-,-,1.0,PPI
4654,MYOD1,2033,EP300,PF00010-PF00439,-,1.0,PPI-DDI
4654,MYOD1,5081,PAX7,PF00010-PF00046,-,1.0,PPI-DDI
4654,MYOD1,3725,JUN,-,-,1.0,PPI
10981,RAB32,23682,RAB38,PF00071-PF00071,-,1.0,PPI-DDI
10981,RAB32,2925,GRPR,-,-,1.0,PPI
10981,RAB32,221074,SLC39A12,-,-,1.0,PPI
6456,SH3GL2,6456,SH3GL2,PF03114-PF03114 ; PF07653-PF07653,-,1.0,PPI-DDI
6456,SH3GL2,6455,SH3GL1,PF03114-PF03114 ; PF03114-PF00018 ; PF07653-PF00018,-,1.0,PPI-DDI
6456,SH3GL2,867,CBL,-,-,1.0,PPI
6456,SH3GL2,7123,CLEC3B,-,-,1.0,PPI
6456,SH3GL2,8728,ADAM19,-,-,1.0,PPI
6456,SH3GL2,25975,EGFL6,-,-,1.0,PPI
84171,LOXL4,22928,SEPHS2,-,-,1.0,PPI
84171,LOXL4,9319,TRIP13,-,-,1.0,PPI
84171,LOXL4,55170,PRMT6,-,-,1.0,PPI
5042,PABPC3,10614,HEXIM1,-,-,1.0,PPI
5042,PABPC3,23144,ZC3H3,PF00076-PF00642,-,1.0,PPI-DDI
5042,PABPC3,5071,PRKN,-,-,1.0,PPI
5042,PABPC3,6647,SOD1,-,-,1.0,PPI
5042,PABPC3,4255,MGMT,-,-,1.0,PPI
114824,PNMA5,9240,PNMA1,-,-,1.0,PPI
114824,PNMA5,7431,VIM,-,-,1.0,PPI
