Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000100307,CBX7,ENSG00000101266,CSNK2A1,-,-,1.0,PPI
ENSG00000101150,TPD52L2,ENSG00000101150,TPD52L2,-,-,1.0,PPI
ENSG00000100299,ARSA,ENSG00000100299,ARSA,PF00884-PF00884 ; PF00884-PF14707 ; PF14707-PF00884 ; PF14707-PF14707,-,1.0,PPI-DDI
ENSG00000090060,PAPOLA,ENSG00000100429,HDAC10,-,-,1.0,PPI
ENSG00000185019,UBOX5,ENSG00000185019,UBOX5,PF04564-PF04564,-,1.0,PPI-DDI
ENSG00000100376,FAM118A,ENSG00000100376,FAM118A,-,-,1.0,PPI
ENSG00000100504,PYGL,ENSG00000100297,MCM5,-,-,1.0,PPI
ENSG00000100504,PYGL,ENSG00000100994,PYGB,PF00343-PF00343,-,1.0,PPI-DDI
ENSG00000100504,PYGL,ENSG00000100504,PYGL,PF00343-PF00343,-,1.0,PPI-DDI
ENSG00000100504,PYGL,ENSG00000129465,RIPK3,-,-,1.0,PPI
ENSG00000100504,PYGL,ENSG00000101444,AHCY,-,-,1.0,PPI
ENSG00000100209,HSCB,ENSG00000100209,HSCB,PF07743-PF07743,-,1.0,PPI-DDI
ENSG00000100462,PRMT5,ENSG00000100462,PRMT5,PF17285-PF17286 ; PF17285-PF05185 ; PF17286-PF17285 ; PF17286-PF17286 ; PF17286-PF05185 ; PF05185-PF17285 ; PF05185-PF17286,-,1.0,PPI-DDI
ENSG00000100462,PRMT5,ENSG00000100412,ACO2,-,-,1.0,PPI
ENSG00000100462,PRMT5,ENSG00000100591,AHSA1,-,-,1.0,PPI
ENSG00000100462,PRMT5,ENSG00000080824,HSP90AA1,-,-,1.0,PPI
ENSG00000100462,PRMT5,ENSG00000101255,TRIB3,-,-,1.0,PPI
ENSG00000100462,PRMT5,ENSG00000088833,NSFL1C,-,-,1.0,PPI
ENSG00000100462,PRMT5,ENSG00000100297,MCM5,-,-,1.0,PPI
ENSG00000100532,CGRRF1,ENSG00000183741,CBX6,-,-,1.0,PPI
ENSG00000100412,ACO2,ENSG00000239900,ADSL,-,-,1.0,PPI
ENSG00000100883,SRP54,ENSG00000100883,SRP54,PF02881-PF02881 ; PF02881-PF02978 ; PF02881-PF00448 ; PF02978-PF02881 ; PF02978-PF02978 ; PF02978-PF00448 ; PF00448-PF02881 ; PF00448-PF02978 ; PF00448-PF00448,-,1.0,PPI-DDI
ENSG00000100836,PABPN1,ENSG00000100380,ST13,-,-,1.0,PPI
ENSG00000100836,PABPN1,ENSG00000080824,HSP90AA1,-,-,1.0,PPI
ENSG00000101441,CST4,ENSG00000023608,SNAPC1,-,-,1.0,PPI
ENSG00000100206,DMC1,ENSG00000100567,PSMA3,-,-,1.0,PPI
ENSG00000100206,DMC1,ENSG00000100206,DMC1,PF08423-PF08423,PF08423-PF14520 ; PF14520-PF08423 ; PF14520-PF14520,0.25,PPI-DDI
ENSG00000100426,ZBED4,ENSG00000080824,HSP90AA1,-,-,1.0,PPI
ENSG00000100426,ZBED4,ENSG00000100426,ZBED4,PF05699-PF05699,-,1.0,PPI-DDI
ENSG00000101421,CHMP4B,ENSG00000101421,CHMP4B,PF03357-PF03357,-,1.0,PPI-DDI
ENSG00000101057,MYBL2,ENSG00000101057,MYBL2,PF00249-PF00249,-,1.0,PPI-DDI
ENSG00000100216,TOMM22,ENSG00000100216,TOMM22,-,-,1.0,PPI
ENSG00000100216,TOMM22,ENSG00000100348,TXN2,-,-,1.0,PPI
ENSG00000100567,PSMA3,ENSG00000129988,LBP,-,-,1.0,PPI
ENSG00000100567,PSMA3,ENSG00000100567,PSMA3,PF00227-PF00227 ; PF00227-PF10584 ; PF10584-PF00227 ; PF10584-PF10584,-,1.0,PPI-DDI
ENSG00000100567,PSMA3,ENSG00000101266,CSNK2A1,PF00227-PF00069,-,1.0,PPI-DDI
ENSG00000100567,PSMA3,ENSG00000100911,PSME2,PF10584-PF02252,-,1.0,PPI-DDI
ENSG00000100567,PSMA3,ENSG00000100297,MCM5,-,-,1.0,PPI
ENSG00000100567,PSMA3,ENSG00000080824,HSP90AA1,-,-,1.0,PPI
ENSG00000100567,PSMA3,ENSG00000101210,EEF1A2,-,-,1.0,PPI
ENSG00000100567,PSMA3,ENSG00000101255,TRIB3,PF00227-PF00069,-,1.0,PPI-DDI
ENSG00000100567,PSMA3,ENSG00000100345,MYH9,-,-,1.0,PPI
ENSG00000101266,CSNK2A1,ENSG00000092201,SUPT16H,-,-,1.0,PPI
ENSG00000101266,CSNK2A1,ENSG00000100941,PNN,-,-,1.0,PPI
ENSG00000101266,CSNK2A1,ENSG00000100345,MYH9,PF00069-PF00063 ; PF00069-PF02736,-,1.0,PPI-DDI
ENSG00000101266,CSNK2A1,ENSG00000101266,CSNK2A1,PF00069-PF00069,PF00069-PF07714 ; PF07714-PF00069 ; PF07714-PF07714,0.25,PPI-DDI
ENSG00000101266,CSNK2A1,ENSG00000080824,HSP90AA1,PF00069-PF02518 ; PF00069-PF00183,-,1.0,PPI-DDI
ENSG00000100941,PNN,ENSG00000100941,PNN,-,-,1.0,PPI
ENSG00000100941,PNN,ENSG00000100387,RBX1,-,-,1.0,PPI
ENSG00000100219,XBP1,ENSG00000100219,XBP1,PF07716-PF07716,-,1.0,PPI-DDI
ENSG00000100906,NFKBIA,ENSG00000100522,GNPNAT1,-,-,1.0,PPI
ENSG00000092201,SUPT16H,ENSG00000092201,SUPT16H,PF08644-PF08512 ; PF14826-PF14826 ; PF14826-PF00557 ; PF08512-PF08644 ; PF08512-PF08512 ; PF00557-PF14826 ; PF00557-PF00557,-,1.0,PPI-DDI
ENSG00000020256,ZFP64,ENSG00000100395,L3MBTL2,-,-,1.0,PPI
ENSG00000100380,ST13,ENSG00000080824,HSP90AA1,-,-,1.0,PPI
ENSG00000129465,RIPK3,ENSG00000129465,RIPK3,PF12721-PF12721 ; PF00069-PF00069,-,1.0,PPI-DDI
ENSG00000100591,AHSA1,ENSG00000080824,HSP90AA1,PF09229-PF00183,-,1.0,PPI-DDI
ENSG00000132670,PTPRA,ENSG00000132670,PTPRA,PF00102-PF00102,-,1.0,PPI-DDI
ENSG00000100387,RBX1,ENSG00000100387,RBX1,PF12678-PF12678,-,1.0,PPI-DDI
ENSG00000100387,RBX1,ENSG00000100324,TAB1,-,-,1.0,PPI
ENSG00000100387,RBX1,ENSG00000100316,RPL3,-,-,1.0,PPI
ENSG00000101444,AHCY,ENSG00000101210,EEF1A2,-,-,1.0,PPI
ENSG00000101444,AHCY,ENSG00000101444,AHCY,PF05221-PF05221 ; PF05221-PF00670 ; PF00670-PF05221 ; PF00670-PF00670,-,1.0,PPI-DDI
ENSG00000101444,AHCY,ENSG00000088833,NSFL1C,-,-,1.0,PPI
ENSG00000100994,PYGB,ENSG00000100994,PYGB,PF00343-PF00343,-,1.0,PPI-DDI
ENSG00000100994,PYGB,ENSG00000100297,MCM5,-,-,1.0,PPI
ENSG00000100297,MCM5,ENSG00000080824,HSP90AA1,-,-,1.0,PPI
ENSG00000100297,MCM5,ENSG00000100345,MYH9,-,-,1.0,PPI
ENSG00000100297,MCM5,ENSG00000101210,EEF1A2,-,-,1.0,PPI
ENSG00000100911,PSME2,ENSG00000100911,PSME2,PF02252-PF02252 ; PF02252-PF02251 ; PF02251-PF02252 ; PF02251-PF02251,-,1.0,PPI-DDI
ENSG00000184117,NIPSNAP1,ENSG00000100350,FOXRED2,-,-,1.0,PPI
ENSG00000100577,GSTZ1,ENSG00000100577,GSTZ1,PF13417-PF13417 ; PF13417-PF14497 ; PF14497-PF13417 ; PF14497-PF14497,PF14497-PF13409 ; PF14497-PF02798 ; PF13409-PF14497 ; PF13409-PF13409 ; PF02798-PF14497 ; PF02798-PF02798,0.4,PPI-DDI
ENSG00000080824,HSP90AA1,ENSG00000101213,PTK6,-,-,1.0,PPI
