Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000161958,FGF11,ENSG00000128422,KRT17,-,-,1.0,PPI
ENSG00000076604,TRAF4,ENSG00000076604,TRAF4,PF00097-PF00097,-,1.0,PPI-DDI
ENSG00000076604,TRAF4,ENSG00000178691,SUZ12,-,-,1.0,PPI
ENSG00000128422,KRT17,ENSG00000108518,PFN1,-,-,1.0,PPI
ENSG00000128422,KRT17,ENSG00000186832,KRT16,PF00038-PF00038,-,1.0,PPI-DDI
ENSG00000178691,SUZ12,ENSG00000178691,SUZ12,-,-,1.0,PPI
ENSG00000178691,SUZ12,ENSG00000177374,HIC1,-,-,1.0,PPI
ENSG00000091640,SPAG7,ENSG00000091640,SPAG7,PF01424-PF01424,-,1.0,PPI-DDI
ENSG00000108468,CBX1,ENSG00000108468,CBX1,PF01393-PF01393 ; PF00385-PF00385,-,1.0,PPI-DDI
ENSG00000177374,HIC1,ENSG00000177374,HIC1,PF00651-PF00651 ; PF00651-PF00096 ; PF00096-PF00651 ; PF00096-PF00096,-,1.0,PPI-DDI
ENSG00000141456,PELP1,ENSG00000141510,TP53,-,-,1.0,PPI
ENSG00000198242,RPL23A,ENSG00000141510,TP53,-,-,1.0,PPI
ENSG00000213859,KCTD11,ENSG00000213859,KCTD11,PF02214-PF02214,-,1.0,PPI-DDI
ENSG00000173805,HAP1,ENSG00000173805,HAP1,PF04849-PF04849,-,1.0,PPI-DDI
ENSG00000154803,FLCN,ENSG00000170296,GABARAP,-,-,1.0,PPI
ENSG00000070444,MNT,ENSG00000070444,MNT,PF00010-PF00010,-,1.0,PPI-DDI
ENSG00000170296,GABARAP,ENSG00000170296,GABARAP,PF02991-PF02991,-,1.0,PPI-DDI
ENSG00000170296,GABARAP,ENSG00000004975,DVL2,-,-,1.0,PPI
ENSG00000181481,RNF135,ENSG00000181481,RNF135,PF00622-PF00622,-,1.0,PPI-DDI
ENSG00000141510,TP53,ENSG00000141510,TP53,PF18521-PF08563 ; PF08563-PF18521 ; PF00870-PF00870 ; PF00870-PF07710 ; PF07710-PF00870 ; PF07710-PF07710,-,1.0,PPI-DDI
ENSG00000141510,TP53,ENSG00000004975,DVL2,-,-,1.0,PPI
ENSG00000174292,TNK1,ENSG00000174292,TNK1,PF07714-PF07714,-,1.0,PPI-DDI
ENSG00000004975,DVL2,ENSG00000004975,DVL2,PF00595-PF00595 ; PF00595-PF00610 ; PF00595-PF02377 ; PF00595-PF00778 ; PF00610-PF00595 ; PF00610-PF00610 ; PF02377-PF00595 ; PF02377-PF00778 ; PF00778-PF00595 ; PF00778-PF02377 ; PF00778-PF00778,-,1.0,PPI-DDI
ENSG00000133028,SCO1,ENSG00000133028,SCO1,PF02630-PF02630,-,1.0,PPI-DDI
