Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000064835,POU1F1,ENSG00000177606,JUN,-,-,1.0,PPI
ENSG00000064835,POU1F1,ENSG00000221869,CEBPD,-,-,1.0,PPI
ENSG00000064835,POU1F1,ENSG00000170759,KIF5B,-,-,1.0,PPI
ENSG00000172197,MBOAT1,ENSG00000136111,TBC1D4,-,-,1.0,PPI
ENSG00000172197,MBOAT1,ENSG00000177469,CAVIN1,-,-,1.0,PPI
ENSG00000112297,CRYBG1,ENSG00000065491,TBC1D22B,-,-,1.0,PPI
ENSG00000186684,CYP27C1,ENSG00000168412,MTNR1A,-,-,1.0,PPI
ENSG00000139874,SSTR1,ENSG00000101400,SNTA1,PF00001-PF00595,-,1.0,PPI-DDI
ENSG00000135269,TES,ENSG00000125352,RNF113A,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000089289,IGBP1,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000197903,H2BC12,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000135269,TES,PF00412-PF00412,-,1.0,PPI-DDI
ENSG00000135269,TES,ENSG00000026025,VIM,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000086061,DNAJA1,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000075618,FSCN1,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000139988,RDH12,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000106211,HSPB1,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000142627,EPHA2,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000188229,TUBB4B,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000158623,COPG2,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000163154,TNFAIP8L2,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000128422,KRT17,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000071539,TRIP13,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000137267,TUBB2A,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000123416,TUBA1B,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000184602,SNN,-,-,1.0,PPI
ENSG00000135269,TES,ENSG00000198142,SOWAHC,PF00412-PF12796,-,1.0,PPI-DDI
ENSG00000135269,TES,ENSG00000181788,SIAH2,-,-,1.0,PPI
ENSG00000197769,MAP1LC3C,ENSG00000120696,KBTBD7,-,-,1.0,PPI
ENSG00000197769,MAP1LC3C,ENSG00000165572,KBTBD6,-,-,1.0,PPI
ENSG00000287363,GUCA1A,ENSG00000106211,HSPB1,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000277203,F8A1,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000176887,SOX11,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000198937,CCDC167,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000143870,PDIA6,PF00001-PF00085,-,1.0,PPI-DDI
ENSG00000168412,MTNR1A,ENSG00000134153,EMC7,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000065135,GNAI3,PF00001-PF00503,-,1.0,PPI-DDI
ENSG00000168412,MTNR1A,ENSG00000163661,PTX3,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000254772,EEF1G,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000101856,PGRMC1,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000143614,GATAD2B,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000170385,SLC30A1,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000096092,TMEM14A,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000133124,AL035425.3,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000177733,HNRNPA0,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000136238,RAC1,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000177432,NAP1L5,-,-,1.0,PPI
ENSG00000168412,MTNR1A,ENSG00000139352,ASCL1,-,-,1.0,PPI
ENSG00000163815,CLEC3B,ENSG00000107295,SH3GL2,-,-,1.0,PPI
ENSG00000115361,ACADL,ENSG00000143858,SYT2,-,-,1.0,PPI
ENSG00000164816,DEFA5,ENSG00000131094,C1QL1,-,-,1.0,PPI
ENSG00000164816,DEFA5,ENSG00000135617,PRADC1,-,-,1.0,PPI
ENSG00000164816,DEFA5,ENSG00000136720,HS6ST1,-,-,1.0,PPI
ENSG00000164816,DEFA5,ENSG00000150893,FREM2,-,-,1.0,PPI
ENSG00000164816,DEFA5,ENSG00000213965,NUDT19,-,-,1.0,PPI
ENSG00000180644,PRF1,ENSG00000180644,PRF1,PF00168-PF00168 ; PF01823-PF01823,-,1.0,PPI-DDI
ENSG00000206181,ELOA2,ENSG00000120669,SOHLH2,-,-,1.0,PPI
ENSG00000206181,ELOA2,ENSG00000121058,COIL,-,-,1.0,PPI
ENSG00000206181,ELOA2,ENSG00000197279,ZNF165,-,-,1.0,PPI
ENSG00000107295,SH3GL2,ENSG00000110395,CBL,-,-,1.0,PPI
ENSG00000107295,SH3GL2,ENSG00000107295,SH3GL2,PF03114-PF03114 ; PF07653-PF07653,-,1.0,PPI-DDI
ENSG00000107295,SH3GL2,ENSG00000198759,EGFL6,-,-,1.0,PPI
ENSG00000107295,SH3GL2,ENSG00000141985,SH3GL1,PF03114-PF03114 ; PF03114-PF00018 ; PF07653-PF00018,-,1.0,PPI-DDI
ENSG00000107295,SH3GL2,ENSG00000135074,ADAM19,-,-,1.0,PPI
ENSG00000130427,EPO,ENSG00000100393,EP300,-,-,1.0,PPI
ENSG00000130427,EPO,ENSG00000055211,GINM1,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000106366,SERPINE1,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000186834,HEXIM1,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000101367,MAPRE1,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000111276,CDKN1B,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000198356,GET3,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000122566,HNRNPA2B1,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000148303,RPL7A,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000008018,PSMB1,PF00227-PF00227,-,1.0,PPI-DDI
ENSG00000008018,PSMB1,ENSG00000185345,PRKN,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000169504,CLIC4,-,-,1.0,PPI
ENSG00000008018,PSMB1,ENSG00000136930,PSMB7,PF00227-PF00227 ; PF00227-PF12465,-,1.0,PPI-DDI
ENSG00000139973,SYT16,ENSG00000139973,SYT16,PF00168-PF00168,-,1.0,PPI-DDI
ENSG00000139973,SYT16,ENSG00000184363,PKP3,-,-,1.0,PPI
ENSG00000079257,LXN,ENSG00000187626,ZKSCAN4,-,-,1.0,PPI
ENSG00000079257,LXN,ENSG00000096092,TMEM14A,-,-,1.0,PPI
ENSG00000143878,RHOB,ENSG00000136238,RAC1,PF00071-PF00071,-,1.0,PPI-DDI
ENSG00000215251,FASTKD5,ENSG00000175602,CCDC85B,-,-,1.0,PPI
ENSG00000215251,FASTKD5,ENSG00000185149,NPY2R,-,-,1.0,PPI
ENSG00000215251,FASTKD5,ENSG00000134070,IRAK2,-,-,1.0,PPI
ENSG00000215251,FASTKD5,ENSG00000131462,TUBG1,-,-,1.0,PPI
ENSG00000183779,ZNF703,ENSG00000179886,TIGD5,-,-,1.0,PPI
ENSG00000183779,ZNF703,ENSG00000205111,CDKL4,-,-,1.0,PPI
ENSG00000183779,ZNF703,ENSG00000119614,VSX2,-,-,1.0,PPI
ENSG00000188375,H3-5,ENSG00000124216,SNAI1,PF00125-PF00096,-,1.0,PPI-DDI
ENSG00000188375,H3-5,ENSG00000198890,PRMT6,-,-,1.0,PPI
ENSG00000188375,H3-5,ENSG00000138160,KIF11,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000172336,POP7,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000124171,PARD6B,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000178021,TSPYL6,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000137054,POLR1E,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000140941,MAP1LC3B,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000125901,MRPS26,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000113722,CDX1,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000175130,MARCKSL1,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000278845,MRPL45,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000173141,MRPL57,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000165572,KBTBD6,PF07707-PF00651 ; PF00651-PF07707 ; PF00651-PF00651 ; PF01344-PF01344,-,1.0,PPI-DDI
ENSG00000120696,KBTBD7,ENSG00000143162,CREG1,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000130748,TMEM160,-,-,1.0,PPI
ENSG00000120696,KBTBD7,ENSG00000166509,CLEC3A,-,-,1.0,PPI
