Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
29924,EPN1,9564,BCAR1,-,-,1.0,PPI
29924,EPN1,10928,RALBP1,-,-,1.0,PPI
ENSG00000050820,BCAR1,ENSG00000079308,TNS1,PF00018-PF00017,PF07653-PF00017,0.5,PPI-DDI
ENSG00000069399,BCL3,ENSG00000077150,NFKB2,PF12796-PF16179 ; PF12796-PF12796,PF00023-PF16179 ; PF00023-PF12796 ; PF00023-PF00554 ; PF00023-PF00531,0.33,PPI-DDI
3028,HSD17B10,5954,RCN1,-,-,1.0,PPI
3028,HSD17B10,5704,PSMC4,-,-,1.0,PPI
54763,ROPN1,54763,ROPN1,-,-,1.0,PPI
54763,ROPN1,27238,GPKOW,-,-,1.0,PPI
ENSG00000079999,KEAP1,ENSG00000079999,KEAP1,PF07707-PF00651 ; PF00651-PF07707 ; PF00651-PF00651 ; PF01344-PF01344,-,1.0,PPI-DDI
9817,KEAP1,8621,CDK13,-,-,1.0,PPI
9817,KEAP1,259282,BOD1L1,-,-,1.0,PPI
9817,KEAP1,11345,GABARAPL2,-,-,1.0,PPI
5250,SLC25A3,7419,VDAC3,-,-,1.0,PPI
5250,SLC25A3,1355,COX15,-,-,1.0,PPI
5250,SLC25A3,224,ALDH3A2,-,-,1.0,PPI
5250,SLC25A3,5954,RCN1,-,-,1.0,PPI
5250,SLC25A3,9052,GPRC5A,-,-,1.0,PPI
10928,RALBP1,57120,GOPC,-,-,1.0,PPI
4653,MYOC,7132,TNFRSF1A,-,-,1.0,PPI
ENSG00000034971,MYOC,ENSG00000034971,MYOC,PF02191-PF02191,-,1.0,PPI-DDI
7419,VDAC3,1355,COX15,-,-,1.0,PPI
7419,VDAC3,920,CD4,-,-,1.0,PPI
6856,SYPL1,9341,VAMP3,-,-,1.0,PPI
ENSG00000011485,PPP5C,ENSG00000004897,CDC27,PF00149-PF00515 ; PF08321-PF00515 ; PF00515-PF00515 ; PF00515-PF13181,-,1.0,PPI-DDI
2896,GRN,55593,OTUD5,-,-,1.0,PPI
2896,GRN,5318,PKP2,-,-,1.0,PPI
27248,ERLEC1,51009,DERL2,-,-,1.0,PPI
ENSG00000239672,NME1,ENSG00000239672,NME1,PF00334-PF00334,-,1.0,PPI-DDI
4830,NME1,11171,STRAP,-,-,1.0,PPI
90956,ADCK2,90956,ADCK2,-,-,1.0,PPI
8439,NSMAF,7132,TNFRSF1A,-,-,1.0,PPI
9130,FAM50A,9130,FAM50A,-,-,1.0,PPI
84908,FAM136A,84220,RGPD5,-,-,1.0,PPI
84908,FAM136A,84908,FAM136A,-,-,1.0,PPI
54814,QPCTL,1355,COX15,-,-,1.0,PPI
ENSG00000171431,KRT20,ENSG00000171431,KRT20,PF00038-PF00038,-,1.0,PPI-DDI
80143,SIKE1,7132,TNFRSF1A,-,-,1.0,PPI
90273,CEACAM21,9950,GOLGA5,-,-,1.0,PPI
ENSG00000063241,ISOC2,ENSG00000063241,ISOC2,PF00857-PF00857,-,1.0,PPI-DDI
9108,MTMR7,65993,MRPS34,-,-,1.0,PPI
9108,MTMR7,57662,CAMSAP3,-,-,1.0,PPI
ENSG00000003987,MTMR7,ENSG00000003987,MTMR7,PF06602-PF06602,-,1.0,PPI-DDI
ENSG00000060566,CREB3L3,ENSG00000060566,CREB3L3,PF00170-PF00170,-,1.0,PPI-DDI
ENSG00000064300,NGFR,ENSG00000064300,NGFR,PF00531-PF00531 ; PF00531-PF00020 ; PF18422-PF18422 ; PF00020-PF00531 ; PF00020-PF00020,-,1.0,PPI-DDI
ENSG00000137764,MAP2K5,ENSG00000137764,MAP2K5,PF00069-PF00069 ; PF00069-PF00564 ; PF00564-PF00069 ; PF00564-PF00564,-,1.0,PPI-DDI
ENSG00000137764,MAP2K5,ENSG00000008118,CAMK1G,PF00069-PF00069 ; PF00564-PF00069,-,1.0,PPI-DDI
ENSG00000069998,HDHD5,ENSG00000069998,HDHD5,PF13344-PF13344,-,1.0,PPI-DDI
ENSG00000069424,KCNAB2,ENSG00000069424,KCNAB2,PF00248-PF00248,-,1.0,PPI-DDI
23201,FAM168A,23201,FAM168A,-,-,1.0,PPI
60488,MRPS35,1355,COX15,-,-,1.0,PPI
60488,MRPS35,65993,MRPS34,-,-,1.0,PPI
60488,MRPS35,6141,RPL18,-,-,1.0,PPI
ENSG00000070031,SCT,ENSG00000080293,SCTR,PF00123-PF02793 ; PF00123-PF00002,-,1.0,PPI-DDI
63897,HEATR6,9150,CTDP1,-,-,1.0,PPI
440,ASNS,51015,ISOC1,-,-,1.0,PPI
ENSG00000074410,CA12,ENSG00000074410,CA12,PF00194-PF00194,-,1.0,PPI-DDI
920,CD4,10048,RANBP9,-,-,1.0,PPI
920,CD4,9341,VAMP3,-,-,1.0,PPI
ENSG00000010610,CD4,ENSG00000010610,CD4,PF05790-PF05790 ; PF05790-PF00047 ; PF05790-PF09191 ; PF00047-PF05790 ; PF00047-PF00047 ; PF09191-PF05790,-,1.0,PPI-DDI
920,CD4,6141,RPL18,-,-,1.0,PPI
ENSG00000072135,PTPN18,ENSG00000072135,PTPN18,PF00102-PF00102,-,1.0,PPI-DDI
ENSG00000071655,MBD3,ENSG00000071655,MBD3,-,PF01429-PF01429,0.0,PPI-DDI
ENSG00000037757,MRI1,ENSG00000037757,MRI1,PF01008-PF01008,-,1.0,PPI-DDI
ENSG00000010219,DYRK4,ENSG00000049449,RCN1,PF00069-PF13499,-,1.0,PPI-DDI
1355,COX15,5685,PSMA4,-,-,1.0,PPI
ENSG00000012124,CD22,ENSG00000008118,CAMK1G,-,PF07686-PF00069,0.0,PPI-DDI
ENSG00000010017,RANBP9,ENSG00000010017,RANBP9,PF00622-PF00622 ; PF08513-PF08513,-,1.0,PPI-DDI
ENSG00000023734,STRAP,ENSG00000023734,STRAP,PF00400-PF00400,-,1.0,PPI-DDI
ENSG00000071539,TRIP13,ENSG00000071539,TRIP13,PF00004-PF00004,-,1.0,PPI-DDI
9319,TRIP13,9150,CTDP1,-,-,1.0,PPI
ENSG00000073849,ST6GAL1,ENSG00000073849,ST6GAL1,PF00777-PF00777,-,1.0,PPI-DDI
608,TNFRSF17,6894,TARBP1,-,-,1.0,PPI
ENSG00000067182,TNFRSF1A,ENSG00000067182,TNFRSF1A,PF00020-PF00020 ; PF00020-PF00531 ; PF00531-PF00020 ; PF00531-PF00531,-,1.0,PPI-DDI
ENSG00000073350,LLGL2,ENSG00000073350,LLGL2,PF00400-PF00400,-,1.0,PPI-DDI
9150,CTDP1,6894,TARBP1,-,-,1.0,PPI
3566,IL4R,84957,RELT,-,-,1.0,PPI
ENSG00000050344,NFE2L3,ENSG00000050344,NFE2L3,PF03131-PF03131,-,1.0,PPI-DDI
ENSG00000077150,NFKB2,ENSG00000077150,NFKB2,PF16179-PF16179 ; PF16179-PF12796 ; PF16179-PF00554 ; PF12796-PF16179 ; PF12796-PF12796 ; PF00554-PF16179 ; PF00554-PF00554 ; PF00531-PF00531,-,1.0,PPI-DDI
6224,RPS20,6141,RPL18,-,-,1.0,PPI
ENSG00000079385,CEACAM1,ENSG00000079385,CEACAM1,PF07686-PF07686 ; PF07686-PF13927 ; PF07686-PF13895 ; PF07686-PF00047 ; PF13927-PF07686 ; PF13927-PF13927 ; PF13927-PF13895 ; PF13927-PF00047 ; PF13895-PF07686 ; PF13895-PF13927 ; PF13895-PF13895 ; PF13895-PF00047 ; PF00047-PF07686 ; PF00047-PF13927 ; PF00047-PF13895 ; PF00047-PF00047,-,1.0,PPI-DDI
ENSG00000019582,CD74,ENSG00000019582,CD74,PF00086-PF00086 ; PF08831-PF08831,-,1.0,PPI-DDI
ENSG00000004897,CDC27,ENSG00000004897,CDC27,PF00515-PF00515 ; PF00515-PF13181 ; PF12895-PF12895 ; PF12895-PF13181 ; PF13181-PF00515 ; PF13181-PF12895 ; PF13181-PF13181,-,1.0,PPI-DDI
ENSG00000047932,GOPC,ENSG00000047932,GOPC,PF00595-PF00595,-,1.0,PPI-DDI
55173,MRPS10,65993,MRPS34,-,-,1.0,PPI
55173,MRPS10,6141,RPL18,-,-,1.0,PPI
ENSG00000041357,PSMA4,ENSG00000013275,PSMC4,PF00227-PF00004 ; PF00227-PF17862 ; PF10584-PF00004 ; PF10584-PF17862,-,1.0,PPI-DDI
ENSG00000041357,PSMA4,ENSG00000041357,PSMA4,PF00227-PF00227 ; PF00227-PF10584 ; PF10584-PF00227 ; PF10584-PF10584,-,1.0,PPI-DDI
ENSG00000019505,SYT13,ENSG00000019505,SYT13,PF00168-PF00168,-,1.0,PPI-DDI
ENSG00000013275,PSMC4,ENSG00000013275,PSMC4,PF00004-PF00004 ; PF00004-PF17862 ; PF00004-PF16450 ; PF17862-PF00004 ; PF17862-PF17862 ; PF16450-PF00004 ; PF16450-PF16450,-,1.0,PPI-DDI
ENSG00000070444,MNT,ENSG00000070444,MNT,PF00010-PF00010,-,1.0,PPI-DDI
ENSG00000012061,ERCC1,ENSG00000012061,ERCC1,-,PF14520-PF14520 ; PF00633-PF00633,0.0,PPI-DDI
ENSG00000061273,HDAC7,ENSG00000061273,HDAC7,PF00850-PF00850,-,1.0,PPI-DDI
