Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
249,ALPL,9261,MAPKAPK2,-,-,1.0,PPI
128312,H2BU1,6125,RPL5,-,-,1.0,PPI
51127,TRIM17,3964,LGALS8,-,-,1.0,PPI
388646,GBP7,2634,GBP2,PF02263-PF02841 ; PF02263-PF02263 ; PF02841-PF02841 ; PF02841-PF02263,-,1.0,PPI-DDI
388650,DIPK1A,112770,GLMP,-,-,1.0,PPI
388650,DIPK1A,910,CD1B,-,-,1.0,PPI
1122,CHML,338382,RAB7B,PF00996-PF00071,-,1.0,PPI-DDI
8751,ADAM15,10459,MAD2L2,-,-,1.0,PPI
51043,ZBTB7B,51043,ZBTB7B,PF00651-PF00651 ; PF00651-PF00096 ; PF00096-PF00651 ; PF00096-PF00096,-,1.0,PPI-DDI
80308,FLAD1,80308,FLAD1,PF00994-PF00994 ; PF01507-PF01507,-,1.0,PPI-DDI
3586,IL10,3586,IL10,PF00726-PF00726,-,1.0,PPI-DDI
8703,B4GALT3,22823,MTF2,-,-,1.0,PPI
8703,B4GALT3,375,ARF1,-,-,1.0,PPI
2633,GBP1,2634,GBP2,PF02841-PF02841 ; PF02841-PF02263 ; PF02263-PF02841 ; PF02263-PF02263,-,1.0,PPI-DDI
9261,MAPKAPK2,9261,MAPKAPK2,PF00069-PF00069,-,1.0,PPI-DDI
9261,MAPKAPK2,92241,RCSD1,-,-,1.0,PPI
493,ATP2B4,3964,LGALS8,-,-,1.0,PPI
493,ATP2B4,4893,NRAS,-,-,1.0,PPI
4893,NRAS,57708,MIER1,-,-,1.0,PPI
4893,NRAS,55243,KIRREL1,-,-,1.0,PPI
4893,NRAS,9019,MPZL1,PF00071-PF07686,-,1.0,PPI-DDI
4893,NRAS,55108,BSDC1,-,-,1.0,PPI
4893,NRAS,4893,NRAS,PF00071-PF00071,-,1.0,PPI-DDI
4893,NRAS,6195,RPS6KA1,PF00071-PF00069 ; PF00071-PF00433,-,1.0,PPI-DDI
4893,NRAS,8476,CDC42BPA,PF00071-PF00433 ; PF00071-PF00069,-,1.0,PPI-DDI
4893,NRAS,375,ARF1,PF00071-PF00025,-,1.0,PPI-DDI
4893,NRAS,4548,MTR,-,-,1.0,PPI
