Gene 1 ID,Gene 2 ID,Score
ENSG00000239672,ENSG00000023734,1.0
ENSG00000239672,ENSG00000239672,1.0
ENSG00000137764,ENSG00000137764,1.0
ENSG00000137764,ENSG00000008118,1.0
ENSG00000068097,ENSG00000060069,1.0
ENSG00000079385,ENSG00000079385,1.0
ENSG00000014919,ENSG00000075415,1.0
ENSG00000014919,ENSG00000061794,1.0
ENSG00000014919,ENSG00000011478,1.0
ENSG00000014919,ENSG00000041357,1.0
ENSG00000014919,ENSG00000078668,1.0
ENSG00000133597,ENSG00000133597,1.0
ENSG00000003987,ENSG00000076826,1.0
ENSG00000003987,ENSG00000074071,1.0
ENSG00000003987,ENSG00000003987,1.0
ENSG00000072135,ENSG00000072135,1.0
ENSG00000073350,ENSG00000073350,1.0
ENSG00000069424,ENSG00000069424,1.0
ENSG00000079999,ENSG00000079999,1.0
ENSG00000079999,ENSG00000038219,1.0
ENSG00000079999,ENSG00000065883,1.0
ENSG00000079999,ENSG00000034713,1.0
ENSG00000067182,ENSG00000067182,1.0
ENSG00000067182,ENSG00000035681,1.0
ENSG00000067182,ENSG00000052723,1.0
ENSG00000067182,ENSG00000034971,1.0
ENSG00000054967,ENSG00000077238,1.0
ENSG00000072849,ENSG00000068912,1.0
ENSG00000050820,ENSG00000063245,1.0
ENSG00000050820,ENSG00000079308,0.5
ENSG00000023734,ENSG00000023734,1.0
ENSG00000070669,ENSG00000066583,1.0
ENSG00000075415,ENSG00000049449,1.0
ENSG00000075415,ENSG00000072210,1.0
ENSG00000075415,ENSG00000078668,1.0
ENSG00000075415,ENSG00000013588,1.0
ENSG00000063245,ENSG00000017797,1.0
ENSG00000054965,ENSG00000054965,1.0
ENSG00000037757,ENSG00000037757,1.0
ENSG00000064300,ENSG00000064300,1.0
ENSG00000071655,ENSG00000071655,0.0
ENSG00000010610,ENSG00000010017,1.0
ENSG00000010610,ENSG00000010610,1.0
ENSG00000010610,ENSG00000063177,1.0
ENSG00000010610,ENSG00000078668,1.0
ENSG00000010610,ENSG00000049245,1.0
ENSG00000019582,ENSG00000019582,1.0
ENSG00000077150,ENSG00000077150,1.0
ENSG00000077150,ENSG00000069399,0.33
ENSG00000035141,ENSG00000015568,1.0
ENSG00000035141,ENSG00000035141,1.0
ENSG00000010219,ENSG00000049449,1.0
ENSG00000061794,ENSG00000074071,1.0
ENSG00000061794,ENSG00000063177,1.0
ENSG00000063177,ENSG00000048544,1.0
ENSG00000063177,ENSG00000008988,1.0
ENSG00000068394,ENSG00000065371,1.0
ENSG00000061273,ENSG00000061273,1.0
ENSG00000012061,ENSG00000012061,0.0
ENSG00000049245,ENSG00000008282,1.0
ENSG00000069998,ENSG00000069998,1.0
ENSG00000034971,ENSG00000034971,1.0
ENSG00000073849,ENSG00000073849,1.0
ENSG00000048462,ENSG00000059588,1.0
ENSG00000171431,ENSG00000171431,1.0
ENSG00000047932,ENSG00000047932,1.0
ENSG00000047932,ENSG00000017797,1.0
ENSG00000007129,ENSG00000066455,1.0
ENSG00000059588,ENSG00000060069,1.0
ENSG00000080293,ENSG00000070031,1.0
ENSG00000065371,ENSG00000065371,1.0
ENSG00000050344,ENSG00000050344,1.0
ENSG00000030582,ENSG00000057294,1.0
ENSG00000030582,ENSG00000068308,1.0
ENSG00000060566,ENSG00000060566,1.0
ENSG00000071539,ENSG00000071539,1.0
ENSG00000071539,ENSG00000060069,1.0
ENSG00000019505,ENSG00000019505,1.0
ENSG00000048544,ENSG00000074071,1.0
ENSG00000041357,ENSG00000041357,1.0
ENSG00000041357,ENSG00000013275,1.0
ENSG00000049449,ENSG00000072506,1.0
ENSG00000011485,ENSG00000004897,1.0
ENSG00000072506,ENSG00000013275,1.0
ENSG00000070444,ENSG00000070444,1.0
ENSG00000012124,ENSG00000008118,0.0
ENSG00000004897,ENSG00000004897,1.0
ENSG00000074410,ENSG00000074410,1.0
ENSG00000063241,ENSG00000063241,1.0
ENSG00000071859,ENSG00000071859,1.0
ENSG00000013275,ENSG00000013275,1.0
ENSG00000010017,ENSG00000010017,1.0
