Gene 1 ID,Gene 2 ID,Score
ENSG00000010256,ENSG00000091140,1.0
ENSG00000188559,ENSG00000003987,1.0
ENSG00000090659,ENSG00000090659,1.0
ENSG00000073350,ENSG00000073350,1.0
ENSG00000090776,ENSG00000007129,1.0
ENSG00000068697,ENSG00000084444,1.0
ENSG00000083444,ENSG00000085872,1.0
ENSG00000083444,ENSG00000083444,1.0
ENSG00000086189,ENSG00000078018,1.0
ENSG00000074071,ENSG00000086289,1.0
ENSG00000074071,ENSG00000003987,1.0
ENSG00000074071,ENSG00000089009,1.0
ENSG00000090554,ENSG00000090554,1.0
ENSG00000078018,ENSG00000078018,1.0
ENSG00000078018,ENSG00000072110,1.0
ENSG00000089063,ENSG00000167580,1.0
ENSG00000071539,ENSG00000071539,1.0
ENSG00000088002,ENSG00000088002,1.0
ENSG00000086548,ENSG00000086548,1.0
ENSG00000079999,ENSG00000065883,1.0
ENSG00000079999,ENSG00000079999,1.0
ENSG00000072506,ENSG00000091140,1.0
ENSG00000072506,ENSG00000087077,1.0
ENSG00000065371,ENSG00000065371,1.0
ENSG00000087077,ENSG00000064218,1.0
ENSG00000087077,ENSG00000089723,1.0
ENSG00000070669,ENSG00000066583,1.0
ENSG00000091140,ENSG00000072110,1.0
ENSG00000086232,ENSG00000081791,1.0
ENSG00000088356,ENSG00000088356,1.0
ENSG00000137764,ENSG00000137764,1.0
ENSG00000005893,ENSG00000005893,1.0
ENSG00000070444,ENSG00000070444,1.0
ENSG00000089127,ENSG00000072110,1.0
ENSG00000074410,ENSG00000074410,1.0
ENSG00000073849,ENSG00000073849,1.0
ENSG00000083720,ENSG00000083720,1.0
ENSG00000072110,ENSG00000072110,0.62
ENSG00000171431,ENSG00000171431,1.0
ENSG00000090615,ENSG00000090615,1.0
ENSG00000077150,ENSG00000089009,1.0
ENSG00000077150,ENSG00000077150,1.0
ENSG00000077150,ENSG00000090863,1.0
ENSG00000083845,ENSG00000089009,1.0
ENSG00000064300,ENSG00000064300,1.0
ENSG00000075415,ENSG00000072210,1.0
ENSG00000003987,ENSG00000003987,1.0
ENSG00000072135,ENSG00000072135,1.0
ENSG00000090470,ENSG00000090470,1.0
