Gene 1 ID,Gene 2 ID,Score
ENSG00000102738,ENSG00000061794,1.0
ENSG00000133101,ENSG00000139687,1.0
ENSG00000133101,ENSG00000139618,1.0
ENSG00000102471,ENSG00000110911,1.0
ENSG00000178235,ENSG00000178235,1.0
ENSG00000126218,ENSG00000057593,1.0
ENSG00000120699,ENSG00000120699,1.0
ENSG00000205420,ENSG00000111642,1.0
ENSG00000150403,ENSG00000139842,1.0
ENSG00000120693,ENSG00000120693,1.0
ENSG00000061273,ENSG00000061273,1.0
ENSG00000139679,ENSG00000126216,1.0
ENSG00000111642,ENSG00000170465,1.0
ENSG00000111642,ENSG00000185479,1.0
ENSG00000111642,ENSG00000161849,1.0
ENSG00000111642,ENSG00000186081,1.0
ENSG00000111642,ENSG00000111642,1.0
ENSG00000126226,ENSG00000126216,1.0
ENSG00000111218,ENSG00000111218,1.0
ENSG00000139505,ENSG00000139618,1.0
ENSG00000139505,ENSG00000139505,1.0
ENSG00000139668,ENSG00000139746,1.0
ENSG00000244754,ENSG00000126231,1.0
ENSG00000126216,ENSG00000126216,1.0
ENSG00000126216,ENSG00000059758,1.0
ENSG00000178695,ENSG00000178695,1.0
ENSG00000136161,ENSG00000136161,1.0
ENSG00000139117,ENSG00000185896,1.0
ENSG00000139687,ENSG00000139687,1.0
ENSG00000139687,ENSG00000150907,1.0
ENSG00000139687,ENSG00000198176,1.0
ENSG00000139687,ENSG00000139746,1.0
ENSG00000139684,ENSG00000139684,1.0
ENSG00000139618,ENSG00000139618,1.0
ENSG00000139842,ENSG00000150401,1.0
ENSG00000139842,ENSG00000170454,1.0
ENSG00000139842,ENSG00000139842,1.0
ENSG00000150907,ENSG00000150907,1.0
ENSG00000102755,ENSG00000102755,1.0
ENSG00000136158,ENSG00000136158,1.0
ENSG00000102786,ENSG00000126231,1.0
ENSG00000185896,ENSG00000185896,1.0
ENSG00000185896,ENSG00000102531,1.0
ENSG00000152944,ENSG00000152944,1.0
ENSG00000102606,ENSG00000102606,1.0
