Gene 1 ID,Gene 2 ID,Score
ENSG00000128487,ENSG00000136436,1.0
ENSG00000126351,ENSG00000126351,1.0
ENSG00000126351,ENSG00000008838,1.0
ENSG00000170004,ENSG00000170004,1.0
ENSG00000170004,ENSG00000186834,1.0
ENSG00000170004,ENSG00000273604,1.0
ENSG00000108381,ENSG00000108381,1.0
ENSG00000274512,ENSG00000275954,1.0
ENSG00000184922,ENSG00000184922,1.0
ENSG00000136436,ENSG00000136436,1.0
ENSG00000008838,ENSG00000008838,1.0
ENSG00000006062,ENSG00000006062,1.0
ENSG00000073350,ENSG00000073350,1.0
ENSG00000168517,ENSG00000168517,1.0
ENSG00000168517,ENSG00000186834,1.0
ENSG00000189050,ENSG00000189050,1.0
ENSG00000132510,ENSG00000132510,1.0
ENSG00000186834,ENSG00000186834,1.0
ENSG00000141252,ENSG00000141252,1.0
ENSG00000108443,ENSG00000108443,1.0
ENSG00000034152,ENSG00000034152,1.0
