Gene 1 ID,Gene 2 ID,Score
ENSG00000100209,ENSG00000100209,1.0
ENSG00000239900,ENSG00000100629,1.0
ENSG00000239900,ENSG00000100412,1.0
ENSG00000101057,ENSG00000101057,1.0
ENSG00000184117,ENSG00000100350,1.0
ENSG00000101210,ENSG00000101444,1.0
ENSG00000101210,ENSG00000100567,1.0
ENSG00000101210,ENSG00000100297,1.0
ENSG00000101210,ENSG00000100304,1.0
ENSG00000100206,ENSG00000100206,0.25
ENSG00000100206,ENSG00000100567,1.0
ENSG00000101444,ENSG00000101444,1.0
ENSG00000101444,ENSG00000100504,1.0
ENSG00000101444,ENSG00000088833,1.0
ENSG00000101150,ENSG00000101150,1.0
ENSG00000100345,ENSG00000100297,1.0
ENSG00000100345,ENSG00000080824,1.0
ENSG00000100345,ENSG00000101266,1.0
ENSG00000100345,ENSG00000100567,1.0
ENSG00000100906,ENSG00000100522,1.0
ENSG00000100395,ENSG00000020256,1.0
ENSG00000100577,ENSG00000100577,0.4
ENSG00000100324,ENSG00000101197,1.0
ENSG00000100324,ENSG00000080824,1.0
ENSG00000100324,ENSG00000100387,1.0
ENSG00000101421,ENSG00000101421,1.0
ENSG00000100504,ENSG00000129465,1.0
ENSG00000100504,ENSG00000100994,1.0
ENSG00000100504,ENSG00000100297,1.0
ENSG00000100504,ENSG00000100504,1.0
ENSG00000100412,ENSG00000100462,1.0
ENSG00000100307,ENSG00000101266,1.0
ENSG00000101266,ENSG00000100567,1.0
ENSG00000101266,ENSG00000100941,1.0
ENSG00000101266,ENSG00000080824,1.0
ENSG00000101266,ENSG00000101266,0.25
ENSG00000101266,ENSG00000092201,1.0
ENSG00000100591,ENSG00000080824,1.0
ENSG00000100591,ENSG00000100462,1.0
ENSG00000129988,ENSG00000100567,1.0
ENSG00000100462,ENSG00000088833,1.0
ENSG00000100462,ENSG00000100462,1.0
ENSG00000100462,ENSG00000101255,1.0
ENSG00000100462,ENSG00000080824,1.0
ENSG00000100462,ENSG00000100297,1.0
ENSG00000100299,ENSG00000100299,1.0
ENSG00000075413,ENSG00000075413,1.0
ENSG00000100994,ENSG00000100994,1.0
ENSG00000100994,ENSG00000100297,1.0
ENSG00000100911,ENSG00000100567,1.0
ENSG00000100911,ENSG00000100911,1.0
ENSG00000100426,ENSG00000080824,1.0
ENSG00000100426,ENSG00000100426,1.0
ENSG00000100941,ENSG00000100941,1.0
ENSG00000100941,ENSG00000100387,1.0
ENSG00000100554,ENSG00000101342,1.0
ENSG00000185019,ENSG00000185019,1.0
ENSG00000100376,ENSG00000100376,1.0
ENSG00000100292,ENSG00000100292,1.0
ENSG00000101441,ENSG00000023608,1.0
ENSG00000092201,ENSG00000092201,1.0
ENSG00000100316,ENSG00000100316,1.0
ENSG00000100316,ENSG00000023608,1.0
ENSG00000100316,ENSG00000080824,1.0
ENSG00000100316,ENSG00000100387,1.0
ENSG00000100522,ENSG00000100522,1.0
ENSG00000100253,ENSG00000100253,1.0
ENSG00000100353,ENSG00000100353,1.0
ENSG00000132670,ENSG00000132670,1.0
ENSG00000100380,ENSG00000100836,1.0
ENSG00000100380,ENSG00000080824,1.0
ENSG00000100883,ENSG00000100883,1.0
ENSG00000100567,ENSG00000100297,1.0
ENSG00000100567,ENSG00000080824,1.0
ENSG00000100567,ENSG00000100567,1.0
ENSG00000100567,ENSG00000101255,1.0
ENSG00000101197,ENSG00000101197,1.0
ENSG00000100749,ENSG00000100749,1.0
ENSG00000090060,ENSG00000100429,1.0
ENSG00000023608,ENSG00000023608,1.0
ENSG00000101292,ENSG00000101292,1.0
ENSG00000100216,ENSG00000100216,1.0
ENSG00000100216,ENSG00000100348,1.0
ENSG00000101213,ENSG00000101213,0.11
ENSG00000101213,ENSG00000080824,1.0
ENSG00000100836,ENSG00000080824,1.0
ENSG00000080824,ENSG00000080824,1.0
ENSG00000080824,ENSG00000100297,1.0
ENSG00000129465,ENSG00000129465,1.0
ENSG00000100219,ENSG00000100219,1.0
ENSG00000100532,ENSG00000183741,1.0
ENSG00000100387,ENSG00000100387,1.0
