Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
PSMA3,PSMA6,P25788,G3V3U4
PSMA3,PSMA6,P25788-2,G3V3U4
PSMA3,PSMA6,G3V4X5,G3V3U4
PSMA3,PSMA6,P25788,G3V5Z7
PSMA3,PSMA6,P25788-2,G3V5Z7
PSMA3,PSMA6,G3V4X5,G3V5Z7
PSMA3,PSMA6,P25788,G3V295
PSMA3,PSMA6,P25788-2,G3V295
PSMA3,PSMA6,G3V4X5,G3V295
PSMA3,PSMA6,P25788,P60900-2
PSMA3,PSMA6,P25788-2,P60900-2
PSMA3,PSMA6,G3V4X5,P60900-2
PSMA3,PSMA6,P25788,P60900
PSMA3,PSMA6,P25788-2,P60900
PSMA3,PSMA6,G3V4X5,P60900
PSMA3,PSMC6,P25788,A0A087X2I1
PSMA3,PSMC6,P25788,P62333
PSMA3,PSMA3,P25788,P25788-2
PSMA3,PSMA3,P25788-2,P25788-2
PSMA3,PSMA3,G3V4X5,P25788-2
PSMA3,PSMA3,P25788,P25788
PSMA3,PSMA3,P25788-2,P25788
PSMA3,PSMA3,G3V4X5,P25788
