Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
SRGAP2,SRGAP2,Q5VZB4,B7ZM87
SRGAP2,SRGAP2,O75044,B7ZM87
SRGAP2,SRGAP2,B7ZM87,B7ZM87
SRGAP2,SRGAP2,A0A075B7E6,B7ZM87
SRGAP2,SRGAP2,Q5VZB4,O75044
SRGAP2,SRGAP2,O75044,O75044
SRGAP2,SRGAP2,B7ZM87,O75044
SRGAP2,SRGAP2,A0A075B7E6,O75044
SRGAP2,SRGAP2,Q5VZB4,A0A075B7E9
SRGAP2,SRGAP2,O75044,A0A075B7E9
SRGAP2,SRGAP2,B7ZM87,A0A075B7E9
SRGAP2,SRGAP2,A0A075B7E6,A0A075B7E9
SRGAP2,SRGAP2,Q5VZB4,Q5VZB4
SRGAP2,SRGAP2,O75044,Q5VZB4
SRGAP2,SRGAP2,B7ZM87,Q5VZB4
SRGAP2,SRGAP2,A0A075B7E6,Q5VZB4
SRGAP2,SRGAP2,Q5VZB4,A0A075B7E6
SRGAP2,SRGAP2,O75044,A0A075B7E6
SRGAP2,SRGAP2,B7ZM87,A0A075B7E6
SRGAP2,SRGAP2,A0A075B7E6,A0A075B7E6
