Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
CDC27,CDC16,G5EA36,Q13042-2
CDC27,CDC16,P30260,Q13042-2
CDC27,CDC16,P30260-2,Q13042-2
CDC27,CDC16,G5EA36,Q13042
CDC27,CDC16,P30260,Q13042
CDC27,CDC16,P30260-2,Q13042
CDC27,ANAPC7,G5EA36,Q9UJX3
CDC27,ANAPC7,P30260,Q9UJX3
CDC27,ANAPC7,P30260-2,Q9UJX3
CDC27,ANAPC7,G5EA36,Q9UJX3-2
CDC27,ANAPC7,P30260,Q9UJX3-2
CDC27,ANAPC7,P30260-2,Q9UJX3-2
CDC27,CDC27,G5EA36,G5EA36
CDC27,CDC27,P30260,G5EA36
CDC27,CDC27,P30260-2,G5EA36
CDC27,CDC27,G5EA36,P30260-2
CDC27,CDC27,P30260,P30260-2
CDC27,CDC27,P30260-2,P30260-2
CDC27,CDC27,G5EA36,P30260
CDC27,CDC27,P30260,P30260
CDC27,CDC27,P30260-2,P30260
