Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
H2BC13,UBB,Q99880,J3QKN0
H2BC13,UBC,Q99880,F5H388
H2BC13,UBB,Q99880,P0CG47
H2BC13,RPS27A,Q99880,P62979
H2BC13,UBA52,Q99880,M0R2S1
H2BC13,UBC,Q99880,F5GYU3
H2BC13,UBC,Q99880,P0CG48
H2BC13,UBB,Q99880,J3QS39
H2BC13,RPS27A,Q99880,J3QTR3
H2BC13,UBC,Q99880,F5H6Q2
H2BC13,UBC,Q99880,F5GXK7
H2BC13,UBA52,Q99880,M0R1M6
H2BC13,UBC,Q99880,F5H2Z3
H2BC13,UBC,Q99880,Q96C32
H2BC13,UBC,Q99880,Q5PY61
H2BC13,UBC,Q99880,F5H747
H2BC13,AL136454.1,Q99880,A0A2R8Y422
H2BC13,UBB,Q99880,B4DV12
H2BC13,UBA52,Q99880,P62987
H2BC13,UBC,Q99880,F5H265
H2BC13,UBB,Q99880,J3QSA3
H2BC13,UBC,Q99880,F5GZ39
H2BC13,UBA52,Q99880,M0R1V7
H2BC13,H2BC11,Q99880,P06899
H2BC13,H2AC21,Q99880,Q8IUE6
H2BC13,H2AC7,Q99880,P20671
H2BC13,H2AC12,Q99880,Q96KK5
H2BC13,H2AC14,Q99880,Q99878
H2BC13,AL031777.2,Q99880,A0A0U1RR32
H2BC13,H2AC6,Q99880,Q93077
H2BC13,H2AW,Q99880,Q7L7L0
H2BC13,H2AX,Q99880,P16104
H2BC13,H2AC18,Q99880,Q6FI13
H2BC13,H2AC19,Q99880,Q6FI13
H2BC13,H2AC20,Q99880,Q16777
H2BC13,H2AC8,Q99880,P04908
H2BC13,H2AC4,Q99880,P04908
H2BC13,H2AC13,Q99880,P0C0S8
H2BC13,H2AC11,Q99880,P0C0S8
H2BC13,H2AC17,Q99880,P0C0S8
H2BC13,H2AC16,Q99880,P0C0S8
H2BC13,H2AC15,Q99880,P0C0S8
H2BC13,H2AJ,Q99880,Q9BTM1
H2BC13,H2BU1,Q99880,Q8N257
H2BC13,H2BC18,Q99880,Q5QNW6
H2BC13,H2BC18,Q99880,Q5QNW6-2
H2BC13,H2BC15,Q99880,Q99877
H2BC13,H2BC12,Q99880,O60814
H2BC13,H2BC9,Q99880,Q93079
H2BC13,H2BC17,Q99880,P23527
H2BC13,H2BC5,Q99880,P58876
H2BC13,H2BC13,Q99880,Q99880
H2BC13,H2BC3,Q99880,P33778
H2BC13,H2BC21,Q99880,Q16778
H2BC13,H2BC4,Q99880,P62807
H2BC13,H2BC7,Q99880,P62807
H2BC13,H2BC10,Q99880,P62807
H2BC13,H2BC8,Q99880,P62807
H2BC13,H2BC6,Q99880,P62807
H2BC13,H2BC14,Q99880,Q99879
H2BC13,H2BS1,Q99880,P57053
H2BC13,H3C13,Q99880,Q71DI3
H2BC13,H3C14,Q99880,Q71DI3
H2BC13,H3C15,Q99880,Q71DI3
H2BC13,H3,Q99880,K7EK07
H2BC13,H3C4,Q99880,P68431
H2BC13,H3C12,Q99880,P68431
H2BC13,H3C10,Q99880,P68431
H2BC13,H3C3,Q99880,P68431
H2BC13,H3C1,Q99880,P68431
H2BC13,H3C8,Q99880,P68431
H2BC13,H3C6,Q99880,P68431
H2BC13,H3C11,Q99880,P68431
H2BC13,H3C7,Q99880,P68431
H2BC13,H3C2,Q99880,P68431
H2BC13,H3,Q99880,P84243
H2BC13,CENPA,Q99880,P49450
H2BC13,H3,Q99880,Q16695
H2BC13,H3,Q99880,Q5TEC6
H2BC13,H2BC15,Q99880,U3KQK0
H2BC13,H2AZ2,Q99880,Q71UI9-4
H2BC13,H2AZ2,Q99880,Q71UI9
H2BC13,H2AZ1,Q99880,P0C0S5
H2BC13,H2AZ2,Q99880,Q71UI9-2
H2BC13,H2AZ2,Q99880,Q71UI9-3
H2BC13,H2AZ2,Q99880,Q71UI9-5
H2BC13,H2AC1,Q99880,Q96QV6
H2BC13,MACROH2A1,Q99880,O75367
H2BC13,MACROH2A1,Q99880,O75367-3
H2BC13,MACROH2A1,Q99880,O75367-2
H2BC13,CENPN,Q99880,Q96H22
H2BC13,CENPN,Q99880,Q96H22-3
H2BC13,CENPN,Q99880,Q96H22-4
H2BC13,CENPN,Q99880,H3BMC7
H2BC13,H4C6,Q99880,P62805
H2BC13,H4C11,Q99880,P62805
H2BC13,H4C8,Q99880,P62805
H2BC13,H4C2,Q99880,P62805
H2BC13,H4C3,Q99880,P62805
H2BC13,H4,Q99880,P62805
H2BC13,H4C14,Q99880,P62805
H2BC13,H4C15,Q99880,P62805
H2BC13,H4C12,Q99880,P62805
H2BC13,H4C4,Q99880,P62805
H2BC13,H4C5,Q99880,P62805
H2BC13,H4C9,Q99880,P62805
H2BC13,H4C1,Q99880,P62805
H2BC13,H4C13,Q99880,P62805
H2BC13,H2AZ2,Q99880,C9J0D1
H2BC13,ANP32E,Q99880,Q9BTT0
H2BC13,ANP32E,Q99880,Q9BTT0-3
H2BC13,VPS72,Q99880,A0A1W2PPT2
H2BC13,VPS72,Q99880,Q15906-2
H2BC13,VPS72,Q99880,Q15906
