Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
PSMA6,PSMA2,G3V295,P25787
PSMA6,PSMA2,P60900,P25787
PSMA6,PSMA2,P60900-2,P25787
PSMA6,PSMA2,P60900-3,P25787
PSMA6,PSMA2,G3V295,C9JCK5
PSMA6,PSMA2,P60900,C9JCK5
PSMA6,PSMA2,P60900-2,C9JCK5
PSMA6,PSMA2,P60900-3,C9JCK5
PSMA6,PSMC4,G3V295,P43686
PSMA6,PSMC4,P60900,P43686
PSMA6,PSMC4,P60900-2,P43686
PSMA6,PSMC4,P60900-3,P43686
PSMA6,PSMA4,P60900,H0YL69
PSMA6,PSMA4,P60900,H0YLC2
PSMA6,PSMA4,P60900,H0YN18
PSMA6,PSMA4,P60900,H0YMZ1
PSMA6,PSMA4,P60900,H0YMI6
PSMA6,PSMA4,P60900,P25789
PSMA6,PSMA4,P60900,H0YMA1
PSMA6,PSMB9,P60900,P28065
PSMA6,PSMB9,P60900,A2ACR0
PSMA6,PSMB9,P60900,A2ACR1
PSMA6,PSMB6,P60900,A0A087X2I4
PSMA6,PSMB6,P60900,P28072
PSMA6,PSMC6,P60900,A0A087X2I1
PSMA6,PSMC6,P60900,P62333
PSMA6,PSME4,G3V295,Q14997
PSMA6,PSME4,P60900,Q14997
PSMA6,PSME4,P60900-2,Q14997
PSMA6,PSME4,P60900-3,Q14997
PSMA6,PSMA3,P60900,P25788-2
PSMA6,PSMA3,P60900,P25788
PSMA6,PSMA3,P60900,G3V4X5
PSMA6,PSMB7,G3V295,Q99436
PSMA6,PSMB7,P60900,Q99436
PSMA6,PSMB7,P60900-2,Q99436
PSMA6,PSMB7,P60900-3,Q99436
PSMA6,PSMB10,G3V295,P40306
PSMA6,PSMB10,P60900,P40306
PSMA6,PSMB10,P60900-2,P40306
PSMA6,PSMB10,P60900-3,P40306
PSMA6,PSMC6,P60900,H0YJC0
