Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
PSMA4,PSMA2,H0YMA1,P25787
PSMA4,PSMA2,P25789,P25787
PSMA4,PSMA2,H0YN18,P25787
PSMA4,PSMA2,H0YMI6,P25787
PSMA4,PSMA2,H0YL69,P25787
PSMA4,PSMA2,H0YMZ1,P25787
PSMA4,PSMA2,H0YLC2,P25787
PSMA4,PSMA2,H0YMA1,C9JCK5
PSMA4,PSMA2,P25789,C9JCK5
PSMA4,PSMA2,H0YN18,C9JCK5
PSMA4,PSMA2,H0YMI6,C9JCK5
PSMA4,PSMA2,H0YL69,C9JCK5
PSMA4,PSMA2,H0YMZ1,C9JCK5
PSMA4,PSMA2,H0YLC2,C9JCK5
PSMA4,PSMA6,H0YMA1,G3V3U4
PSMA4,PSMA6,P25789,G3V3U4
PSMA4,PSMA6,H0YN18,G3V3U4
PSMA4,PSMA6,H0YMI6,G3V3U4
PSMA4,PSMA6,H0YL69,G3V3U4
PSMA4,PSMA6,H0YMZ1,G3V3U4
PSMA4,PSMA6,H0YLC2,G3V3U4
PSMA4,PSMA6,H0YMA1,G3V5Z7
PSMA4,PSMA6,P25789,G3V5Z7
PSMA4,PSMA6,H0YN18,G3V5Z7
PSMA4,PSMA6,H0YMI6,G3V5Z7
PSMA4,PSMA6,H0YL69,G3V5Z7
PSMA4,PSMA6,H0YMZ1,G3V5Z7
PSMA4,PSMA6,H0YLC2,G3V5Z7
PSMA4,PSMA6,H0YMA1,G3V295
PSMA4,PSMA6,P25789,G3V295
PSMA4,PSMA6,H0YN18,G3V295
PSMA4,PSMA6,H0YMI6,G3V295
PSMA4,PSMA6,H0YL69,G3V295
PSMA4,PSMA6,H0YMZ1,G3V295
PSMA4,PSMA6,H0YLC2,G3V295
PSMA4,PSMA6,H0YMA1,P60900-2
PSMA4,PSMA6,P25789,P60900-2
PSMA4,PSMA6,H0YN18,P60900-2
PSMA4,PSMA6,H0YMI6,P60900-2
PSMA4,PSMA6,H0YL69,P60900-2
PSMA4,PSMA6,H0YMZ1,P60900-2
PSMA4,PSMA6,H0YLC2,P60900-2
PSMA4,PSMA6,H0YMA1,P60900
PSMA4,PSMA6,P25789,P60900
PSMA4,PSMA6,H0YN18,P60900
PSMA4,PSMA6,H0YMI6,P60900
PSMA4,PSMA6,H0YL69,P60900
PSMA4,PSMA6,H0YMZ1,P60900
PSMA4,PSMA6,H0YLC2,P60900
PSMA4,PSMA6,H0YMA1,P60900-3
PSMA4,PSMA6,P25789,P60900-3
PSMA4,PSMA6,H0YN18,P60900-3
PSMA4,PSMA6,H0YMI6,P60900-3
PSMA4,PSMA6,H0YL69,P60900-3
PSMA4,PSMA6,H0YMZ1,P60900-3
PSMA4,PSMA6,H0YLC2,P60900-3
PSMA4,PSMA1,H0YMA1,P25786-2
PSMA4,PSMA1,P25789,P25786-2
PSMA4,PSMA1,H0YN18,P25786-2
PSMA4,PSMA1,H0YMI6,P25786-2
PSMA4,PSMA1,H0YL69,P25786-2
PSMA4,PSMA1,H0YMZ1,P25786-2
PSMA4,PSMA1,H0YLC2,P25786-2
PSMA4,PSMA1,H0YMA1,P25786
PSMA4,PSMA1,P25789,P25786
PSMA4,PSMA1,H0YN18,P25786
PSMA4,PSMA1,H0YMI6,P25786
PSMA4,PSMA1,H0YL69,P25786
PSMA4,PSMA1,H0YMZ1,P25786
PSMA4,PSMA1,H0YLC2,P25786
PSMA4,PSMA6,H0YMA1,H0YJC4
PSMA4,PSMA6,P25789,H0YJC4
PSMA4,PSMA6,H0YN18,H0YJC4
PSMA4,PSMA6,H0YMI6,H0YJC4
PSMA4,PSMA6,H0YL69,H0YJC4
PSMA4,PSMA6,H0YMZ1,H0YJC4
PSMA4,PSMA6,H0YLC2,H0YJC4
PSMA4,PSMA1,H0YMA1,F5GX11
PSMA4,PSMA1,P25789,F5GX11
PSMA4,PSMA1,H0YN18,F5GX11
PSMA4,PSMA1,H0YMI6,F5GX11
PSMA4,PSMA1,H0YL69,F5GX11
PSMA4,PSMA1,H0YMZ1,F5GX11
PSMA4,PSMA1,H0YLC2,F5GX11
PSMA4,PSMA3,H0YMA1,P25788-2
PSMA4,PSMA3,P25789,P25788-2
PSMA4,PSMA3,H0YN18,P25788-2
PSMA4,PSMA3,H0YMI6,P25788-2
PSMA4,PSMA3,H0YL69,P25788-2
PSMA4,PSMA3,H0YMZ1,P25788-2
PSMA4,PSMA3,H0YLC2,P25788-2
PSMA4,PSMA3,H0YMA1,P25788
PSMA4,PSMA3,P25789,P25788
PSMA4,PSMA3,H0YN18,P25788
PSMA4,PSMA3,H0YMI6,P25788
PSMA4,PSMA3,H0YL69,P25788
PSMA4,PSMA3,H0YMZ1,P25788
PSMA4,PSMA3,H0YLC2,P25788
PSMA4,PSMA3,H0YMA1,G3V4X5
PSMA4,PSMA3,P25789,G3V4X5
PSMA4,PSMA3,H0YN18,G3V4X5
PSMA4,PSMA3,H0YMI6,G3V4X5
PSMA4,PSMA3,H0YL69,G3V4X5
PSMA4,PSMA3,H0YMZ1,G3V4X5
PSMA4,PSMA3,H0YLC2,G3V4X5
PSMA4,PSMA7,H0YMA1,O14818
PSMA4,PSMA7,P25789,O14818
PSMA4,PSMA7,H0YN18,O14818
PSMA4,PSMA7,H0YMI6,O14818
PSMA4,PSMA7,H0YL69,O14818
PSMA4,PSMA7,H0YMZ1,O14818
PSMA4,PSMA7,H0YLC2,O14818
PSMA4,PSMA7,H0YMA1,O14818-2
PSMA4,PSMA7,P25789,O14818-2
PSMA4,PSMA7,H0YN18,O14818-2
PSMA4,PSMA7,H0YMI6,O14818-2
PSMA4,PSMA7,H0YL69,O14818-2
PSMA4,PSMA7,H0YMZ1,O14818-2
PSMA4,PSMA7,H0YLC2,O14818-2
PSMA4,PSMA7,H0YMA1,H0Y586
PSMA4,PSMA7,P25789,H0Y586
PSMA4,PSMA7,H0YN18,H0Y586
PSMA4,PSMA7,H0YMI6,H0Y586
PSMA4,PSMA7,H0YL69,H0Y586
PSMA4,PSMA7,H0YMZ1,H0Y586
PSMA4,PSMA7,H0YLC2,H0Y586
PSMA4,PSMA5,H0YMA1,P28066
PSMA4,PSMA5,P25789,P28066
PSMA4,PSMA5,H0YN18,P28066
PSMA4,PSMA5,H0YMI6,P28066
PSMA4,PSMA5,H0YL69,P28066
PSMA4,PSMA5,H0YMZ1,P28066
PSMA4,PSMA5,H0YLC2,P28066
PSMA4,PSMA5,H0YMA1,P28066-2
PSMA4,PSMA5,P25789,P28066-2
PSMA4,PSMA5,H0YN18,P28066-2
PSMA4,PSMA5,H0YMI6,P28066-2
PSMA4,PSMA5,H0YL69,P28066-2
PSMA4,PSMA5,H0YMZ1,P28066-2
PSMA4,PSMA5,H0YLC2,P28066-2
PSMA4,PSMC1,H0YMA1,P62191
PSMA4,PSMC1,P25789,P62191
PSMA4,PSMC1,H0YN18,P62191
PSMA4,PSMC1,H0YMI6,P62191
PSMA4,PSMC1,H0YL69,P62191
PSMA4,PSMC1,H0YMZ1,P62191
PSMA4,PSMC1,H0YLC2,P62191
PSMA4,PSMC1,H0YMA1,P62191-2
PSMA4,PSMC1,P25789,P62191-2
PSMA4,PSMC1,H0YN18,P62191-2
PSMA4,PSMC1,H0YMI6,P62191-2
PSMA4,PSMC1,H0YL69,P62191-2
PSMA4,PSMC1,H0YMZ1,P62191-2
PSMA4,PSMC1,H0YLC2,P62191-2
