Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
PSMA3,PSMA2,P25788,P25787
PSMA3,PSMA2,P25788-2,P25787
PSMA3,PSMA2,P25788,C9JCK5
PSMA3,PSMA2,P25788-2,C9JCK5
PSMA3,PSMA6,P25788,G3V3U4
PSMA3,PSMA6,P25788-2,G3V3U4
PSMA3,PSMA6,P25788,G3V5Z7
PSMA3,PSMA6,P25788-2,G3V5Z7
PSMA3,PSMA6,P25788,G3V295
PSMA3,PSMA6,P25788-2,G3V295
PSMA3,PSMA6,P25788,P60900-2
PSMA3,PSMA6,P25788-2,P60900-2
PSMA3,PSMA6,P25788,P60900
PSMA3,PSMA6,P25788-2,P60900
PSMA3,PSMA6,P25788,P60900-3
PSMA3,PSMA6,P25788-2,P60900-3
PSMA3,PSMA1,P25788,P25786-2
PSMA3,PSMA1,P25788-2,P25786-2
PSMA3,PSMA1,P25788,P25786
PSMA3,PSMA1,P25788-2,P25786
PSMA3,PSMA6,P25788,H0YJC4
PSMA3,PSMA6,P25788-2,H0YJC4
PSMA3,PSMA4,P25788,H0YL69
PSMA3,PSMA4,P25788-2,H0YL69
PSMA3,PSMA4,P25788,H0YLC2
PSMA3,PSMA4,P25788-2,H0YLC2
PSMA3,PSMA4,P25788,H0YN18
PSMA3,PSMA4,P25788-2,H0YN18
PSMA3,PSMA4,P25788,H0YMZ1
PSMA3,PSMA4,P25788-2,H0YMZ1
PSMA3,PSMA4,P25788,H0YMI6
PSMA3,PSMA4,P25788-2,H0YMI6
PSMA3,PSMA4,P25788,P25789
PSMA3,PSMA4,P25788-2,P25789
PSMA3,PSMA4,P25788,H0YMA1
PSMA3,PSMA4,P25788-2,H0YMA1
PSMA3,PSMC2,P25788,P35998
PSMA3,PSMC2,P25788-2,P35998
PSMA3,PSME4,P25788,Q14997
PSMA3,PSME4,P25788-2,Q14997
PSMA3,PSMA3,P25788,P25788-2
PSMA3,PSMA3,P25788-2,P25788-2
PSMA3,PSMA3,P25788,P25788
PSMA3,PSMA3,P25788-2,P25788
PSMA3,PSMA3,P25788,G3V4X5
PSMA3,PSMA3,P25788-2,G3V4X5
