Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
CDC27,CDC20,G5EA36,Q12834
CDC27,CDC20,P30260,Q12834
CDC27,CDC20,P30260-2,Q12834
CDC27,CDC16,G5EA36,Q13042-2
CDC27,CDC16,P30260,Q13042-2
CDC27,CDC16,P30260-2,Q13042-2
CDC27,CDC16,G5EA36,Q13042
CDC27,CDC16,P30260,Q13042
CDC27,CDC16,P30260-2,Q13042
CDC27,ANAPC7,G5EA36,Q9UJX3
CDC27,ANAPC7,P30260,Q9UJX3
CDC27,ANAPC7,P30260-2,Q9UJX3
CDC27,ANAPC7,G5EA36,Q9UJX3-2
CDC27,ANAPC7,P30260,Q9UJX3-2
CDC27,ANAPC7,P30260-2,Q9UJX3-2
CDC27,ANAPC7,G5EA36,H0YIW2
CDC27,ANAPC7,P30260,H0YIW2
CDC27,ANAPC7,P30260-2,H0YIW2
CDC27,ANAPC16,G5EA36,Q96DE5
CDC27,ANAPC16,P30260,Q96DE5
CDC27,ANAPC16,P30260-2,Q96DE5
CDC27,ANAPC10,G5EA36,Q9UM13
CDC27,ANAPC10,P30260,Q9UM13
CDC27,ANAPC10,P30260-2,Q9UM13
CDC27,ANAPC10,G5EA36,D6R9Q5
CDC27,ANAPC10,P30260,D6R9Q5
CDC27,ANAPC10,P30260-2,D6R9Q5
CDC27,ANAPC10,G5EA36,D6RB36
CDC27,ANAPC10,P30260,D6RB36
CDC27,ANAPC10,P30260-2,D6RB36
CDC27,ANAPC10,G5EA36,D6RA92
CDC27,ANAPC10,P30260,D6RA92
CDC27,ANAPC10,P30260-2,D6RA92
CDC27,ANAPC16,G5EA36,A0A087WUN5
CDC27,ANAPC16,P30260,A0A087WUN5
CDC27,ANAPC16,P30260-2,A0A087WUN5
CDC27,FZR1,G5EA36,Q9UM11-3
CDC27,FZR1,P30260,Q9UM11-3
CDC27,FZR1,P30260-2,Q9UM11-3
CDC27,FZR1,G5EA36,Q9UM11-2
CDC27,FZR1,P30260,Q9UM11-2
CDC27,FZR1,P30260-2,Q9UM11-2
CDC27,FZR1,P30260,Q9UM11
CDC27,FZR1,G5EA36,Q9UM11
CDC27,FZR1,P30260-2,Q9UM11
CDC27,ANAPC13,G5EA36,Q9BS18
CDC27,ANAPC13,P30260,Q9BS18
CDC27,ANAPC13,P30260-2,Q9BS18
