Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
KIF1B-213,NINL,22981,,PF13833-PF00225,100.0,Lost
KIF1B-213,RTKN,6242,PF00169-PF00169,PF00169-PF00498,50.0,Affected
KIF1B-213,MAST3,23031,PF00069-PF00169,PF00498-PF00069 ; PF00225-PF00069,67.0,Affected
KIF1B-213,GIPC1,10755,PF00595-PF00169,,0.0,Retained
KIF1B-213,CSNK1A1,1452,PF00069-PF00169,PF00498-PF00069 ; PF00225-PF00069,67.0,Affected
KIF1B-213,KIF13B,23303,PF00498-PF00169,PF16183-PF00498 ; PF16183-PF16183 ; PF16183-PF00225 ; PF00498-PF00498 ; PF00498-PF16183 ; PF00498-PF00225 ; PF00498-PF00225 ; PF00225-PF16183 ; PF00225-PF00225,90.0,Affected
KIF1B-213,STARD13,90627,PF00620-PF00169 ; PF01852-PF00169,,0.0,Retained
KIF1B-213,EIF4A1,1973,,PF00498-PF00271,100.0,Lost
KIF1B-213,ZSCAN26,7741,,PF00498-PF00096,100.0,Lost
KIF1B-213,KSR1,8844,PF07714-PF00169,,0.0,Retained
KIF1B-213,PARD6A,50855,PF00595-PF00169,,0.0,Retained
KIF1B-213,ZBTB21,49854,,PF00498-PF00096,100.0,Lost
KIF1B-213,SH3PXD2A,9644,PF00018-PF00169 ; PF00787-PF00169,,0.0,Retained
KIF1B-213,ZNF217,7764,,PF00498-PF00096,100.0,Lost
KIF1B-213,GOPC,57120,PF00595-PF00169,,0.0,Retained
KIF1B-213,KIF1A,547,PF00498-PF00169 ; PF00169-PF00169,PF16183-PF00225 ; PF16183-PF00498 ; PF16183-PF16183 ; PF00225-PF00225 ; PF00225-PF00498 ; PF00498-PF16183 ; PF00498-PF00498 ; PF00498-PF00169 ; PF00498-PF00225 ; PF00225-PF16183,83.0,Affected
KIF1B-213,SRGAP2,23380,PF00620-PF00169 ; PF00018-PF00169,,0.0,Retained
KIF1B-213,CALM1,801,,PF00225-PF13833,100.0,Lost
KIF1B-213,BRCA1,672,,PF00498-PF00097 ; PF00498-PF00533,100.0,Lost
KIF1B-213,CSNK2A2,1459,PF00069-PF00169,PF00498-PF00069 ; PF00225-PF00069,67.0,Affected
