Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
POLR3B-201,POLR3A,11128,PF04563-PF04998 ; PF04563-PF04983 ; PF04563-PF05000 ; PF04563-PF04997 ; PF04563-PF00623 ; PF00562-PF04983 ; PF00562-PF04998 ; PF00562-PF04997 ; PF00562-PF00623 ; PF00562-PF05000 ; PF04983-PF04565 ; PF04983-PF04561 ; PF04983-PF04560 ; PF04983-PF04567 ; PF05000-PF04566 ; PF05000-PF04565 ; PF05000-PF04561 ; PF05000-PF04560 ; PF05000-PF04567 ; PF04560-PF04998 ; PF04560-PF04997 ; PF04560-PF00623 ; PF04566-PF04997 ; PF04566-PF00623 ; PF00623-PF04565 ; PF00623-PF04561 ; PF00623-PF04567 ; PF04565-PF04998 ; PF04565-PF04997 ; PF04998-PF04561 ; PF04998-PF04567 ; PF04567-PF04997 ; PF04997-PF04561,,0.0,Retained
POLR3B-201,POLR1B,84172,PF04563-PF00562 ; PF04563-PF06883 ; PF04563-PF04565 ; PF04563-PF04561 ; PF04563-PF04560 ; PF04563-PF04563 ; PF00562-PF00562 ; PF00562-PF04561 ; PF00562-PF04565 ; PF00562-PF04560 ; PF00562-PF04563 ; PF04563-PF04566 ; PF04563-PF04565 ; PF04563-PF04561 ; PF04563-PF04560 ; PF04563-PF04567 ; PF06883-PF04565 ; PF04565-PF04566 ; PF04565-PF04561 ; PF04565-PF04560 ; PF04565-PF04567 ; PF00562-PF04566 ; PF00562-PF04565 ; PF00562-PF04561 ; PF00562-PF04560 ; PF00562-PF04567 ; PF04560-PF04561 ; PF04566-PF04560 ; PF04566-PF04561 ; PF04565-PF04560 ; PF04565-PF04561 ; PF04567-PF04560 ; PF04567-PF04561 ; PF04560-PF04561 ; PF04561-PF04561,,0.0,Retained
POLR3B-201,POLR3H,171568,PF04563-PF03876 ; PF03876-PF04560 ; PF03876-PF04566 ; PF04560-PF08292,,0.0,Retained
POLR3B-201,POLR1A,25885,PF04563-PF04998 ; PF04563-PF05000 ; PF04563-PF04983 ; PF04563-PF00623 ; PF04563-PF04997 ; PF00562-PF04983 ; PF00562-PF04998 ; PF00562-PF00623 ; PF00562-PF04997 ; PF00562-PF05000 ; PF00623-PF04566 ; PF00623-PF04565 ; PF00623-PF04561 ; PF00623-PF04560 ; PF00623-PF04567 ; PF04560-PF04998 ; PF04560-PF04983 ; PF04560-PF04997 ; PF04560-PF05000 ; PF04566-PF04997 ; PF04566-PF05000 ; PF04998-PF04565 ; PF04998-PF04561 ; PF04998-PF04567 ; PF04565-PF04983 ; PF04565-PF04997 ; PF04565-PF05000 ; PF04567-PF04983 ; PF04567-PF04997 ; PF04567-PF05000 ; PF04997-PF04561 ; PF04983-PF04561 ; PF05000-PF04561,,0.0,Retained
POLR3B-201,POLR2F,5435,PF04560-PF01192,,0.0,Retained
POLR3B-201,POLR2H,5437,PF00562-PF03870,,0.0,Retained
POLR3B-201,RAE1,8480,PF00562-PF00400 ; PF00400-PF04567,,0.0,Retained
POLR3B-201,POLR1C,9533,PF04563-PF01193 ; PF04563-PF01000 ; PF00562-PF01193 ; PF00562-PF01000 ; PF01000-PF04566 ; PF01000-PF04565 ; PF01000-PF04561 ; PF01000-PF04560 ; PF01000-PF04567 ; PF01193-PF04566 ; PF01193-PF04565 ; PF01193-PF04561 ; PF01193-PF04560 ; PF01193-PF04567,,0.0,Retained
POLR3B-201,PPP1CC,5501,PF00562-PF00149,,0.0,Retained
POLR3B-201,POLR2A,5430,PF00623-PF04566 ; PF00623-PF04565 ; PF00623-PF00562 ; PF00623-PF04561 ; PF00623-PF04560 ; PF00623-PF04567 ; PF00623-PF04563 ; PF04563-PF04983 ; PF04563-PF04997 ; PF04563-PF05000 ; PF04563-PF04990 ; PF04563-PF04998 ; PF04998-PF04565 ; PF04998-PF00562 ; PF04998-PF04561 ; PF04998-PF04560 ; PF04998-PF04567 ; PF00562-PF04983 ; PF00562-PF05000 ; PF00562-PF04997 ; PF04997-PF04566 ; PF04997-PF04565 ; PF04997-PF04561 ; PF04997-PF04560 ; PF04997-PF04567 ; PF04990-PF04561 ; PF04983-PF04565 ; PF04983-PF04561 ; PF04983-PF04560 ; PF04983-PF04567 ; PF04560-PF05000 ; PF04566-PF05000 ; PF04565-PF05000 ; PF05000-PF04561 ; PF05000-PF04567,,0.0,Retained
POLR3B-201,POLR3E,55718,PF04563-PF04801,,0.0,Retained
POLR3B-201,POLR3D,661,PF05132-PF04566,,0.0,Retained
POLR3B-201,POLR3F,10621,PF04563-PF05158,,0.0,Retained
POLR3B-201,POLR3K,51728,PF04563-PF02150 ; PF04563-PF01096 ; PF00562-PF02150 ; PF00562-PF01096 ; PF01096-PF04566 ; PF02150-PF04566 ; PF02150-PF04565 ; PF02150-PF04561 ; PF02150-PF04560 ; PF02150-PF04567,,0.0,Retained
POLR3B-201,PPP1CA,5499,PF00562-PF00149,,0.0,Retained
POLR3B-201,POLR2E,5434,PF04563-PF03871 ; PF03871-PF04566 ; PF01191-PF04560,,0.0,Retained
POLR3B-201,POLR1D,51082,PF00562-PF13656,,0.0,Retained
POLR3B-201,SMARCA5,8467,PF00562-PF00176 ; PF00562-PF00271,,0.0,Retained
