Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
PLAU-202,SERPINE2,5270,PF00051-PF00079 ; PF00089-PF00079,,0.0,Retained
PLAU-202,TEX101,83639,PF00051-PF00021,,0.0,Retained
PLAU-202,BTK,695,PF00089-PF00018,,0.0,Retained
PLAU-202,SERPINA5,5104,PF00051-PF00079 ; PF00089-PF00079,,0.0,Retained
PLAU-202,PLAUR,5329,PF00051-PF00021,,0.0,Retained
PLAU-202,PDGFC,56034,PF00431-PF00051 ; PF00431-PF00089,,0.0,Retained
PLAU-202,SERPINE1,5054,PF00051-PF00079 ; PF00089-PF00079,,0.0,Retained
PLAU-202,PLAT,5327,PF00051-PF00008 ; PF00051-PF00051 ; PF00051-PF00089 ; PF00089-PF00051 ; PF00089-PF00008 ; PF00089-PF00089,,0.0,Retained
PLAU-202,LRP2,4036,PF00089-PF00057 ; PF00089-PF14670 ; PF00089-PF07645,,0.0,Retained
PLAU-202,SERPINB2,5055,PF00051-PF00079 ; PF00089-PF00079,,0.0,Retained
