Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
SRGAP2-207,YWHAE,7531,PF00018-PF00244,,0.0,Retained
SRGAP2-207,RPTOR,57521,PF00018-PF00400,,0.0,Retained
SRGAP2-207,USP21,27005,PF00018-PF00443,,0.0,Retained
SRGAP2-207,RALGPS2,55103,PF00018-PF00617 ; PF00018-PF00169,PF00620-PF00169,33.0,Affected
SRGAP2-207,SRGAP3,9901,PF00018-PF00620 ; PF00018-PF00611 ; PF00018-PF00018,PF00611-PF00611 ; PF00611-PF00018 ; PF00620-PF00620 ; PF00620-PF00018,56.99999999999999,Affected
SRGAP2-207,DIAPH1,1729,PF00018-PF02181,,0.0,Retained
SRGAP2-207,SYDE1,85360,PF00018-PF00620,PF00620-PF00620,50.0,Affected
SRGAP2-207,TANC2,26115,PF00023-PF00018 ; PF00018-PF12796,,0.0,Retained
SRGAP2-207,SH3PXD2A,9644,PF00018-PF00787 ; PF00018-PF00018,PF00611-PF00018 ; PF00620-PF00018,50.0,Affected
SRGAP2-207,PLEKHA7,144100,PF00018-PF00169,PF00620-PF00169,50.0,Affected
SRGAP2-207,INPP5E,56623,,PF03372-PF00620,100.0,Lost
SRGAP2-207,SH3BP4,23677,PF00018-PF07653,PF00611-PF14604,50.0,Affected
SRGAP2-207,RTKN,6242,PF00169-PF00018,PF00169-PF00620,50.0,Affected
SRGAP2-207,DEPDC1B,55789,PF00018-PF00620,PF00620-PF00620,50.0,Affected
SRGAP2-207,YWHAB,7529,PF00018-PF00244,,0.0,Retained
SRGAP2-207,PTPN13,5783,PF00102-PF00018 ; PF00018-PF00595,,0.0,Retained
SRGAP2-207,LIMA1,51474,,PF00412-PF00620,100.0,Lost
SRGAP2-207,RAB11FIP2,22841,PF00018-PF00168,,0.0,Retained
SRGAP2-207,YWHAG,7532,PF00018-PF00244,,0.0,Retained
SRGAP2-207,HECTD1,25831,PF00018-PF12796,,0.0,Retained
SRGAP2-207,CDK16,5127,PF00018-PF00069,PF00611-PF00069 ; PF00620-PF00069,67.0,Affected
SRGAP2-207,ZBTB21,49854,PF00018-PF00096,,0.0,Retained
SRGAP2-207,MAGI1,9223,PF00018-PF00595 ; PF00018-PF00625,,0.0,Retained
SRGAP2-207,WAS,7454,PF00018-PF00568 ; PF00018-PF02205 ; PF00018-PF00786,PF00611-PF02205 ; PF00786-PF00620,40.0,Affected
SRGAP2-207,STARD13,90627,PF00018-PF00620,PF00620-PF00620,50.0,Affected
SRGAP2-207,MYO1G,64005,PF00018-PF00063,,0.0,Retained
SRGAP2-207,WIPF1,7456,PF00018-PF02205,PF00611-PF02205,50.0,Affected
SRGAP2-207,PLEKHA5,54477,PF00018-PF00169,PF00620-PF00169,50.0,Affected
SRGAP2-207,SH3RF3,344558,PF00018-PF00018,PF00611-PF00018 ; PF00611-PF14604 ; PF00620-PF00018,75.0,Affected
SRGAP2-207,MELK,9833,PF00018-PF00069,PF00611-PF00069 ; PF00620-PF00069,67.0,Affected
SRGAP2-207,DCLK1,9201,PF00018-PF00069,PF00611-PF00069 ; PF00069-PF00620,67.0,Affected
SRGAP2-207,GAB2,9846,PF00018-PF00169,PF00620-PF00169,50.0,Affected
SRGAP2-207,TESK2,10420,PF00069-PF00018 ; PF00018-PF07714,PF00069-PF00611 ; PF00069-PF00620,50.0,Affected
SRGAP2-207,CHEK1,1111,PF00018-PF00069,PF00611-PF00069 ; PF00620-PF00069,67.0,Affected
SRGAP2-207,KSR1,8844,PF00018-PF07714,,0.0,Retained
SRGAP2-207,KIF1B,23095,PF00018-PF00169,PF00620-PF00169,50.0,Affected
SRGAP2-207,NF1,4763,PF00018-PF00616,,0.0,Retained
SRGAP2-207,ITSN2,50618,PF07653-PF00018 ; PF00018-PF00168 ; PF00018-PF00621 ; PF00018-PF00018,PF00611-PF00018 ; PF00611-PF14604 ; PF00620-PF00018,43.0,Affected
SRGAP2-207,ANKRD34A,284615,PF00018-PF12796,,0.0,Retained
SRGAP2-207,AFDN,4301,PF00018-PF00595,PF00788-PF00620,50.0,Affected
SRGAP2-207,NTRK1,4914,PF00018-PF07714,,0.0,Retained
SRGAP2-207,PTPN14,5784,PF00018-PF00102,,0.0,Retained
SRGAP2-207,MAP3K21,84451,PF00018-PF07714,PF00611-PF14604,50.0,Affected
SRGAP2-207,AGAP1,116987,PF00018-PF01412 ; PF00018-PF12796 ; PF00018-PF00169 ; PF00018-PF00071,PF00071-PF00620 ; PF00620-PF00169,33.0,Affected
SRGAP2-207,RASAL2,9462,PF00018-PF00616 ; PF00018-PF00168,,0.0,Retained
SRGAP2-207,MAST3,23031,PF00018-PF00069,PF00611-PF00069 ; PF00620-PF00069,67.0,Affected
SRGAP2-207,TIAM1,7074,PF00018-PF00595 ; PF00018-PF00169 ; PF00018-PF00621,PF00620-PF00169 ; PF00620-PF02196,40.0,Affected
SRGAP2-207,PHLDB2,90102,PF00018-PF00169,PF00169-PF00620,50.0,Affected
