Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
CD22-204,SHC1,6464,,PF07686-PF00017,100.0,Lost
CD22-204,FABP4,2167,,PF00061-PF07686,100.0,Lost
CD22-204,CPA4,51200,,PF02244-PF07686 ; PF07686-PF00246,100.0,Lost
CD22-204,LYN,4067,,PF00017-PF07686,100.0,Lost
CD22-204,PRKAA1,5562,,PF07686-PF00069,100.0,Lost
CD22-204,PIK3CA,5290,,PF07686-PF00613,100.0,Lost
CD22-204,PLCG1,5335,,PF07686-PF00017,100.0,Lost
CD22-204,GRB2,2885,,PF00017-PF07686,100.0,Lost
CD22-204,INPP5D,3635,,PF00017-PF07686,100.0,Lost
CD22-204,S100A7,6278,PF01023-PF13895 ; PF01023-PF08205 ; PF01023-PF13927,,0.0,Retained
CD22-204,CAMK2B,816,,PF00069-PF07686,100.0,Lost
CD22-204,PTPRC,5788,PF13927-PF00041,PF07686-PF00041,50.0,Affected
CD22-204,CAMK1G,57172,,PF07686-PF00069,100.0,Lost
CD22-204,ATG16L1,55054,,PF00400-PF07686,100.0,Lost
CD22-204,SYK,6850,,PF00017-PF07686,100.0,Lost
CD22-204,PTPN6,5777,,PF00017-PF07686,100.0,Lost
CD22-204,TPSAB1,7177,,PF00089-PF07686,100.0,Lost
