Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
POLR1C-204,POLR2K,5440,PF03604-PF01000 ; PF03604-PF01193,,0.0,Retained
POLR1C-204,WRN,7486,PF00271-PF01193,,0.0,Retained
POLR1C-204,POLR2J,5439,PF13656-PF01193,,0.0,Retained
POLR1C-204,DDX24,57062,PF00271-PF01193,,0.0,Retained
POLR1C-204,SMARCA2,6595,PF00271-PF01193,,0.0,Retained
POLR1C-204,POLR2F,5435,PF01192-PF01193,,0.0,Retained
POLR1C-204,POLR1A,25885,PF04997-PF01000 ; PF04997-PF01193 ; PF04998-PF01000 ; PF04998-PF01193 ; PF01000-PF00623 ; PF01000-PF05000 ; PF01000-PF04983 ; PF05000-PF01193 ; PF00623-PF01193 ; PF01193-PF04983,,0.0,Retained
POLR1C-204,TWISTNB,221830,PF01000-PF03876 ; PF03876-PF01193,,0.0,Retained
POLR1C-204,POLR2L,5441,PF01194-PF01193,,0.0,Retained
POLR1C-204,POLR3K,51728,PF02150-PF01193 ; PF01096-PF01193,,0.0,Retained
POLR1C-204,POLR3B,55703,PF04567-PF01000 ; PF04567-PF01193 ; PF04563-PF01000 ; PF04563-PF01193 ; PF04566-PF01000 ; PF04566-PF01193 ; PF01000-PF04561 ; PF01000-PF04560 ; PF01000-PF00562 ; PF01000-PF04565 ; PF04565-PF01193 ; PF04560-PF01193 ; PF00562-PF01193 ; PF04561-PF01193,,0.0,Retained
POLR1C-204,SMARCA5,8467,PF00271-PF01193,,0.0,Retained
POLR1C-204,POLR2E,5434,PF01000-PF03871 ; PF01000-PF01191 ; PF01191-PF01193 ; PF03871-PF01193,,0.0,Retained
POLR1C-204,POLR1E,64425,PF01193-PF06870,,0.0,Retained
POLR1C-204,RECQL4,9401,PF00271-PF01193,,0.0,Retained
POLR1C-204,DDX18,8886,PF00271-PF01193,,0.0,Retained
POLR1C-204,POLR3A,11128,PF04997-PF01000 ; PF04997-PF01193 ; PF04998-PF01000 ; PF04998-PF01193 ; PF01000-PF04983 ; PF01000-PF05000 ; PF01000-PF00623 ; PF05000-PF01193 ; PF00623-PF01193 ; PF04983-PF01193,,0.0,Retained
POLR1C-204,CRCP,27297,PF03874-PF01193,,0.0,Retained
POLR1C-204,POLR1B,84172,PF04560-PF01000 ; PF04560-PF01193 ; PF01000-PF04563 ; PF01000-PF00562 ; PF01000-PF04565 ; PF01000-PF04561 ; PF04561-PF01193 ; PF00562-PF01193 ; PF04565-PF01193 ; PF04563-PF01193,,0.0,Retained
POLR1C-204,POLR2H,5437,PF03870-PF01000 ; PF03870-PF01193,,0.0,Retained
POLR1C-204,DHX37,57647,PF00271-PF01193,,0.0,Retained
POLR1C-204,CD3EAP,10849,PF08208-PF01193,,0.0,Retained
POLR1C-204,DDX47,51202,PF00271-PF01193,,0.0,Retained
POLR1C-204,DDX1,1653,PF00271-PF01193,,0.0,Retained
POLR1C-204,POLR2C,5432,PF01000-PF01193 ; PF01000-PF01193 ; PF01193-PF01193,,0.0,Retained
POLR1C-204,POLR1D,51082,PF13656-PF01193,,0.0,Retained
POLR1C-204,POLR3F,10621,PF05158-PF01193,,0.0,Retained
POLR1C-204,POLR3H,171568,PF03876-PF01000 ; PF03876-PF01193 ; PF08292-PF01193,,0.0,Retained
