Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
SEM1-202,BRCA2,675,,PF09169-PF05160 ; PF05160-PF09103,100.0,Lost
SEM1-202,PSMD6,9861,,PF10602-PF05160 ; PF05160-PF01399,100.0,Lost
SEM1-202,EIF3A,8661,,PF05160-PF01399,100.0,Lost
SEM1-202,LENG8,114823,,PF05160-PF03399,100.0,Lost
SEM1-202,EIF3C,8663,,PF05160-PF01399,100.0,Lost
SEM1-202,PSMD13,5719,,PF05160-PF01399,100.0,Lost
SEM1-202,SAC3D1,29901,,PF05160-PF03399,100.0,Lost
SEM1-202,PSMD3,5709,,PF05160-PF01399,100.0,Lost
SEM1-202,PSMD11,5717,,PF05160-PF01399,100.0,Lost
SEM1-202,PSMD12,5718,,PF05160-PF01399,100.0,Lost
SEM1-202,PCID2,55795,,PF05160-PF01399,100.0,Lost
