Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
ACTN2-207,DLG1,1739,PF00018-PF00435,PF00595-PF00307 ; PF00018-PF00307,67.0,Affected
ACTN2-207,KCNA5,3741,PF02214-PF13833,,0.0,Retained
ACTN2-207,MYH8,4626,PF00435-PF00063,,0.0,Retained
ACTN2-207,MYH1,4619,PF00435-PF00063,,0.0,Retained
ACTN2-207,TNNI1,7135,PF00992-PF13833,,0.0,Retained
ACTN2-207,LDB3,11155,,PF00595-PF00307,100.0,Lost
ACTN2-207,TNN,63923,,PF00307-PF00041,100.0,Lost
ACTN2-207,MYH6,4624,PF00435-PF00063,,0.0,Retained
ACTN2-207,DLG4,1742,PF00018-PF00435,PF00018-PF00307 ; PF00307-PF00595,67.0,Affected
ACTN2-207,MYH4,4622,PF00435-PF00063,,0.0,Retained
ACTN2-207,SYNPO2,171024,,PF00595-PF00307,100.0,Lost
ACTN2-207,PDLIM1,9124,,PF00307-PF00595,100.0,Lost
ACTN2-207,ACTN4,81,PF08726-PF00435 ; PF08726-PF13833 ; PF00435-PF00435 ; PF00435-PF13833 ; PF00435-PF08726 ; PF13499-PF13833 ; PF13499-PF08726 ; PF08726-PF00307 ; PF00435-PF00307,PF08726-PF00307 ; PF00435-PF00307 ; PF13499-PF00307 ; PF00307-PF00307,31.0,Affected
ACTN2-207,MICALL2,79778,PF08726-PF00307 ; PF00435-PF00307,PF00307-PF00307,33.0,Affected
ACTN2-207,MYH3,4621,PF00063-PF00435,,0.0,Retained
ACTN2-207,MYH2,4620,PF00063-PF00435,,0.0,Retained
ACTN2-207,MOS,4342,PF00435-PF00069,,0.0,Retained
ACTN2-207,PDLIM3,27295,,PF00595-PF00307,100.0,Lost
ACTN2-207,ERBIN,55914,,PF00595-PF00307,100.0,Lost
ACTN2-207,CAPN1,823,PF08726-PF13833 ; PF00435-PF13833 ; PF13833-PF01067 ; PF13833-PF13833,,0.0,Retained
ACTN2-207,ACTN3,89,PF08726-PF00435 ; PF08726-PF00307 ; PF00435-PF08726 ; PF00435-PF00307 ; PF00435-PF00435 ; PF13833-PF08726 ; PF13833-PF00435,PF00307-PF00307 ; PF08726-PF00307 ; PF00435-PF00307,30.0,Affected
ACTN2-207,SPA17,53340,,PF00612-PF00307,100.0,Lost
ACTN2-207,ACTN1,87,PF00307-PF00435 ; PF00307-PF08726 ; PF08726-PF13833 ; PF08726-PF00435 ; PF00435-PF00435 ; PF00435-PF13833 ; PF08726-PF00435 ; PF08726-PF13833 ; PF13833-PF00435 ; PF13833-PF13833,PF00307-PF00307 ; PF00435-PF00307 ; PF08726-PF00307,23.0,Affected
ACTN2-207,MYH7,4625,PF00063-PF00435,,0.0,Retained
