Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
PIK3R3-201,FYN,2534,PF16454-PF00017 ; PF00017-PF00017 ; PF00018-PF00017 ; PF00017-PF07714,,0.0,Retained
PIK3R3-201,SRC,6714,PF16454-PF00017 ; PF00017-PF00017 ; PF07714-PF00017 ; PF00017-PF00018,,0.0,Retained
PIK3R3-201,PTK2,5747,PF03623-PF00017 ; PF00017-PF07714,,0.0,Retained
PIK3R3-201,SH2D2A,9047,PF16454-PF00017 ; PF00017-PF00017,,0.0,Retained
PIK3R3-201,LYN,4067,PF16454-PF00017 ; PF00018-PF00017 ; PF07714-PF00017 ; PF00017-PF00017,,0.0,Retained
PIK3R3-201,IRS1,3667,PF00169-PF00017 ; PF02174-PF00017,,0.0,Retained
PIK3R3-201,SPSB2,84727,PF07525-PF00017,,0.0,Retained
PIK3R3-201,HAVCR2,84868,PF00017-PF07686,,0.0,Retained
PIK3R3-201,HSH2D,84941,PF16454-PF00017 ; PF00017-PF00017,,0.0,Retained
PIK3R3-201,CRK,1398,PF00018-PF00017 ; PF16454-PF00017 ; PF00017-PF07653 ; PF00017-PF00017,,0.0,Retained
PIK3R3-201,KHDRBS1,10657,PF00013-PF00017,,0.0,Retained
PIK3R3-201,PIK3R2,5296,PF16454-PF00017 ; PF00620-PF00017 ; PF16454-PF00017 ; PF00017-PF00017,,0.0,Retained
PIK3R3-201,TGFBR2,7048,PF00017-PF07714,,0.0,Retained
PIK3R3-201,STAT3,6774,PF16454-PF00017 ; PF00017-PF02864 ; PF00017-PF00017 ; PF00017-PF01017,,0.0,Retained
PIK3R3-201,ABL2,27,PF16454-PF00017 ; PF00017-PF00017 ; PF00017-PF00018 ; PF00017-PF07714,,0.0,Retained
PIK3R3-201,BTN2A1,11120,PF00017-PF07686,,0.0,Retained
PIK3R3-201,IGF1R,3480,PF07714-PF00017,,0.0,Retained
PIK3R3-201,HCK,3055,PF16454-PF00017 ; PF07714-PF00017 ; PF00018-PF00017 ; PF00017-PF00017,,0.0,Retained
PIK3R3-201,CLNK,116449,PF16454-PF00017 ; PF00017-PF00017,,0.0,Retained
PIK3R3-201,EGFR,1956,PF00017-PF07714,,0.0,Retained
PIK3R3-201,ERBB2,2064,PF07714-PF00017,,0.0,Retained
PIK3R3-201,BTK,695,PF16454-PF00017 ; PF00017-PF00017 ; PF00018-PF00017 ; PF00169-PF00017 ; PF00779-PF00017 ; PF00017-PF07714,,0.0,Retained
PIK3R3-201,IRS2,8660,PF00169-PF00017 ; PF00017-PF02174,,0.0,Retained
PIK3R3-201,ERBB3,2065,PF07714-PF00017,,0.0,Retained
PIK3R3-201,CBL,867,PF02761-PF00017 ; PF02762-PF00017 ; PF00017-PF02262,,0.0,Retained
PIK3R3-201,RIPK4,54101,PF00069-PF00017,,0.0,Retained
PIK3R3-201,PIK3R1,5295,PF16454-PF00017 ; PF00620-PF00017 ; PF00017-PF00017 ; PF00017-PF16454,,0.0,Retained
PIK3R3-201,PIK3CA,5290,PF16454-PF00454 ; PF16454-PF00792 ; PF16454-PF02192 ; PF16454-PF00613 ; PF00017-PF00454 ; PF00017-PF00792 ; PF00017-PF00613,,0.0,Retained
PIK3R3-201,VSIG4,11326,PF07686-PF00017,,0.0,Retained
PIK3R3-201,CAMK1,8536,PF00069-PF00017,,0.0,Retained
PIK3R3-201,ANKS1A,23294,PF00640-PF00017,,0.0,Retained
PIK3R3-201,NCK1,4690,PF16454-PF00017 ; PF00017-PF00017 ; PF00017-PF00018,,0.0,Retained
PIK3R3-201,SOCS6,9306,PF16454-PF00017 ; PF00017-PF00017 ; PF00017-PF07525,,0.0,Retained
PIK3R3-201,FSD2,123722,PF00017-PF00041,,0.0,Retained
PIK3R3-201,SKAP1,8631,PF00169-PF00017 ; PF00018-PF00017,,0.0,Retained
PIK3R3-201,FRS3,10817,PF02174-PF00017,,0.0,Retained
PIK3R3-201,GRB2,2885,PF16454-PF00017 ; PF00017-PF00017 ; PF00018-PF00017,,0.0,Retained
PIK3R3-201,CCDC33,80125,PF00168-PF00017,,0.0,Retained
PIK3R3-201,PIK3CB,5291,PF16454-PF00792 ; PF16454-PF00454 ; PF16454-PF00613 ; PF16454-PF02192 ; PF00792-PF00017 ; PF00454-PF00017 ; PF00017-PF00613,,0.0,Retained
PIK3R3-201,PDGFRB,5159,PF07714-PF00017 ; PF00047-PF00017,,0.0,Retained
PIK3R3-201,FER,2241,PF16454-PF00017 ; PF00017-PF00017 ; PF07714-PF00017,,0.0,Retained
PIK3R3-201,AL035425.3,8471,PF02174-PF00017,,0.0,Retained
PIK3R3-201,PLEKHS1,79949,PF00017-PF00169,,0.0,Retained
PIK3R3-201,PIK3CD,5293,PF16454-PF00613 ; PF16454-PF00454 ; PF16454-PF00792 ; PF16454-PF02192 ; PF00454-PF00017 ; PF00792-PF00017 ; PF00613-PF00017,,0.0,Retained
PIK3R3-201,SOCS4,122809,PF16454-PF00017 ; PF07525-PF00017 ; PF00017-PF00017,,0.0,Retained
