Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
USP13-204,UBL4A,8266,PF00240-PF00443,PF00240-PF00627 ; PF00240-PF02148,67.0,Affected
USP13-204,SYNCRIP,10492,,PF00076-PF00627,100.0,Lost
USP13-204,RAD23A,5886,PF00240-PF00443,PF00627-PF00627 ; PF09280-PF00627 ; PF02148-PF00240 ; PF00240-PF00627,80.0,Affected
USP13-204,MYO15A,51168,PF00063-PF00443,,0.0,Retained
USP13-204,G3BP1,10146,,PF00076-PF00627,100.0,Lost
USP13-204,ITCH,83737,,PF00632-PF00627,100.0,Lost
USP13-204,BAG6,7917,PF00240-PF00443,PF02148-PF00240 ; PF00240-PF00627,67.0,Affected
USP13-204,VCP,7415,PF00004-PF00443,PF00004-PF00627,50.0,Affected
USP13-204,USP5,8078,PF17807-PF00443 ; PF00443-PF00443,PF00627-PF00627 ; PF02148-PF02148 ; PF17807-PF00443,60.0,Affected
USP13-204,ZEB1,6935,PF00096-PF00443,PF00096-PF00627,50.0,Affected
USP13-204,UBC,7316,PF00240-PF00443,PF00240-PF00627 ; PF00240-PF02148,67.0,Affected
USP13-204,NEDD8,4738,PF00240-PF00443,PF00240-PF00627 ; PF00240-PF02148,67.0,Affected
USP13-204,PABPC1,26986,,PF00627-PF00076,100.0,Lost
USP13-204,FNBP1L,54874,PF00018-PF00443,PF00627-PF00018,50.0,Affected
USP13-204,UBE3C,9690,,PF00627-PF00632,100.0,Lost
USP13-204,CYLD,1540,PF00443-PF00443,PF17807-PF00443,50.0,Affected
