Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
ZBTB17-203,ESR1,2099,,PF00096-PF00105,100.0,Lost
ZBTB17-203,EP300,2033,,PF00439-PF00096,100.0,Lost
ZBTB17-203,BCL6,604,PF00096-PF13894,PF00096-PF00651 ; PF00096-PF00096 ; PF00651-PF00651 ; PF00651-PF00096,80.0,Affected
ZBTB17-203,KLF5,688,PF00096-PF13894,PF00096-PF00651 ; PF00096-PF00096,67.0,Affected
ZBTB17-203,ZBTB7C,201501,PF00096-PF13894,PF00096-PF00651 ; PF00096-PF00096 ; PF00651-PF00651 ; PF00651-PF00096,80.0,Affected
ZBTB17-203,DVL2,1856,,PF00595-PF00096,100.0,Lost
ZBTB17-203,HUWE1,10075,,PF00627-PF00096,100.0,Lost
ZBTB17-203,ZBTB4,57659,,PF00651-PF00651 ; PF00651-PF00096,100.0,Lost
ZBTB17-203,ZBTB49,166793,PF00096-PF13894,PF00651-PF00651 ; PF00651-PF00096 ; PF00096-PF00651 ; PF00096-PF00096,80.0,Affected
ZBTB17-203,GFI1,2672,PF00096-PF13894,PF00096-PF00651 ; PF00096-PF00096,67.0,Affected
