Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
ZKSCAN4-201,ZNF483,158399,PF01352-PF02023 ; PF01352-PF00096 ; PF00096-PF01352 ; PF00096-PF00096 ; PF01352-PF02023 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,PGBD1,84547,PF01352-PF02023 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,TIAM1,7074,PF00595-PF00096,,0.0,Retained
ZKSCAN4-201,ZNF396,252884,PF00096-PF01352 ; PF00096-PF00096 ; PF01352-PF02023 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,SCAND1,51282,PF02023-PF02023 ; PF02023-PF01352,,0.0,Retained
ZKSCAN4-201,ZNF397,84307,PF02023-PF02023 ; PF02023-PF01352 ; PF01352-PF00096 ; PF00096-PF00096,,0.0,Retained
ZKSCAN4-201,ZSCAN32,54925,PF01352-PF02023 ; PF01352-PF00096 ; PF00096-PF01352 ; PF00096-PF00096 ; PF01352-PF02023 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,ZNF213,7760,PF01352-PF02023 ; PF01352-PF00096 ; PF01352-PF02023 ; PF01352-PF00096 ; PF00096-PF13465 ; PF00096-PF00096 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,ZNF24,7572,PF01352-PF02023 ; PF01352-PF00096 ; PF02023-PF02023 ; PF00096-PF00096,,0.0,Retained
ZKSCAN4-201,ZSCAN22,342945,PF02023-PF02023 ; PF02023-PF01352 ; PF00096-PF01352 ; PF00096-PF00096,,0.0,Retained
ZKSCAN4-201,ZBED9,114821,PF02023-PF02023 ; PF02023-PF01352,,0.0,Retained
ZKSCAN4-201,ZKSCAN8,7745,PF01352-PF02023 ; PF01352-PF00096 ; PF02023-PF02023 ; PF00096-PF01352 ; PF00096-PF00096 ; PF01352-PF02023,,0.0,Retained
ZKSCAN4-201,ZNF446,55663,PF01352-PF00096 ; PF01352-PF02023 ; PF00096-PF00096 ; PF01352-PF02023 ; PF01352-PF00096 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,ZKSCAN7,55888,PF02023-PF02023 ; PF02023-PF01352 ; PF00096-PF01352 ; PF00096-PF00096 ; PF00096-PF01352 ; PF02023-PF01352,,0.0,Retained
ZKSCAN4-201,ZSCAN21,7589,PF01352-PF02023 ; PF01352-PF00096 ; PF00096-PF00096 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,ZSCAN20,7579,PF01352-PF00096 ; PF01352-PF02023 ; PF00096-PF00096 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,ZNF496,84838,PF01352-PF02023 ; PF01352-PF00096 ; PF02023-PF02023 ; PF02023-PF01352 ; PF01352-PF00096 ; PF00096-PF00096,,0.0,Retained
ZKSCAN4-201,ZNF444,55311,PF00096-PF01352 ; PF00096-PF00096 ; PF01352-PF02023 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,ZKSCAN1,7586,PF13465-PF00096 ; PF00096-PF01352 ; PF00096-PF00096 ; PF01352-PF02023 ; PF01352-PF02023 ; PF01352-PF00096 ; PF02023-PF02023,,0.0,Retained
ZKSCAN4-201,ZKSCAN3,80317,PF00096-PF01352 ; PF00096-PF00096 ; PF01352-PF02023 ; PF02023-PF02023 ; PF00096-PF01352 ; PF01352-PF02023,,0.0,Retained
ZKSCAN4-201,H3C1,8350,PF00096-PF00125,,0.0,Retained
ZKSCAN4-201,ZNF232,7775,PF02023-PF02023 ; PF02023-PF01352 ; PF01352-PF00096 ; PF00096-PF00096,,0.0,Retained
ZKSCAN4-201,TERF2,7014,PF00096-PF00249,,0.0,Retained
ZKSCAN4-201,H2BC8,8339,PF00125-PF00096,,0.0,Retained
ZKSCAN4-201,ZNF174,7727,PF01352-PF00096 ; PF01352-PF02023 ; PF00096-PF00096 ; PF02023-PF02023,,0.0,Retained
