Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
CAMK2B-213,ZBTB32,27033,,PF00096-PF00069,100.0,Lost
CAMK2B-213,RAP2B,5912,,PF00071-PF00069,100.0,Lost
CAMK2B-213,THRB,7068,,PF00069-PF00105 ; PF00069-PF00104,100.0,Lost
CAMK2B-213,RBPMS,11030,,PF00069-PF00076,100.0,Lost
CAMK2B-213,RBM42,79171,,PF00069-PF00076,100.0,Lost
CAMK2B-213,RXRG,6258,,PF00069-PF00105 ; PF00069-PF00104,100.0,Lost
CAMK2B-213,PARP1,142,,PF00069-PF00533,100.0,Lost
CAMK2B-213,RBFOX2,23543,,PF00069-PF00076,100.0,Lost
CAMK2B-213,HNRNPL,3191,,PF00076-PF00069,100.0,Lost
CAMK2B-213,CAMK2A,815,PF08332-PF00069 ; PF08332-PF08332,PF00069-PF00069 ; PF00069-PF08332,50.0,Affected
CAMK2B-213,ACTN4,81,,PF00435-PF00069 ; PF00069-PF13499,100.0,Lost
CAMK2B-213,CAMK2D,817,PF08332-PF08332 ; PF08332-PF00069,PF00069-PF08332 ; PF00069-PF00069,50.0,Affected
CAMK2B-213,CD22,933,,PF00069-PF07686,100.0,Lost
CAMK2B-213,ARMC1,55156,,PF00069-PF00514,100.0,Lost
CAMK2B-213,YWHAB,7529,,PF00069-PF00244,100.0,Lost
CAMK2B-213,HSP90AA1,3320,,PF00069-PF00183 ; PF00069-PF02518,100.0,Lost
