Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
TGFBR1-209,CDC42,998,PF00069-PF00071,PF00071-PF07714,50.0,Affected
TGFBR1-209,HAVCR1,26762,PF00069-PF07686 ; PF07686-PF01064,,0.0,Retained
TGFBR1-209,MAP3K20,51776,PF00069-PF00536 ; PF00069-PF07714 ; PF07714-PF08515,PF07714-PF07714,25.0,Affected
TGFBR1-209,TP63,8626,PF00069-PF00870,,0.0,Retained
TGFBR1-209,EP300,2033,PF00069-PF00439,,0.0,Retained
TGFBR1-209,ANK1,286,PF13637-PF00069 ; PF12796-PF00069 ; PF00069-PF00023 ; PF00069-PF00531,,0.0,Retained
TGFBR1-209,ITCH,83737,PF00397-PF00069 ; PF00069-PF00168,,0.0,Retained
TGFBR1-209,SMAD6,4091,PF03166-PF00069 ; PF03166-PF01064,,0.0,Retained
TGFBR1-209,USP11,8237,PF00443-PF00069,,0.0,Retained
TGFBR1-209,ARHGEF6,9459,PF00169-PF00069 ; PF00069-PF00621,PF00169-PF07714 ; PF14604-PF07714 ; PF00307-PF07714,60.0,Affected
TGFBR1-209,SNX6,58533,PF00069-PF00787,,0.0,Retained
TGFBR1-209,PAK1,5058,PF00069-PF08515 ; PF00069-PF01064 ; PF00069-PF00069 ; PF00786-PF00069,PF00069-PF07714,20.0,Affected
TGFBR1-209,TGFBR2,7048,PF08917-PF01064 ; PF07714-PF08515 ; PF07714-PF00069,PF07714-PF07714,25.0,Affected
TGFBR1-209,PARD6A,50855,PF00069-PF00564 ; PF00069-PF00595,,0.0,Retained
TGFBR1-209,ELAVL1,1994,PF00069-PF00076,,0.0,Retained
TGFBR1-209,SH3KBP1,30011,,PF14604-PF07714,100.0,Lost
TGFBR1-209,TRAF4,9618,PF00097-PF00069,,0.0,Retained
TGFBR1-209,EPHA2,1969,PF00069-PF01404 ; PF00069-PF00041 ; PF00069-PF07714 ; PF00069-PF00536 ; PF07714-PF08515,PF07714-PF07714 ; PF14575-PF07714,28.999999999999996,Affected
TGFBR1-209,PIK3R1,5295,PF00017-PF00069 ; PF00069-PF00620,PF00017-PF07714,33.0,Affected
TGFBR1-209,HSPA4,3308,PF00012-PF00069,,0.0,Retained
TGFBR1-209,TGFBRAP1,9392,PF00780-PF00069,,0.0,Retained
TGFBR1-209,MAP3K7,6885,PF00069-PF07714 ; PF07714-PF08515,PF07714-PF07714,33.0,Affected
TGFBR1-209,MAPK14,1432,PF00069-PF00069 ; PF01064-PF00069 ; PF00069-PF08515,PF00069-PF07714,25.0,Affected
TGFBR1-209,STRAP,11171,PF00400-PF00069,,0.0,Retained
TGFBR1-209,SMURF2,64750,PF00069-PF00168 ; PF00069-PF00397,,0.0,Retained
TGFBR1-209,SPTBN1,6711,PF00069-PF00435,PF00307-PF07714,50.0,Affected
TGFBR1-209,ACVRL1,94,PF08515-PF00069 ; PF00069-PF07714 ; PF07714-PF08515,PF08515-PF07714 ; PF07714-PF07714,40.0,Affected
TGFBR1-209,APPL1,26060,PF00069-PF00169,PF00169-PF07714,50.0,Affected
TGFBR1-209,SMAD2,4087,PF00069-PF03166 ; PF03166-PF01064,,0.0,Retained
TGFBR1-209,USP4,7375,PF00069-PF00443,,0.0,Retained
TGFBR1-209,FKBP1A,2280,PF00069-PF00254 ; PF00254-PF08515,PF00254-PF07714,33.0,Affected
TGFBR1-209,USP15,9958,PF00069-PF00443,,0.0,Retained
TGFBR1-209,FKBP1B,2281,PF00069-PF00254 ; PF08515-PF00254,PF00254-PF07714,33.0,Affected
TGFBR1-209,SMAD7,4092,PF03166-PF00069 ; PF03166-PF01064,,0.0,Retained
TGFBR1-209,TOLLIP,54472,PF00168-PF00069,,0.0,Retained
TGFBR1-209,BMPR2,659,PF01064-PF00069 ; PF01064-PF01064 ; PF00069-PF00069 ; PF01064-PF00069 ; PF00069-PF08515,PF00069-PF07714,17.0,Affected
TGFBR1-209,SMAD3,4088,PF03166-PF00069 ; PF03166-PF01064,,0.0,Retained
TGFBR1-209,NOTCH1,4851,PF00069-PF12796 ; PF00069-PF00008,,0.0,Retained
TGFBR1-209,RASSF1,11186,PF00130-PF00069 ; PF16517-PF00069 ; PF00069-PF00788,,0.0,Retained
TGFBR1-209,SMAD4,4089,PF03166-PF00069 ; PF03166-PF01064,,0.0,Retained
TGFBR1-209,PPP1R16B,26051,PF00069-PF12796,,0.0,Retained
TGFBR1-209,SMURF1,57154,PF00397-PF00069 ; PF00069-PF00168,,0.0,Retained
TGFBR1-209,PIK3R2,5296,PF00017-PF00069 ; PF00069-PF00620,PF00017-PF07714,33.0,Affected
TGFBR1-209,HSP90AA1,3320,PF00183-PF00069 ; PF00069-PF02518,,0.0,Retained
TGFBR1-209,OXSR1,9943,PF00069-PF00069 ; PF00069-PF12202 ; PF01064-PF00069 ; PF00069-PF08515,PF00069-PF07714,20.0,Affected
TGFBR1-209,TGFB1,7040,PF00019-PF00069 ; PF00019-PF01064,,0.0,Retained
