Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
BCL3-203,FYN,2534,PF00018-PF00023 ; PF00018-PF12796 ; PF00023-PF00017,,0.0,Retained
BCL3-203,HDAC6,10013,PF00850-PF00023,,0.0,Retained
BCL3-203,NFKB2,4791,PF00531-PF00023 ; PF16179-PF00023 ; PF16179-PF12796 ; PF00023-PF12796 ; PF00023-PF00554 ; PF12796-PF12796,,0.0,Retained
BCL3-203,RELB,5971,PF00023-PF00554 ; PF00023-PF16179 ; PF16179-PF12796,,0.0,Retained
BCL3-203,HDAC3,8841,PF00023-PF00850,,0.0,Retained
BCL3-203,AKT1,207,PF00069-PF00023 ; PF00069-PF12796 ; PF00023-PF00169,,0.0,Retained
BCL3-203,CHUK,1147,PF00023-PF00069 ; PF00069-PF12796,,0.0,Retained
BCL3-203,STAT1,6772,PF00023-PF00017,,0.0,Retained
BCL3-203,MAPK1,5594,PF00069-PF00023 ; PF00069-PF12796,,0.0,Retained
BCL3-203,STAT3,6774,PF00023-PF00017,,0.0,Retained
BCL3-203,GSK3B,2932,PF00069-PF00023 ; PF00069-PF12796,,0.0,Retained
BCL3-203,BARD1,580,PF12796-PF00023 ; PF12796-PF12796,,0.0,Retained
BCL3-203,NFKB1,4790,PF00023-PF00023 ; PF00023-PF12796 ; PF00531-PF00023 ; PF00023-PF12796 ; PF00023-PF16179 ; PF00023-PF00554 ; PF16179-PF12796 ; PF12796-PF12796,,0.0,Retained
BCL3-203,PSMB1,5689,PF00227-PF00023,,0.0,Retained
BCL3-203,HDAC1,3065,PF00023-PF00850,,0.0,Retained
