Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
PSMA6-204,PSMD3,5709,PF01399-PF00227,,0.0,Retained
PSMA6-204,PSMB9,5698,PF00227-PF00227 ; PF00227-PF10584,,0.0,Retained
PSMA6-204,AURKA,6790,PF00227-PF00069,,0.0,Retained
PSMA6-204,PSME3,10197,PF10584-PF02252,,0.0,Retained
PSMA6-204,COPS5,10987,PF01398-PF00227,,0.0,Retained
PSMA6-204,CDK1,983,PF00227-PF00069,,0.0,Retained
PSMA6-204,PSME2,5721,PF10584-PF02252,,0.0,Retained
PSMA6-204,PSMA4,5685,PF10584-PF10584 ; PF10584-PF00227 ; PF00227-PF00227 ; PF10584-PF00227,,0.0,Retained
PSMA6-204,PSMD11,5717,PF01399-PF00227 ; PF00227-PF18055,,0.0,Retained
PSMA6-204,PSMA7,5688,PF00227-PF00227 ; PF00227-PF10584 ; PF00227-PF10584 ; PF10584-PF10584,,0.0,Retained
PSMA6-204,PSMC4,5704,PF00227-PF17862 ; PF00227-PF00004 ; PF17862-PF10584 ; PF00004-PF10584,,0.0,Retained
PSMA6-204,PSMD13,5719,PF00227-PF01399,,0.0,Retained
PSMA6-204,USP4,7375,PF00227-PF00443,,0.0,Retained
PSMA6-204,PSMC3,5702,PF00227-PF00004 ; PF00227-PF17862 ; PF00004-PF10584 ; PF10584-PF17862,,0.0,Retained
PSMA6-204,POMP,51371,PF00227-PF05348,,0.0,Retained
PSMA6-204,PSMD12,5718,PF00227-PF01399,,0.0,Retained
PSMA6-204,USP53,54532,PF00443-PF00227,,0.0,Retained
PSMA6-204,PSMB3,5691,PF00227-PF00227 ; PF10584-PF00227,,0.0,Retained
PSMA6-204,PSMD1,5707,PF00227-PF01851,,0.0,Retained
PSMA6-204,PPP3CA,5530,PF00149-PF00227,,0.0,Retained
PSMA6-204,COPS2,9318,PF00227-PF01399,,0.0,Retained
PSMA6-204,PSMB1,5689,PF00227-PF00227 ; PF00227-PF10584,,0.0,Retained
PSMA6-204,UCHL5,51377,PF00227-PF01088,,0.0,Retained
PSMA6-204,PSMD6,9861,PF00227-PF01399,,0.0,Retained
PSMA6-204,PSMC5,5705,PF00227-PF00004 ; PF00227-PF17862 ; PF00004-PF10584 ; PF10584-PF17862,,0.0,Retained
PSMA6-204,PSMA1,5682,PF00227-PF10584 ; PF00227-PF00227 ; PF00227-PF10584 ; PF10584-PF10584,,0.0,Retained
PSMA6-204,ZBTB44,29068,PF00227-PF00096,,0.0,Retained
PSMA6-204,CUL1,8454,PF00227-PF00888,,0.0,Retained
PSMA6-204,PLK1,5347,PF00227-PF00069,,0.0,Retained
PSMA6-204,PSME1,5720,PF10584-PF02252,,0.0,Retained
PSMA6-204,PSMB8,5696,PF00227-PF10584 ; PF00227-PF00227,,0.0,Retained
PSMA6-204,PSMD14,10213,PF01398-PF00227,,0.0,Retained
PSMA6-204,CDK4,1019,PF00227-PF00069,,0.0,Retained
PSMA6-204,PSMA3,5684,PF10584-PF10584 ; PF10584-PF00227 ; PF00227-PF00227 ; PF00227-PF10584,,0.0,Retained
PSMA6-204,PSMB7,5695,PF00227-PF00227 ; PF00227-PF12465 ; PF10584-PF00227,,0.0,Retained
PSMA6-204,PSMA2,5683,PF00227-PF10584 ; PF00227-PF00227 ; PF10584-PF10584 ; PF10584-PF00227,,0.0,Retained
PSMA6-204,PSMB6,5694,PF00227-PF00227 ; PF10584-PF00227,,0.0,Retained
PSMA6-204,PSMA8,143471,PF10584-PF10584 ; PF10584-PF00227 ; PF00227-PF00227 ; PF10584-PF00227,,0.0,Retained
PSMA6-204,PSMC1,5700,PF00227-PF00004 ; PF00227-PF17862 ; PF00004-PF10584 ; PF10584-PF17862,,0.0,Retained
PSMA6-204,PSMA5,5686,PF00227-PF00227 ; PF00227-PF10584 ; PF00227-PF10584 ; PF10584-PF10584,,0.0,Retained
PSMA6-204,CYLD,1540,PF00443-PF00227,,0.0,Retained
PSMA6-204,PSMB4,5692,PF00227-PF10584 ; PF00227-PF00227,,0.0,Retained
PSMA6-204,PSMC2,5701,PF00227-PF00004 ; PF00227-PF17862 ; PF00004-PF10584 ; PF10584-PF17862,,0.0,Retained
PSMA6-204,PSMD2,5708,PF00227-PF01851,,0.0,Retained
PSMA6-204,PSMC6,5706,PF00227-PF00004 ; PF00227-PF17862 ; PF00004-PF10584 ; PF10584-PF17862,,0.0,Retained
PSMA6-204,VCP,7415,PF17862-PF10584 ; PF17862-PF00227 ; PF00227-PF00004 ; PF10584-PF00004,,0.0,Retained
PSMA6-204,PSMD7,5713,PF00227-PF01398,,0.0,Retained
PSMA6-204,PSMB5,5693,PF00227-PF00227 ; PF10584-PF00227,,0.0,Retained
PSMA6-204,PSMB2,5690,PF00227-PF00227 ; PF10584-PF00227,,0.0,Retained
PSMA6-204,CDK2,1017,PF00227-PF00069,,0.0,Retained
PSMA6-204,USP14,9097,PF00227-PF00443,,0.0,Retained
PSMA6-204,GPS1,2873,PF01399-PF00227,,0.0,Retained
