Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
PSMC5-202,PSMD6,9861,PF00004-PF10602 ; PF00004-PF01399 ; PF10602-PF17862,,0.0,Retained
PSMC5-202,UBQLN4,56893,PF00004-PF00627 ; PF00004-PF00240,,0.0,Retained
PSMC5-202,PSMD11,5717,PF00004-PF01399,,0.0,Retained
PSMC5-202,UBQLN2,29978,PF00004-PF00627 ; PF00004-PF00240,,0.0,Retained
PSMC5-202,LONP1,9361,PF00004-PF00004 ; PF00004-PF05362 ; PF16450-PF00004 ; PF00004-PF17862,,0.0,Retained
PSMC5-202,PSMA6,5687,PF00004-PF10584 ; PF00004-PF00227 ; PF10584-PF17862 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,PSMA3,5684,PF00004-PF00227 ; PF00004-PF10584 ; PF00227-PF17862 ; PF10584-PF17862,,0.0,Retained
PSMC5-202,PSMB3,5691,PF00004-PF00227 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,H3-4,8290,PF00004-PF00125,,0.0,Retained
PSMC5-202,PAAF1,80227,PF00004-PF00400,,0.0,Retained
PSMC5-202,CYLD,1540,PF00004-PF00443 ; PF00443-PF16450,,0.0,Retained
PSMC5-202,PSMD2,5708,PF00004-PF01851 ; PF18051-PF17862 ; PF17781-PF17862,,0.0,Retained
PSMC5-202,PSMC4,5704,PF00004-PF17862 ; PF00004-PF16450 ; PF00004-PF00004 ; PF16450-PF16450 ; PF00004-PF16450 ; PF00004-PF17862 ; PF17862-PF17862,,0.0,Retained
PSMC5-202,PSMD9,5715,PF18265-PF17862,,0.0,Retained
PSMC5-202,USP4,7375,PF00004-PF00443 ; PF00443-PF16450,,0.0,Retained
PSMC5-202,PSMC3,5702,PF00004-PF00004 ; PF00004-PF17862 ; PF00004-PF16450 ; PF00004-PF16450 ; PF00004-PF17862 ; PF17862-PF17862 ; PF16450-PF16450,,0.0,Retained
PSMC5-202,PSMC6,5706,PF00004-PF17862 ; PF00004-PF00004 ; PF00004-PF16450 ; PF00004-PF16450 ; PF00004-PF17862 ; PF16450-PF16450 ; PF17862-PF17862,,0.0,Retained
PSMC5-202,PSMB4,5692,PF00004-PF00227 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,PSMC1,5700,PF00004-PF17862 ; PF00004-PF16450 ; PF00004-PF00004 ; PF16450-PF16450 ; PF00004-PF16450 ; PF00004-PF17862 ; PF17862-PF17862,,0.0,Retained
PSMC5-202,PSMB2,5690,PF00004-PF00227 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,PSMD13,5719,PF00004-PF01399,,0.0,Retained
PSMC5-202,PSMC2,5701,PF00004-PF00004 ; PF00004-PF17862 ; PF17862-PF17862 ; PF00004-PF16450 ; PF00004-PF17862,,0.0,Retained
PSMC5-202,JUP,3728,PF00004-PF00514,,0.0,Retained
PSMC5-202,PSMB8,5696,PF00004-PF00227 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,STRN,6801,PF00004-PF00400,,0.0,Retained
PSMC5-202,PSMB7,5695,PF00004-PF00227 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,PSMB6,5694,PF00004-PF00227 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,PSMA8,143471,PF00004-PF10584 ; PF00004-PF00227 ; PF10584-PF17862 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,GIT1,28964,PF12796-PF17862,,0.0,Retained
PSMC5-202,RAD23B,5887,PF00004-PF00627 ; PF00004-PF00240,,0.0,Retained
PSMC5-202,UBLCP1,134510,PF00004-PF00240,,0.0,Retained
PSMC5-202,PSMA2,5683,PF00004-PF00227 ; PF00004-PF10584 ; PF10584-PF17862 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,CREBBP,1387,PF00004-PF00439,,0.0,Retained
PSMC5-202,USP44,84101,PF00004-PF00443 ; PF00443-PF16450,,0.0,Retained
PSMC5-202,PSMB5,5693,PF00004-PF00227 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,PSMA4,5685,PF00004-PF10584 ; PF00004-PF00227 ; PF10584-PF17862 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,PSMD14,10213,PF00004-PF01398 ; PF13012-PF16450 ; PF16450-PF01398,,0.0,Retained
PSMC5-202,PSMA7,5688,PF00004-PF10584 ; PF00004-PF00227 ; PF10584-PF17862 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,PSMA5,5686,PF00004-PF10584 ; PF00004-PF00227 ; PF10584-PF17862 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,USP15,9958,PF00004-PF00443 ; PF00443-PF16450,,0.0,Retained
PSMC5-202,ACTC1,70,PF00004-PF00022,,0.0,Retained
PSMC5-202,COPS2,9318,PF00004-PF01399,,0.0,Retained
PSMC5-202,PSMB1,5689,PF00004-PF00227 ; PF00227-PF17862,,0.0,Retained
PSMC5-202,HUWE1,10075,PF00004-PF00627,,0.0,Retained
PSMC5-202,CTNNB1,1499,PF00004-PF00514,,0.0,Retained
PSMC5-202,CBL,867,PF00004-PF00627,,0.0,Retained
PSMC5-202,RAD23A,5886,PF00004-PF00240 ; PF00004-PF00627,,0.0,Retained
