Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
WT1-203,HMBOX1,79618,PF00096-PF00046,,0.0,Retained
WT1-203,GLIS2,84662,PF00096-PF00096,,0.0,Retained
WT1-203,TAOK1,57551,PF00096-PF00069,,0.0,Retained
WT1-203,CIAO1,9391,PF00096-PF00400,,0.0,Retained
WT1-203,DVL2,1856,PF00096-PF00595,,0.0,Retained
WT1-203,NANOG,79923,PF00046-PF00096,,0.0,Retained
WT1-203,DVL3,1857,PF00096-PF00595,,0.0,Retained
WT1-203,STK11,6794,PF00096-PF00069,,0.0,Retained
WT1-203,U2AF2,11338,PF00096-PF00076,,0.0,Retained
WT1-203,NR2C2,7182,PF00105-PF00096,,0.0,Retained
WT1-203,EGR1,1958,PF00096-PF00096,,0.0,Retained
WT1-203,ZNF205,7755,PF00096-PF01352 ; PF00096-PF00096,,0.0,Retained
WT1-203,EZH2,2146,PF00096-PF00856,,0.0,Retained
