Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
TP53-222,MDM2,4193,PF02201-PF08563,,0.0,Retained
TP53-222,PHKG2,5261,PF00069-PF00870,,0.0,Retained
TP53-222,MCL1,4170,PF00452-PF00870,,0.0,Retained
TP53-222,CDK4,1019,PF00069-PF00870,,0.0,Retained
TP53-222,MYLK,4638,PF00069-PF00870,,0.0,Retained
TP53-222,RNASEL,6041,PF00069-PF00870,,0.0,Retained
TP53-222,CREBBP,1387,PF02135-PF08563 ; PF02135-PF18521 ; PF18521-PF09030 ; PF08563-PF09030,,0.0,Retained
TP53-222,EP300,2033,PF18521-PF02135 ; PF18521-PF09030 ; PF02135-PF08563 ; PF08563-PF09030,,0.0,Retained
TP53-222,ERN1,2081,PF00870-PF00069,,0.0,Retained
TP53-222,CSNK1E,1454,PF00870-PF00069,,0.0,Retained
TP53-222,MAPK6,5597,PF00870-PF00069,,0.0,Retained
TP53-222,BCL2L1,598,PF00452-PF00870 ; PF00870-PF02180,,0.0,Retained
TP53-222,GTF2H1,2965,PF18521-PF08567,,0.0,Retained
TP53-222,CHEK2,11200,PF00069-PF00870,,0.0,Retained
TP53-222,MAPK8,5599,PF00870-PF00069,,0.0,Retained
TP53-222,HIPK3,10114,PF00069-PF00870,,0.0,Retained
TP53-222,STAM2,10254,PF00018-PF00870,,0.0,Retained
TP53-222,CSNK1A1,1452,PF00870-PF00069,,0.0,Retained
TP53-222,CDK5,1020,PF00069-PF00870,,0.0,Retained
TP53-222,ANKRD2,26287,PF00023-PF00870,,0.0,Retained
TP53-222,SRPK1,6732,PF00870-PF00069,,0.0,Retained
TP53-222,RIPK4,54101,PF00870-PF00069,,0.0,Retained
TP53-222,LRRK2,120892,PF00069-PF00870,,0.0,Retained
TP53-222,PSMD10,5716,PF00870-PF00023,,0.0,Retained
TP53-222,LATS2,26524,PF00870-PF00069,,0.0,Retained
TP53-222,IKBKB,3551,PF00870-PF00069,,0.0,Retained
TP53-222,CHUK,1147,PF00069-PF00870,,0.0,Retained
TP53-222,MAP2K3,5606,PF00870-PF00069,,0.0,Retained
TP53-222,EIF2AK2,5610,PF00870-PF00069,,0.0,Retained
TP53-222,MDM4,4194,PF08563-PF02201,,0.0,Retained
TP53-222,RPS6KA1,6195,PF00069-PF00870,,0.0,Retained
TP53-222,MAPK14,1432,PF00870-PF00069,,0.0,Retained
TP53-222,RRM2,6241,PF00268-PF00870,,0.0,Retained
TP53-222,CDK1,983,PF00069-PF00870,,0.0,Retained
TP53-222,TTK,7272,PF00870-PF00069,,0.0,Retained
TP53-222,PLCG2,5336,PF00018-PF00870,,0.0,Retained
TP53-222,CDK7,1022,PF00069-PF00870,,0.0,Retained
TP53-222,STK11,6794,PF00069-PF00870,,0.0,Retained
TP53-222,HMGB1,3146,PF18521-PF09011,,0.0,Retained
TP53-222,DAPK1,1612,PF00870-PF00069 ; PF00870-PF00023,,0.0,Retained
TP53-222,PRKD1,5587,PF00870-PF00069,,0.0,Retained
TP53-222,CDK6,1021,PF00069-PF00870,,0.0,Retained
TP53-222,SMARCD2,6603,PF02201-PF08563,,0.0,Retained
TP53-222,BCL2,596,PF00452-PF00870 ; PF00870-PF02180,,0.0,Retained
TP53-222,RFC1,5981,PF00533-PF00870,,0.0,Retained
TP53-222,CSNK2A1,1457,PF00870-PF00069,,0.0,Retained
TP53-222,NOTCH4,4855,PF00023-PF00870,,0.0,Retained
TP53-222,MAPK1,5594,PF00870-PF00069,,0.0,Retained
TP53-222,CLK3,1198,PF00069-PF00870,,0.0,Retained
TP53-222,RRM2B,50484,PF00870-PF00268,,0.0,Retained
TP53-222,PLK1,5347,PF00069-PF00870,,0.0,Retained
TP53-222,TP73,7161,PF00870-PF00870 ; PF00870-PF07710 ; PF00870-PF07710 ; PF07710-PF07710,,0.0,Retained
TP53-222,TP53BP1,7158,PF18428-PF00870,,0.0,Retained
TP53-222,NFKBIA,4792,PF00023-PF00870,,0.0,Retained
TP53-222,MAPKAPK5,8550,PF00069-PF00870,,0.0,Retained
TP53-222,CSNK1D,1453,PF00870-PF00069,,0.0,Retained
TP53-222,CSNK2A2,1459,PF00069-PF00870,,0.0,Retained
TP53-222,NLK,51701,PF00069-PF00870,,0.0,Retained
TP53-222,TP63,8626,PF00870-PF00870 ; PF00870-PF07710 ; PF07710-PF00870 ; PF07710-PF07710,,0.0,Retained
TP53-222,PARP1,142,PF00870-PF00533,,0.0,Retained
TP53-222,RPS6KA2,6196,PF00069-PF00870,,0.0,Retained
TP53-222,TOPBP1,11073,PF00533-PF00870,,0.0,Retained
TP53-222,HIPK1,204851,PF00870-PF00069,,0.0,Retained
TP53-222,MAPK3,5595,PF00069-PF00870,,0.0,Retained
TP53-222,CDK9,1025,PF00069-PF00870,,0.0,Retained
TP53-222,BAX,581,PF00870-PF00452,,0.0,Retained
TP53-222,DAPK3,1613,PF00069-PF00870,,0.0,Retained
TP53-222,MAPK10,5602,PF00069-PF00870,,0.0,Retained
TP53-222,SMARCD1,6602,PF08563-PF02201,,0.0,Retained
TP53-222,PRKCD,5580,PF00069-PF00870,,0.0,Retained
TP53-222,AURKA,6790,PF00069-PF00870,,0.0,Retained
TP53-222,CDK2,1017,PF00870-PF00069,,0.0,Retained
TP53-222,PPP1R13B,23368,PF00870-PF00018,,0.0,Retained
TP53-222,CRK,1398,PF00018-PF00870,,0.0,Retained
TP53-222,BAK1,578,PF00870-PF00452,,0.0,Retained
TP53-222,VRK1,7443,PF00069-PF00870,,0.0,Retained
TP53-222,PAK4,10298,PF00870-PF00069,,0.0,Retained
TP53-222,BRCA1,672,PF00533-PF00870,,0.0,Retained
TP53-222,SRC,6714,PF00870-PF00018,,0.0,Retained
TP53-222,VRK2,7444,PF00069-PF00870,,0.0,Retained
TP53-222,MAP2K5,5607,PF00069-PF00870,,0.0,Retained
