Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
ERCC6-203,ERCC5,2073,,PF00867-PF00271 ; PF00271-PF00752,100.0,Lost
ERCC6-203,RPA1,6117,,PF00271-PF01336,100.0,Lost
ERCC6-203,ERCC4,2072,,PF00271-PF02732,100.0,Lost
ERCC6-203,KAT2B,8850,,PF00439-PF00176 ; PF00439-PF00271,100.0,Lost
ERCC6-203,H2AC20,8338,,PF00125-PF00176 ; PF00125-PF00271,100.0,Lost
ERCC6-203,PARP1,142,,PF00271-PF00533,100.0,Lost
ERCC6-203,ERCC3,2071,,PF00271-PF04851,100.0,Lost
ERCC6-203,BAZ1B,9031,,PF00271-PF00439 ; PF00271-PF00628 ; PF00439-PF00176,100.0,Lost
ERCC6-203,H2AC4,8335,,PF00271-PF00125 ; PF00176-PF00125,100.0,Lost
ERCC6-203,H3C1,8350,,PF00271-PF00125 ; PF00176-PF00125,100.0,Lost
ERCC6-203,H2BC3,3018,,PF00271-PF00125 ; PF00176-PF00125,100.0,Lost
ERCC6-203,ERCC8,1161,,PF00271-PF00400 ; PF00400-PF00176,100.0,Lost
ERCC6-203,OGG1,4968,,PF00271-PF00730,100.0,Lost
ERCC6-203,CBX6,23466,,PF00385-PF00176,100.0,Lost
ERCC6-203,MPHOSPH8,54737,,PF00385-PF00176,100.0,Lost
ERCC6-203,BRCA1,672,,PF00271-PF00097 ; PF00271-PF00533,100.0,Lost
