Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
KIF1B-204,BRCA1,672,PF00533-PF00498 ; PF00498-PF00097,,0.0,Retained
KIF1B-204,EIF4A1,1973,PF00271-PF00498,,0.0,Retained
KIF1B-204,ZBTB21,49854,PF00096-PF00498,,0.0,Retained
KIF1B-204,SH3PXD2A,9644,PF00018-PF00169 ; PF00787-PF00169,,0.0,Retained
KIF1B-204,ZNF217,7764,PF00096-PF00498,,0.0,Retained
KIF1B-204,CSNK1A1,1452,PF00069-PF00498 ; PF00069-PF00169 ; PF00069-PF00225,,0.0,Retained
KIF1B-204,ZSCAN26,7741,PF00096-PF00498,,0.0,Retained
KIF1B-204,KIF13B,23303,PF16183-PF00225 ; PF16183-PF16183 ; PF16183-PF00498 ; PF00225-PF00225 ; PF00225-PF00498 ; PF00225-PF16183 ; PF00225-PF00498 ; PF00169-PF00498 ; PF16183-PF00498 ; PF00498-PF00498,,0.0,Retained
KIF1B-204,STARD13,90627,PF00169-PF01852 ; PF00169-PF00620,,0.0,Retained
KIF1B-204,GOPC,57120,PF00595-PF00169,,0.0,Retained
KIF1B-204,GIPC1,10755,PF00169-PF00595,,0.0,Retained
KIF1B-204,RTKN,6242,PF00169-PF00169 ; PF00169-PF00498,,0.0,Retained
KIF1B-204,NINL,22981,PF00225-PF13833,,0.0,Retained
KIF1B-204,PARD6A,50855,PF00169-PF00595,,0.0,Retained
KIF1B-204,MAST3,23031,PF00225-PF00069 ; PF00169-PF00069 ; PF00498-PF00069,,0.0,Retained
KIF1B-204,KIF1A,547,PF00169-PF00498 ; PF00169-PF00169 ; PF00498-PF00498 ; PF00498-PF16183 ; PF00498-PF00169 ; PF00498-PF00225 ; PF16183-PF16183 ; PF16183-PF00225 ; PF00225-PF00225 ; PF00225-PF16183 ; PF16183-PF00498 ; PF00498-PF00225,,0.0,Retained
KIF1B-204,CSNK2A2,1459,PF00069-PF00498 ; PF00069-PF00169 ; PF00069-PF00225,,0.0,Retained
KIF1B-204,KSR1,8844,PF00169-PF07714,,0.0,Retained
KIF1B-204,SRGAP2,23380,PF00620-PF00169 ; PF00018-PF00169,,0.0,Retained
KIF1B-204,CALM1,801,PF00225-PF13833,,0.0,Retained
