Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
BCAR1-203,PKN3,29941,PF00069-PF00018,,0.0,Retained
BCAR1-203,GRB2,2885,PF00018-PF00018 ; PF00018-PF00017,PF07653-PF00018 ; PF07653-PF00017,50.0,Affected
BCAR1-203,SH2D3A,10045,PF00017-PF00018,PF07653-PF00017,50.0,Affected
BCAR1-203,ERBB2,2064,PF07714-PF00018,,0.0,Retained
BCAR1-203,CRK,1398,PF07653-PF00018 ; PF00018-PF00018 ; PF00017-PF00018,PF07653-PF07653 ; PF07653-PF00018 ; PF07653-PF00017,50.0,Affected
BCAR1-203,LYN,4067,PF07714-PF00018 ; PF00018-PF00017 ; PF00018-PF00018,PF07653-PF00017 ; PF07653-PF00018,40.0,Affected
BCAR1-203,TNS1,7145,PF00017-PF00018,PF07653-PF00017,50.0,Affected
BCAR1-203,NEDD9,4739,PF12026-PF12026 ; PF00018-PF00018,PF00018-PF07653,33.0,Affected
BCAR1-203,RAN,5901,PF00071-PF00018,,0.0,Retained
BCAR1-203,HSPA5,3309,PF00018-PF00012,,0.0,Retained
BCAR1-203,GLIS2,84662,PF00018-PF00096,,0.0,Retained
BCAR1-203,ALK,238,PF00018-PF07714,,0.0,Retained
BCAR1-203,PTPRH,5794,PF00102-PF00018,,0.0,Retained
BCAR1-203,CBL,867,PF00627-PF00018,,0.0,Retained
BCAR1-203,PTPN12,5782,PF00102-PF00018,,0.0,Retained
BCAR1-203,BCAR3,8412,PF00017-PF00018 ; PF12026-PF00617 ; PF00617-PF00018,PF00017-PF07653,25.0,Affected
BCAR1-203,PTK2B,2185,PF07714-PF00018,,0.0,Retained
BCAR1-203,CDC42,998,PF00071-PF00018,,0.0,Retained
BCAR1-203,EFS,10278,PF12026-PF12026,,0.0,Retained
BCAR1-203,HCK,3055,PF00017-PF00018 ; PF07714-PF00018 ; PF00018-PF00018,PF07653-PF00018 ; PF07653-PF00017,40.0,Affected
BCAR1-203,CD2AP,23607,PF00018-PF00018,PF07653-PF00018,50.0,Affected
BCAR1-203,SFN,2810,PF00018-PF00244,,0.0,Retained
BCAR1-203,SRC,6714,PF07714-PF00018 ; PF00018-PF00018 ; PF00018-PF00017,PF07653-PF00018 ; PF07653-PF00017,40.0,Affected
BCAR1-203,INPPL1,3636,PF00017-PF00018,PF07653-PF00017,50.0,Affected
BCAR1-203,YWHAE,7531,PF00018-PF00244,,0.0,Retained
BCAR1-203,TNK2,10188,PF07714-PF00018,,0.0,Retained
BCAR1-203,PIK3R1,5295,PF00620-PF00018 ; PF00017-PF00018,PF07653-PF00017,33.0,Affected
BCAR1-203,PTK2,5747,PF07714-PF00018,,0.0,Retained
BCAR1-203,MAPK14,1432,PF00069-PF00018,,0.0,Retained
BCAR1-203,ARHGAP32,9743,PF00620-PF00018 ; PF00787-PF00018,,0.0,Retained
BCAR1-203,PTPN11,5781,PF00102-PF00018 ; PF00017-PF00018,PF07653-PF00017,33.0,Affected
BCAR1-203,DOCK1,1793,PF00018-PF16172,,0.0,Retained
BCAR1-203,TNS3,64759,PF00130-PF00018 ; PF00017-PF00018,PF07653-PF00017,33.0,Affected
BCAR1-203,ABL1,25,PF07714-PF00018 ; PF00018-PF00018 ; PF00017-PF00018,PF07653-PF00017 ; PF07653-PF00018,40.0,Affected
BCAR1-203,LCK,3932,PF00017-PF00018 ; PF07714-PF00018 ; PF00018-PF00018,PF00017-PF07653 ; PF07653-PF00018,40.0,Affected
BCAR1-203,BMX,660,PF00017-PF00018 ; PF00169-PF00018 ; PF00018-PF07714,PF00017-PF07653,25.0,Affected
BCAR1-203,NCK1,4690,PF00017-PF00018 ; PF00018-PF00018,PF00017-PF07653 ; PF07653-PF00018,50.0,Affected
BCAR1-203,PTPN1,5770,PF00018-PF00102,,0.0,Retained
BCAR1-203,NPHP1,4867,PF00018-PF00018,PF07653-PF00018,50.0,Affected
BCAR1-203,HYOU1,10525,PF00012-PF00018,,0.0,Retained
BCAR1-203,RAPGEF1,2889,PF00618-PF00018 ; PF12026-PF00617 ; PF00617-PF00018,,0.0,Retained
BCAR1-203,CRKL,1399,PF00018-PF00018 ; PF00017-PF00018 ; PF07653-PF00018,PF00018-PF07653 ; PF07653-PF07653 ; PF07653-PF00017,50.0,Affected
BCAR1-203,SH2D3C,10044,PF00017-PF00018 ; PF12026-PF00617 ; PF00018-PF00617,PF00017-PF07653,25.0,Affected
BCAR1-203,MAPK8,5599,PF00069-PF00018,,0.0,Retained
BCAR1-203,UHRF2,115426,PF00240-PF00018,PF07653-PF00240,50.0,Affected
BCAR1-203,YWHAZ,7534,PF00244-PF00018,,0.0,Retained
BCAR1-203,FYN,2534,PF00017-PF00018 ; PF00018-PF00018 ; PF00018-PF07714,PF07653-PF00017 ; PF07653-PF00018,40.0,Affected
