Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
PSMA3-213,VCP,7415,PF17862-PF00227 ; PF00004-PF00227,PF10584-PF00004 ; PF10584-PF17862,50.0,Affected
PSMA3-213,PSMD12,5718,PF01399-PF00227,,0.0,Retained
PSMA3-213,SRPK2,6733,PF00069-PF00227,,0.0,Retained
PSMA3-213,OSR2,116039,PF00096-PF00227,,0.0,Retained
PSMA3-213,PSMB10,5699,PF00227-PF00227 ; PF12465-PF00227,PF10584-PF00227,33.0,Affected
PSMA3-213,PSMC3,5702,PF00004-PF00227 ; PF17862-PF00227,PF10584-PF00004 ; PF10584-PF17862,50.0,Affected
PSMA3-213,PSMD2,5708,PF01851-PF00227,,0.0,Retained
PSMA3-213,EGR1,1958,PF00096-PF00227,,0.0,Retained
PSMA3-213,PSMB7,5695,PF00227-PF00227 ; PF00227-PF12465,PF10584-PF00227,33.0,Affected
PSMA3-213,ZNF688,146542,PF00096-PF00227,,0.0,Retained
PSMA3-213,DVL1,1855,PF00595-PF00227,,0.0,Retained
PSMA3-213,PSMC6,5706,PF17862-PF00227 ; PF00227-PF00004,PF10584-PF17862 ; PF10584-PF00004,50.0,Affected
PSMA3-213,GFI1B,8328,PF00227-PF00096,,0.0,Retained
PSMA3-213,UCHL5,51377,PF01088-PF00227,,0.0,Retained
PSMA3-213,CAPN3,825,PF00227-PF00036,,0.0,Retained
PSMA3-213,PSMD13,5719,PF01399-PF00227,,0.0,Retained
PSMA3-213,CSNK2A1,1457,PF00069-PF00227,,0.0,Retained
PSMA3-213,PSME3,10197,,PF10584-PF02252,100.0,Lost
PSMA3-213,PGAM1,5223,PF00300-PF00227,,0.0,Retained
PSMA3-213,PSMB2,5690,PF00227-PF00227,PF10584-PF00227,50.0,Affected
PSMA3-213,PSMC2,5701,PF00004-PF00227 ; PF17862-PF00227,PF10584-PF17862 ; PF10584-PF00004,50.0,Affected
PSMA3-213,PSMB3,5691,PF00227-PF00227,PF10584-PF00227,50.0,Affected
